year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.0039138824912688785,0.03931327563035847,0.024249759531101613,0.017723538739027593,38.26084775302017,0.11562776504164235,0.050903128728713866,0.1146178025194284
1949,0.0047767857821062465,0.03649405843587565,0.021563481814626157,0.018887846705108558,37.64110018788064,0.11075050688788485,0.047316912194822015,0.12431555007606804
1950,0.005230727679043035,0.03429936733567269,0.02046613458038213,0.016074775258355496,35.541394691192934,0.12179761026972621,0.04608194173200778,0.13240293592666721
1951,0.009657543896752161,0.029383557580131652,0.016786453663367076,0.02685625726215285,36.922400277812436,0.10453460080851491,0.04612220232517024,0.17437878975093413
1952,0.005763083692769985,0.03352454060745657,0.019213957335083687,0.01696633442786354,35.766388673389876,0.12468992758858234,0.04446530353899177,0.1519349549963831
1953,0.00588167630574241,0.0325561387211124,0.01823188627303514,0.01580690347550454,35.08495503733558,0.12897216135129871,0.04265430386149356,0.16170458163130752
1954,0.00703357595675917,0.03186785507772641,0.016241147543717187,0.02217786550949875,37.18987145308787,0.1081847722407247,0.04079969824851207,0.16935311428843428
1955,0.008102023195635546,0.029998471230611532,0.01507429593970983,0.02277856188142179,36.5154599110926,0.10681977467010909,0.04055057863103316,0.17381195456945323
1956,0.0063064754181371445,0.03289170950591665,0.01636160339148681,0.020751332041242715,36.950360415405896,0.11123070754372469,0.040302460336783245,0.15525211077727336
1957,0.0071452342976044605,0.0317846123171404,0.015621669852347182,0.02356175690218633,37.643917779551074,0.10491863567935164,0.04023748876360952,0.15969485423978863
1958,0.004078278326104451,0.036577550181392575,0.017122030807199422,0.014685462378277853,36.1121890664481,0.1249836953302238,0.038368073140634014,0.13009556918460244
1959,0.005008701733439997,0.035523165670107014,0.017434179268703935,0.019871766196016896,37.726421788709224,0.10741190923054027,0.04030199139774491,0.13242777806734518
1960,0.004717309516778745,0.03558938807376736,0.016092189596497965,0.017691566504127038,36.84526552864422,0.11229330319440128,0.03731602795552295,0.13751220051795843
1961,0.003755207520875769,0.03699901342195917,0.016639927971157067,0.013446232888297436,35.842210144757956,0.12524224388212712,0.03704208741401957,0.1250618592681016
1962,0.002448386914693016,0.04148924886582666,0.018278832093013314,0.00905834741087804,34.72513765649941,0.1554583788655933,0.03807210279003686,0.10998062550002122
