year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.15742312120836127,0.009211338648436733,1.2769832802775382e-13,0.08333378278450419,38.74253178708992,0.09926938206897638,0.27700329983137667,0.17638843502646495
1949,0.13994654287171027,0.009643823618088711,2.598379931895638e-13,0.0832894522300521,38.4032631985596,0.0921291007357849,0.24870606045423144,0.15920414337877678
1950,0.11468484758219617,0.010108134187341624,1.776581429776883e-12,0.07466001721662438,38.736554867302225,0.08912128747025108,0.2037860829828319,0.15879864483904496
1951,0.11659367979156374,0.010906199286878727,2.0031536317892515e-13,0.08768610720097812,39.28891138876421,0.08627964461377387,0.20380426940062107,0.17640498426162304
1952,0.11983051865457559,0.012026313885177367,2.7850185331631327e-13,0.11019300832106894,39.82081977054543,0.08113417372253073,0.20724561504405187,0.18244879659319896
1953,0.08788647645067416,0.011234612199059782,3.162756579304397e-12,0.06929409953149732,38.54002092255363,0.08204649443990775,0.15382744676669594,0.16524058335443145
1954,0.11092836494025625,0.014645869067445026,1.6300037712773808e-12,0.2153819221310854,46.17519936526155,0.05302319813694033,0.1734994283638904,0.13452301578639422
1955,0.10809734293244404,0.014981780811947275,3.918640622663337e-12,0.21666372551171728,46.54770174097284,0.05355283647599729,0.1679187516918325,0.14831351199433015
1956,0.1061662567109183,0.01842628566714617,5.97766956757373e-12,0.38560705850417437,54.50074381844575,0.045506373778827935,0.13896633923676474,0.15924975543155606
1957,0.10011559816319104,0.01906951713750824,1.845144136227299e-12,0.4125303630477024,57.05920696258168,0.04399661355556261,0.12524136789436036,0.16495639016792765
1958,0.0810706118425957,0.020331832152925867,3.028724525731857e-13,0.374955368093458,57.629611558124346,0.04437515403503147,0.09733775089044,0.17635929853676133
1959,0.08411090141934446,0.02379996840663427,0.009418068721351914,0.6297825259467708,65.51754862610416,0.04218100945287843,0.10190106383287985,0.16224477371275411
1960,0.08078778496660277,0.02251219414353184,0.004891265192955352,0.590286924499626,68.03792017465472,0.03915586146703298,0.08662920492370896,0.14320201917546171
1961,0.0589678118508985,0.025178137230236652,0.009885480998287566,0.546395006364385,69.83059077286255,0.04059258912952479,0.07042921159852597,0.14310183034393553
1962,0.062160631066872085,0.025919765446616783,0.00999185683266246,0.655107885282419,72.55182120481899,0.03981198375600892,0.06935767656451164,0.13143336233450142
1963,0.04792407052558456,0.027225341533140046,0.01371258445587653,0.517111088342638,70.0626327731062,0.04238187884627698,0.06663345584717617,0.1365755524570451
1964,0.04259188211268761,0.02516128441185078,0.010967497461800368,0.33238660196994374,63.76794267832058,0.043237128947281045,0.06218253397256748,0.12917495108964605
1965,0.019432407414928132,0.03050188673805143,0.01858603215570409,0.18105579886430956,58.843464659898416,0.052320511353096455,0.055540753163770606,0.11589031178026055
1966,0.019980424626362403,0.02981271131685226,0.019772276495125585,0.17318961679251466,58.056310829074064,0.0522460443719317,0.05890038882899529,0.11217212635716312
1967,0.014344522660679093,0.0327079881143193,0.024925423174561034,0.134806362879071,55.787135606509324,0.05801069898293232,0.06351745865842928,0.10380728891929047
1968,0.007750244745237389,0.03629020918382009,0.02585715671515576,0.07471880560681465,52.07077217810656,0.06673853374130712,0.05881316982028573,0.08664260810239233
1969,0.010080065905928137,0.03509693328268515,0.0239138894325599,0.09874162649100793,53.437117359268676,0.061878784330787084,0.0572579957295295,0.08690687042639467
1970,0.009745645412185366,0.03313321144722048,0.020615583512259672,0.07254184900207239,49.64118644483858,0.06514309099240867,0.05167123095878115,0.0954600208713039
1971,0.012157816616639283,0.03374399549085205,0.01741823577891599,0.11958829139959537,55.371177167183596,0.05787440350407791,0.04627655183406093,0.10595629645643534
1972,0.004762117822681947,0.03756577883915787,0.022239564295218648,0.030331284292456785,43.198691007044154,0.08794683759590025,0.0490783493220457,0.09532562132019715
1973,0.003711168721575786,0.04138872123946735,0.02492648098937037,0.036935060715427515,47.876667349812664,0.0776707777111838,0.05246709883035594,0.06772839312847467
1974,0.0021338641583608436,0.043829122756129164,0.02424655653207146,0.013123174731140025,39.40368259244547,0.11994069611886927,0.049413437556565784,0.07372496668421054
1975,0.005786300825220414,0.036529251316051226,0.018011374970068078,0.041220003027038876,45.7583697314731,0.07637250407865159,0.041663822290401886,0.10806763217737791
1976,0.0030036026317424884,0.03935836336518497,0.02026026764965754,0.014641541503465836,38.62839718876898,0.11006551085308294,0.042774455033469244,0.09543517249626675
1977,0.00206340827478968,0.045910403634200125,0.02230233562601138,0.016466635111606676,41.58191592629539,0.10482454038439792,0.04518193152171057,0.07586083808657987
1978,0.005436546803827269,0.03620461667974473,0.017979897806687323,0.03367415535167373,43.44471737915423,0.0803751734718865,0.04159138868091111,0.10191132230438471
1979,0.005111751873506821,0.03432431221361524,0.015956300408895494,0.021677681093394373,38.961363090165406,0.09250989874311327,0.03767729919230541,0.11684633449896832
1980,0.007461338372752757,0.032434057434375996,0.013761299019297457,0.03535790038583109,41.89362611635012,0.07976980174658665,0.03645016252709182,0.1394573698714172
1981,0.003154305250918199,0.0402326568067623,0.01606438450147896,0.018152641690508495,40.29604491881225,0.10068386127236055,0.03449474169719275,0.11838905332291677
1982,0.0029975742391697424,0.04116611157963834,0.015885628162667514,0.018211826316596902,40.57592738449098,0.099391027106419,0.03379754223444795,0.1174541367385804
1983,0.003955192889384121,0.03765310608614479,0.013261399731577106,0.01957213809771841,39.71356187529128,0.09737300475195679,0.03016369782218057,0.14916632366991636
1984,0.0029925287033469015,0.03976317172117619,0.013402525328650512,0.013788082131666482,37.52108592831595,0.1098839924080764,0.029033078890283292,0.13891197333883662
1985,0.00395582009665818,0.03884694377026798,0.011815136025109904,0.022917288575228123,40.71636008668467,0.09052451548675489,0.027430060138129764,0.14090327126490076
1986,0.0034022211626814347,0.0396468983736446,0.011397004518379071,0.018836072065161247,39.73641690793172,0.094975425180716,0.02607536670530483,0.13641309969927817
1987,0.003397737159091471,0.03873302132337596,0.011728573544992715,0.01578416377484003,37.752434888355054,0.10428036324284017,0.026574537655041065,0.14666747217047668
1988,0.001897746084516836,0.04472805793552782,0.011974297666899843,0.009214118522011594,36.642271842166444,0.1315560771321635,0.024404408780625563,0.1510555066949078
1989,0.0016726458301289933,0.04445601128898855,0.01260113670158354,0.005984723825557343,33.5373630963061,0.15262225103310498,0.025626211001689467,0.12724875309994252
1990,0.0019828337705059327,0.042703857903282176,0.012658607781811116,0.007300721257167556,34.48070547443614,0.13898567734115408,0.026437609031508335,0.12272222722968806
1991,0.008546408348966583,0.031861077366716284,0.010062723508727278,0.0440860779271488,43.45482319107162,0.06929078626401819,0.03001875999159536,0.14424551786448214
1992,0.0013062822003377067,0.046738353068928734,0.014555964095579485,0.003455594935267107,31.875008876943973,0.2376202781847731,0.028427356961712322,0.12579790529165316
1993,0.00127171476669398,0.04746683800742203,0.014026772529389255,0.003744432233873393,33.01673249728427,0.20677201764537248,0.027642596805320725,0.11959577979370788
1994,0.0020456780470738518,0.04125105943772535,0.014065768595987958,0.004540135688283679,31.667421720238426,0.19837617664452634,0.028921325989270955,0.14008264527142084
1995,0.0010901053092557133,0.04974514965849769,0.013296635635627998,0.0030166058564055293,31.32232676833552,0.248889718542806,0.0260138936447364,0.11666761220832897
1996,0.0012931265271628216,0.04761325046305666,0.014554689652369258,0.0037914841009498474,31.295681377923486,0.20228963044709636,0.028808385490158343,0.11101097058745661
1997,0.002668414209673269,0.03919876124201788,0.013952663759336171,0.0064851445722373625,31.97308179812685,0.16670999699642525,0.029186782587827895,0.16768112094999302
1998,0.0016553685922361915,0.045140345075726174,0.013643578326545173,0.005181385779397224,31.859853351131868,0.17695278093836642,0.027636172145702007,0.1254511899885439
1999,0.0019337260565349401,0.042824716830971984,0.013576633717677106,0.006215002313033726,32.97121810609179,0.15510038803447737,0.028120758063202363,0.1255147668262314
2000,0.0010055512060693932,0.05090851070642683,0.012786049460079421,0.0035798742944718317,32.048525420889675,0.19672753748026495,0.02537783079168831,0.10054016762436009
2001,0.0010597618371170905,0.05015488067439613,0.013228056228752422,0.0036553088983137813,31.99278320835848,0.21740049685975604,0.026319713600262775,0.10331293163343903
2002,0.0006635189869690896,0.056089131144960204,0.012925890093967912,0.0024369586340056487,31.343044529915993,0.23588593800595115,0.02516590959777573,0.0872837262247654
2003,0.002042634533673148,0.04319081460945134,0.010564187374530265,0.00893631678107828,34.49787155566277,0.12502228279324543,0.023191666423500575,0.10998797222189603
2004,0.0049750772923429784,0.033972567758793405,0.0077299525188896465,0.01899994772809225,36.74727910779147,0.08878885171410354,0.02184409936843228,0.15482590852649886
2005,0.0003810500005044658,0.0641467423902107,0.010219577873673363,0.0016277294336862742,30.29796265074915,0.32032810313389903,0.019710426563383517,0.0731521751290128
2006,0.0004097021314953893,0.06282389119108675,0.009689840962989405,0.0016339510659621657,30.168801868368366,0.34470440381882206,0.018595343020889558,0.08320709143157763
2007,0.0009225350313147022,0.05212980651994507,0.00849435151112595,0.004145372715518375,32.57277193179413,0.20028041289361181,0.01726438234245784,0.11551481425811012
2008,0.00038620261660260826,0.06334416488074252,0.008481494992218603,0.0019911843695247333,31.68130855010606,0.2898977637980248,0.016409685970720227,0.07398605720928839
2009,0.0006188020241060193,0.056493307566199996,0.008735875059520724,0.0027965479801999966,31.9253511446506,0.2223011433347351,0.017267692204710926,0.09438044800476574
2010,0.000522073315091734,0.05850274545571757,0.008687497555056397,0.0024436918390483868,31.463717359078284,0.23115885810351416,0.01711345199328641,0.082609246923944
2011,0.0006025902592255407,0.05738908599927838,0.007759709031399402,0.003555416555783742,33.58184695384807,0.17543293734884105,0.015511639027768552,0.0923508133404481
2012,0.0007931586032328028,0.0534981165028658,0.007136294171754048,0.004299368523890153,33.00962062644245,0.16731854914421013,0.014484716488132125,0.1147245892201054
2013,0.0005302356907006397,0.05823701406907092,0.006990836416134344,0.002919157913989729,32.6481492320762,0.2044605206136882,0.013849540055135204,0.10088410443777009
2014,0.0007222619917652587,0.05528323534837763,0.007043332319252711,0.004447679727277158,33.815241556860286,0.15002698425195152,0.014485276920044306,0.09101240308430071
2015,0.0003586382143553065,0.06453439737443063,0.006175427807607422,0.0024635427523295624,32.93987441969758,0.21483698481172375,0.012196002405643332,0.07944460557843462
2016,0.0002513817503418045,0.06927434116460589,0.006280784244427617,0.0014736809931016823,30.83711261610218,0.2953683959521175,0.012340534255761076,0.06219221145036454
2017,0.0010355887890065264,0.04975401745178864,0.005326903524675649,0.00468351907934256,32.44263235826985,0.1671636572682138,0.011472185311410664,0.16183084085142416
2018,0.0007528872423078956,0.055183710997102654,0.004970811358424827,0.005221910928954029,35.22163067829076,0.14452669713415958,0.010258810722677878,0.14515846659328072
2019,0.00040914045664399367,0.06108615129165633,0.005144574189306294,0.0018395963480969239,30.307161868933623,0.2726995587363893,0.010222959446446326,0.10560861190070166
2020,0.0004363879759349019,0.0629366587125754,0.004546122101936518,0.002217946509216125,30.117114442122464,0.2505050394886472,0.009128431131215772,0.12807736091796107
