year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1990,0.0008108001727446213,0.05119651635193021,0.006347154663342974,0.004398439455279582,35.81491592538059,0.16751015287317994,0.012899938768709814,0.1342011025994216
1991,0.0007924526720927524,0.051291275157973264,0.0057546140221111,0.004190700176868257,36.086104044788826,0.17466001671029852,0.011715174955430348,0.14871688653788426
1992,0.0006531578653888065,0.053158873398999766,0.005474288368310642,0.00343201523863978,35.658670331659245,0.18791651000871912,0.011051977846722015,0.13676695341992437
1993,0.0007441819769856069,0.05108062765744262,0.0050713211021150995,0.0035863666365729694,34.82348569371338,0.17549439711213943,0.010487141793548326,0.14203126451519332
1994,0.000806371055039897,0.04958718735989347,0.004739433964363245,0.003639133469787028,34.700079139339046,0.17273003506257756,0.009930391740054605,0.15641965728967597
1995,0.0006562570900727306,0.050392945263099,0.00466537054200224,0.0020596687421873257,31.615443446415632,0.2560252235990906,0.009568477194101283,0.14785051806412697
1996,0.0006135581155907791,0.051172072313857724,0.00450088151344317,0.002038004484289416,31.770374873652536,0.25994925316721296,0.009270435620141187,0.14025581405889154
1997,0.0005990271024950412,0.05045392318714009,0.004259895859385716,0.00172837152011249,30.68206666868553,0.29444352422858566,0.008751135795037869,0.14789939534071367
1998,0.0006511352686380931,0.048617746989582426,0.003956817701018266,0.001763719957908361,29.98424052113156,0.2934185144164845,0.008320582166805467,0.1522192213370101
1999,0.0005420699915537299,0.050648697844068495,0.0039474287176198795,0.0015014046813594559,29.741590796415686,0.3469375818526155,0.008149999333527572,0.13546896085219232
2000,0.0005304885079913867,0.05098343317513609,0.0038434937755243417,0.0015474000560137325,30.14468950257155,0.323389042386073,0.007946006226059218,0.1381794983768557
2001,0.0005857997658522814,0.04911513491142289,0.003632915211145257,0.0015966591112265317,29.73997427991905,0.3095092484755007,0.00757497193648396,0.15757929999777376
2002,0.0005365830620955017,0.05037646608558405,0.0036566574620379554,0.0015477809145300373,29.846802959313333,0.3183598842953087,0.007563841668158477,0.15084592115079404
2003,0.00041140430447415155,0.05414223904136453,0.003795842622132624,0.0014060433878133455,30.25298888788957,0.32141128150191867,0.007674703996621467,0.12356276389109239
2004,0.00040737036804978764,0.053914586653165515,0.003748049204968132,0.0014084319798627772,30.464684639577218,0.31294616640830014,0.007578669576011983,0.12874417030021099
2005,0.0003403324312099572,0.05695824256951216,0.0035317270576856216,0.0014996703786737977,31.248059602418465,0.27112348177952905,0.0070616007031415046,0.12131742764927085
2006,0.00033640081364935497,0.05654350508030468,0.003474210245983741,0.0014105121967002187,30.791292372028515,0.27980863178756815,0.006997610991066831,0.11705953400495989
2007,0.00031080292835081457,0.058092960047385844,0.003629645872012933,0.001531996453496501,32.02054262090222,0.27065318603718863,0.007214112830368907,0.11743933304936646
2008,0.0003349076769693655,0.057267527485717055,0.003184445701135309,0.001774830168906562,32.54045715194718,0.23601388444344407,0.006387955395971134,0.1329810936670153
2009,0.0003042793743333008,0.058735315877134806,0.00318316302321441,0.001766483139455393,33.09360526185712,0.23538768007948277,0.006330083456733943,0.1297140705719504
2010,0.00026454779011142454,0.060711507310704294,0.0032231217161871233,0.0016943988428138033,33.573721954926114,0.23098769736770103,0.006382716118916288,0.11623069360192567
2011,0.00023816282880431526,0.06217045071757173,0.0033660626258110986,0.001687068475793538,33.806069629208096,0.23067452112832668,0.006650580128988142,0.10201888010731164
2012,0.0002124809624411531,0.06357384579725997,0.0031060291500639324,0.0015749251875329922,33.739839639763304,0.2323528112538933,0.006110323767789432,0.10437375302575398
2013,0.0002134417031175483,0.06415091031850653,0.0031111942501572004,0.001875715827146344,35.13565347958613,0.19961024776393324,0.006126369259119076,0.10302424262769681
2014,0.00023286000773251378,0.06282673282334043,0.003043344408421566,0.002174089036985198,35.79268572285123,0.17752900760979992,0.00608969684205143,0.09648534707800792
2015,0.00028988148654728865,0.06071485267840804,0.0030238306366584334,0.0028812376735802584,37.25853849158354,0.16051535133454184,0.006072028698735447,0.11744989635194551
2016,0.0002523442143484727,0.06238124694690883,0.0032884024345106585,0.0027212375782321645,37.47523589285594,0.15365082116012077,0.0065591356271748275,0.09491271182115629
2017,0.00024991282662481637,0.0627673046537365,0.003007599705145274,0.0030558432295057416,38.68346835449494,0.14642668532084271,0.00602148954619861,0.10045253520868258
2018,0.0003504824609639465,0.058755424101522916,0.002865964770150011,0.004129638513158457,39.3537175383939,0.1267001805383294,0.005882663785210403,0.11118651524958167
2019,0.0002544938339487018,0.062418156117874345,0.002963877145878616,0.0032994846640889753,39.510359021907725,0.13730235198111004,0.005922515164808097,0.10132691167710137
2020,0.00020616445369260456,0.06522954169461576,0.0028786861957806986,0.0028499022884727596,39.433363237924304,0.141139001075651,0.005753093611763622,0.085786849466687
