year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.08353706113888146,0.01256264318824455,1.5880904382398772e-13,0.08597598828787284,40.35653223680939,0.07319800107797114,0.1417690235034454,0.17947349346029148
1949,0.0812662483901919,0.013088635395439408,9.478963913249475e-13,0.09436582257347392,40.83502215476538,0.06885180416665967,0.13564908817475216,0.1800328268500992
1950,0.07251640799166076,0.014446144960972792,0.001047667450250057,0.10906412924292311,42.303828067013136,0.06201307318705814,0.11943640975094633,0.16890183860754293
1951,0.0691587754935945,0.015629038155580588,0.006391939514038825,0.12430124259228137,43.43907009178133,0.0594104466743679,0.12144379417384454,0.15721328384434852
1952,0.06608650330045052,0.016987090697610174,0.010261364524819072,0.14958394421474352,45.5358230009425,0.05536230442742607,0.11893450429955477,0.14967165980696606
1953,0.036846061090373854,0.020112788998521487,0.028625134553270464,0.09273004018667358,43.77444739686419,0.06421634329706732,0.11042621409196902,0.13240416103230587
1954,0.031014103778803016,0.02051513936316155,0.029336102127246542,0.07730169336842707,43.078351627462624,0.06637054803036513,0.10388365882582175,0.12061005031498083
1955,0.0198154998393749,0.023119873091482668,0.03467207184246064,0.05124186924771932,41.558327943051374,0.07725772652403881,0.09706999693465954,0.11593236629012271
1956,0.019538555119584765,0.02520151292071582,0.03393006248525471,0.06678438323309654,43.39647646723122,0.0704624117634232,0.0936975306024628,0.10946721333663047
1957,0.04171704526201825,0.022410143490401935,0.02239946222819897,0.17588713079794385,50.87605369603509,0.05180459694738302,0.09703356330881965,0.11887448868832019
1958,0.019825594368093606,0.024043321298756345,0.03251271645281513,0.06023121598869997,42.78102960591769,0.07229635406073324,0.0920600469452245,0.11472386903764706
1959,0.022626533331425946,0.02424465373433482,0.029483767608893707,0.08271821635228171,45.64153639629496,0.06399537182240955,0.08897549928837142,0.11109409557720529
1960,0.015808356693862855,0.026031999961379913,0.031845562542171295,0.05424880613888922,42.796991779283125,0.07406707251406167,0.08464586587955344,0.10676629776565656
1961,0.016932414518669833,0.025544574861194595,0.028871223000715065,0.05961709404340676,43.43779643158667,0.07045540277893655,0.0805941478386722,0.10402681096528697
1962,0.0170643049161372,0.027166349812054926,0.030020188512713365,0.07421682938690083,45.54521160261364,0.06706181591881172,0.08183505097317338,0.10171781565552872
1963,0.013811763359304565,0.02782111944037768,0.03038388064992763,0.055226661449579786,43.41168578903599,0.07321476005964901,0.07871129330389971,0.09719374640783561
1964,0.012906066797256255,0.028471107675277718,0.0278616015250428,0.05805574592582641,44.759017296002575,0.06907714395677012,0.07188361028421153,0.0927035558033511
1965,0.029589252858970738,0.025784560492214115,0.018796557830551563,0.1887357540311676,56.10647980543425,0.048031525311112544,0.0685916258925634,0.09636122142010173
1966,0.016025603444345116,0.026989175874401194,0.023521968794280035,0.07447099150207315,46.35704365369961,0.061265678381474675,0.06702503849142882,0.08723947136732058
1967,0.011443575322922311,0.028539464034243046,0.024490247202185452,0.0488211525771618,43.13919558157972,0.07011857280398043,0.06370706055574049,0.08509649689652318
