year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.031935675477792635,0.0203812904988847,5.309681232904042e-12,0.06902028659778817,39.73666386192586,0.07519187549136978,0.04963758857895438,0.24635321276911973
1949,0.03380462100014311,0.020296154793070717,0.0014465040186650744,0.07774545114732495,41.06950117902068,0.07008880494362023,0.05419608167534418,0.23581106551644462
1950,0.030080629237067325,0.022803731190290763,0.00469198370135013,0.09883144861153043,43.92951622438618,0.06232519991649347,0.0519143108504553,0.17671946233854588
1951,0.006307472217491474,0.03297030153019279,0.022232003704305843,0.019859655203393858,37.19440154611604,0.11995088020896953,0.05112365339702628,0.14232378042971244
1952,0.013400717407441528,0.02822305594803394,0.018154895858668772,0.05072294904058056,41.96565305673564,0.07767166385256603,0.053643061606569835,0.1498692636819616
1953,0.012310086842714648,0.024935900468886763,0.014464279887043007,0.024968681085733937,35.21221397053989,0.10347986604307946,0.047148984127516794,0.16377655355129697
1954,0.007596602199615292,0.029811316337225335,0.01787613304167091,0.018222340994434504,36.209929014893966,0.1361671556965234,0.04436545896671438,0.19996770656294374
1955,0.01014649982678015,0.027398563957866825,0.016017643410390112,0.025269434945870715,36.50234136121989,0.1030583995742945,0.04610043038771228,0.16247516152109617
1956,0.011988594774145865,0.02884552205772623,0.01360556425215342,0.04713027155400758,42.137904985195235,0.07934874876997673,0.042761255775944126,0.18000651878118817
1957,0.009015429665574106,0.030433033746191725,0.01694751979692316,0.032020254977715934,39.13511495848316,0.09399429748323199,0.04575935123869627,0.14764612669612373
1958,0.0042793414069673885,0.035901363725235516,0.0201516296211541,0.015092576788929488,36.798369395692525,0.13026203143828013,0.04371295247963692,0.14069368541945299
1959,0.005623430244441474,0.035088922564947465,0.01949126070495707,0.02474773122167478,39.51253950775857,0.10287577963201122,0.04495493922266481,0.13512567855681223
1960,0.005467654082850997,0.03454672357796641,0.018306516582134277,0.022821657007849296,38.81317084460718,0.09846830253105192,0.04253525986261146,0.12771503663051387
1961,0.008663932198103037,0.03090507174267642,0.016223206018319634,0.03329650551175592,39.67126792309431,0.0874013814848414,0.043739711509148474,0.13851886213117098
1962,0.007456325539731987,0.032941991340494484,0.01467226677257008,0.03544593583615455,41.259164751389065,0.08326992511309698,0.03849602201975008,0.13264939973785225
1963,0.007067570329677555,0.032503898092146474,0.013858207996564306,0.02910180610569575,39.166978888126515,0.08856418071469283,0.03671706053414269,0.13532481563865362
1964,0.00619319188797924,0.03159995228495961,0.013421822243904731,0.017095520622027623,35.557711537488295,0.1186531874266824,0.034414204107475484,0.1853029976087542
1965,0.00486468243520917,0.03607601892221637,0.014850237184527652,0.020307722006715934,37.77175840008215,0.10857428027442641,0.03528941587233238,0.14287016528817215
1966,0.011534460736163207,0.02909150979006062,0.008277635644906328,0.044118518063330565,40.24465056633531,0.07874991187588534,0.03224489176968804,0.18755000625776277
1967,0.004279522991826863,0.03548635033233125,0.014390631734013476,0.013123673860146661,34.964925891993246,0.1355606528811355,0.033422579017156444,0.1586550621332464
1968,0.003713044206391283,0.0384480483517717,0.015802318358577924,0.01636581259877901,37.42127364737245,0.11559970224279302,0.03499320250611666,0.13553024675737307
1969,0.003256942173643377,0.03762724505951895,0.014203389996245713,0.010284125191823387,34.28385633989195,0.1426682469912637,0.031238908506915374,0.1494056220606256
1970,0.005530531582344486,0.03268773771302296,0.011805505696271883,0.016909838064782367,35.387475778511885,0.110057660990445,0.030789304426387002,0.151846085296864
1971,0.0034380166329341603,0.036984069913615934,0.013918004569119003,0.010645255941642198,34.09189847337675,0.14129090341154452,0.031449535486560494,0.13890487823444927
1972,0.008066374269358767,0.02923038678840276,0.008550383417470338,0.021957818997142324,35.65573177368222,0.1047007196973176,0.02877237804547683,0.19716396230619881
1973,0.004698089812390929,0.03279243390491393,0.011649743702649732,0.011311559775359688,33.21879241790443,0.14605812415430028,0.029143151506392597,0.17189303839817394
1974,0.004278072822359805,0.03319404113427029,0.011450578791591627,0.009851445361175387,32.36200603672876,0.1528837157658557,0.0283955161693604,0.15572035048889488
1975,0.003469473167312132,0.036445397751743235,0.01266141719260296,0.010600523642555811,34.27074418999739,0.1419571648994843,0.028735850791622313,0.1577745215054032
1976,0.003479939826862128,0.03340076937829215,0.010523594439368704,0.006137764997384698,30.334319414954734,0.21414857259458062,0.02508463760064312,0.1714280337588748
1977,0.003048053220382571,0.03586324921952196,0.011383756736981934,0.006831221002831338,31.931349793291158,0.20403224144685794,0.026031460599260346,0.15166111597260581
1978,0.0024384671253898896,0.03778166648854352,0.011063312448519137,0.0055911602379678125,31.220608697809123,0.21609929286154558,0.024543253579745527,0.14058866577875975
1979,0.002316496884236533,0.038918416803304136,0.010481150908748908,0.006022251676548947,31.845373524754947,0.21252699999757546,0.02308219221804638,0.15160777619298502
1980,0.0020519998203210256,0.04119387065228884,0.010875875116440671,0.006746437077690567,33.352251776535155,0.20388932845982044,0.023486646296340175,0.13889602600290962
1981,0.004038664892820589,0.032096566368749316,0.007701158603818183,0.00831586921682123,32.28846857748306,0.1707357428337991,0.020556058891179743,0.2175026179680187
1982,0.0021712335346954926,0.03927525697371404,0.00983013522416939,0.005971073880904124,33.069475014313056,0.20833740935374118,0.02146580980034706,0.1651570606137314
1983,0.0019234425864822755,0.04115817952255627,0.010814540436039171,0.006631678265048092,33.332048441792914,0.18292036181836535,0.02355584395282707,0.11372685334989988
1984,0.0021315880442190033,0.039879792529494744,0.009808463378208919,0.007128677213703397,34.16248291939123,0.18116475544711136,0.02160958053072473,0.14904192564044963
1985,0.002040045166819851,0.040103710163642066,0.008957641935885805,0.006408917501326769,32.857240035500546,0.1989287899367898,0.020039886182775947,0.13973501175766265
1986,0.003312907575162315,0.036202426318011884,0.008290204444693553,0.01124521704812791,35.67420561336351,0.14671870250097968,0.0206356211968325,0.18687883955306495
1987,0.0025908258952858573,0.03795138405509622,0.007814918657433658,0.008509424449860003,34.33389887487212,0.17374508103421582,0.018811164360439822,0.16374086160424975
1988,0.0024182792165802222,0.03822670693243877,0.008838873205366452,0.007889263213898145,35.14625304291138,0.17962943570753304,0.020180633899870213,0.1701477287747584
1989,0.002476185830205018,0.036387981175523165,0.008115135931654789,0.006564335596558778,33.54550942824604,0.19427738195910904,0.01915231858547172,0.1612329635032247
1990,0.002479622560599799,0.03598259779440979,0.006303273256766465,0.006238080746738058,33.65890841881088,0.20553889858459132,0.015367929212434744,0.21833395587174978
1991,0.0014808992492774211,0.04314703168897656,0.006715222537755716,0.006605844764875111,36.15341068257674,0.16397881556136157,0.014875364847072615,0.1427857092700157
1992,0.0015483484514753753,0.042126441040652364,0.005697986765913951,0.006317085328645388,35.26196636150553,0.17889816364404357,0.012961764644950982,0.16882975946173143
1993,0.0031106570123010614,0.03277069966060449,0.004302043797771481,0.007597042394067669,34.26061867516862,0.16018781078556385,0.012969764972603867,0.24631250222323092
1994,0.0012693695605028284,0.04417628089763633,0.005785241727325704,0.00579754372031055,36.28589613289593,0.18666412998781273,0.012558492280866002,0.1758290863538693
1995,0.0013598481051975175,0.04212175201831022,0.005304374851427704,0.004810068457942142,34.325119035203144,0.22404774518629317,0.01202852650611786,0.16462446845401227
1996,0.002386745728390923,0.03740761643581122,0.004886040937523147,0.009039618048586608,36.396785817765966,0.1491969881375299,0.012928666901770866,0.20402728230824368
1997,0.0023484222660146653,0.03595761908956421,0.004400103212053189,0.007577526011354359,36.02501879235347,0.15505849027734814,0.011844974044738974,0.226596250809109
1998,0.001992182885280491,0.039165054337352956,0.003503180148710019,0.009608375756471221,38.537783050607764,0.12625152124877778,0.009553686729364361,0.22316356654671554
1999,0.0017798588175076604,0.03896612686729599,0.004034694044864546,0.006889145046799702,36.184081534008335,0.15272014869126851,0.010376270139658297,0.19825431187017772
2000,0.0013219492133989697,0.0400672669619031,0.004886081706755923,0.004572283819526905,35.43022490159955,0.1819220423764355,0.011138072016522407,0.16681703556099312
2001,0.001487107990860431,0.04019226848912659,0.003984412355198289,0.006294739648254222,37.08587506495078,0.15414677776881175,0.009646528961431157,0.20654455193565716
2002,0.0009751097067305124,0.0452391793578946,0.004484891952307602,0.005488776095133928,38.33715060327368,0.15190318441044462,0.009892901270387553,0.1470006798508878
