year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.04379184851504114,0.019163520648006534,0.007957095477604838,0.09990927904601649,43.10312915248927,0.06455684761982025,0.08371774087159878,0.16620535531668104
1949,0.0153198311623335,0.025444971336447037,0.03197089770877645,0.03462225472918255,38.44849839916093,0.10243487192857384,0.08590733843172257,0.131586595194015
1950,0.00249081753941587,0.044265264903993386,0.039615548468630295,0.01154099622228313,38.55387042602067,0.16285423090958537,0.07839192699391491,0.08150061185351148
1951,0.0028843338609687266,0.04317845091770678,0.04019321009336774,0.013085263069821789,38.09165116220402,0.1434674574724317,0.0803937753438263,0.07981161972705554
1952,0.002368779889136447,0.045076760009877856,0.03829827823417597,0.014794672128832908,40.50047623135941,0.11757019655959952,0.0766324061158758,0.0651187154661297
1953,0.0012734987267422,0.05001352810586621,0.03760105213725864,0.005660300083966302,35.367863524730986,0.20087398980814514,0.073851094774354,0.05395274806199746
1954,0.03813482641087518,0.02680131705028732,0.017139232561622864,0.345371756524969,65.37494112816768,0.041516901136095186,0.0640404689634545,0.08339901106054093
1955,0.0031916223448560594,0.04035058337415887,0.03014481254404234,0.013808567368161542,36.61066751878589,0.1225418430603166,0.06252139281090598,0.07809357593114662
1956,0.005027913107246753,0.04131641343146982,0.02648695570940376,0.05688130033950444,50.04060939032861,0.06796422665020334,0.056786799690903854,0.0583345146391073
1957,0.005092280418418749,0.03917216680469049,0.02588924319450428,0.03753011910718973,44.20361512633679,0.08077302380636486,0.05602690773497221,0.08875939131865884
1958,0.022400358261474462,0.02799399717813844,0.01506231789775958,0.14082738905342485,51.30679431448819,0.052712730265625174,0.05423252468822437,0.09495409018229117
1959,0.0251058499305592,0.026608642057863507,0.014492795532280667,0.14408103937644956,50.59728911769845,0.05075779558741367,0.05579751378196174,0.08496153110391358
1960,0.0019234184095349985,0.046614366870825416,0.026915369888916685,0.01110466973641514,36.588391120588504,0.1328285909355879,0.053889517126344294,0.07631850776858567
1961,0.0057755306096557435,0.03945719799580749,0.0237742783947978,0.05190752432338841,46.69294068937204,0.07449869728315783,0.05301423411447964,0.07628305017965009
1962,0.008046415583389699,0.03507965062216001,0.021697687312981273,0.057077310219729505,46.45928844030619,0.06928076370651581,0.05148941430425047,0.09883618103449265
1963,0.0003581801737727412,0.06845941863966015,0.027554939294499373,0.0030417726486264463,34.48637730996136,0.217910887516248,0.05331828424376649,0.040881978940295105
1964,0.001429060528032658,0.04931716850316072,0.026066950748067308,0.008830387547426427,34.89623614241696,0.12920057637553756,0.052729297657363595,0.04607854496434917
1965,0.0057832042749127455,0.03939838194267442,0.021687108040005842,0.05778543035983352,49.20291531288198,0.06739470764061606,0.04808346926133933,0.07688193770232299
1966,0.0032036159972698777,0.038810299868280926,0.02286215440162076,0.011132918389919559,33.981597977223565,0.13754816033555306,0.04839277438514081,0.09715161039414805
1967,0.005714855283889209,0.037939534603772196,0.020032371081323788,0.048066777021202434,46.6853310361374,0.07017804031598818,0.04552291943814396,0.07305013302644181
1968,0.0066613685545434675,0.03737894856223023,0.0202880978673175,0.06020195059217359,48.39935030257403,0.06425504227660728,0.04666366305709209,0.06019553762631391
1969,0.0003804296814495339,0.06586401594514575,0.024285501676127665,0.002234196642672695,31.75320562953665,0.28720807192743536,0.04706713306392198,0.04327280997792874
1970,0.0003140373175545686,0.069698699359031,0.023101788323005506,0.0025765729832063263,32.9597620069092,0.21943829041983046,0.04473363811775508,0.03930408486644447
1971,0.0029725567752091698,0.040302816070307744,0.02026890087987461,0.013341161189615596,35.62295488396153,0.11872582664596643,0.04336597306726926,0.08566384027394945
1972,0.0020111708013128486,0.042564522373876125,0.018482654982894354,0.005612561411975892,31.12994181806622,0.2566642788426806,0.0379338308169603,0.10197325734075909
1973,0.0036123740107077947,0.03848195652645658,0.01750185924314562,0.012532379123160436,36.07590569384846,0.16575488874877609,0.038001973694500306,0.1532013718423683
1974,0.002924091148735396,0.03891456508571421,0.017550708211534836,0.008300054525030291,32.7635742339172,0.1808494215645093,0.03779058429071713,0.1156423810375794
1975,0.0017766311745123094,0.046211113192225726,0.018775426221171593,0.009155360414978804,35.401188146975514,0.151535805261002,0.038856054698015965,0.07076379920569834
1976,0.0035050149003856396,0.03816527935249969,0.015267370075197836,0.012079102920142254,35.08437480653641,0.15304472858702575,0.033937285308086824,0.14839817904182306
1977,0.002157821651628789,0.04259497921341783,0.015217236300615139,0.007180812786764713,33.245741423430246,0.19418848351255388,0.03192160020223058,0.12272893263320073
1978,0.0015042809956580378,0.0474230378552326,0.014939314727256167,0.006628730950328364,33.03858566822843,0.19448082016598509,0.030328157188463583,0.1039823612499302
1979,0.000672789909527308,0.057553170772438496,0.014691405342166841,0.003653619000392656,31.72074266029342,0.26456762126466754,0.029257151583903816,0.05614701639626695
1980,0.0012640532222780855,0.051703791630753844,0.012524470730973021,0.009330941823662836,36.361062830766365,0.15555096318649483,0.025863980538555653,0.08239637290671006
1981,0.0015094494839659365,0.04972606054487123,0.011769160062634017,0.011234557376112814,37.3938334659712,0.13670555755132488,0.024213237108148485,0.1181683375754681
1982,0.0012318437012316288,0.050238963201335946,0.012506562738614916,0.007259167026049327,35.29472250674236,0.17289242011631573,0.025559070518328876,0.10100580222521983
1983,0.0006515562747065974,0.05876060765449352,0.011616616820774375,0.005868811325964679,35.503720447525886,0.1760004290624364,0.02313638449008595,0.06665711123188157
1984,0.00046266295862097836,0.061898905193163434,0.01039376986782307,0.0034396964315915684,35.23359938254057,0.2268720946945985,0.020043538549057053,0.09293546895091155
1985,0.0012635438947970075,0.04997201074286759,0.008437742616495289,0.008495846417085166,35.80109362056046,0.147857536211639,0.0176436610219149,0.12752892801064725
1986,0.0006241909671948731,0.05850023201740791,0.009761363693540567,0.005192128561946668,34.62729141226864,0.18712923490299926,0.019752778351129492,0.06754902143251175
1987,0.0010518797854654782,0.052901000706836024,0.007755303422752393,0.010307625099620377,39.58909585649012,0.13973446864739456,0.016217617720047442,0.1162151710698633
1988,0.0009537830249382856,0.05246706034686815,0.008254218765518375,0.006411496982612173,35.77451702360462,0.18521358994591702,0.016585413352652165,0.14052188566364457
1989,0.0009603427390698086,0.050956387461145405,0.005886878874866514,0.005927487303633923,35.134399132135194,0.17953702157328713,0.012040811835712144,0.17452715106137434
1990,0.0008363337161748481,0.05324383189438271,0.006793930155010586,0.006269203937726575,36.62915598188995,0.16348662532610952,0.013875868559948795,0.13112378647621692
1991,0.001511395646911077,0.043260102375442346,0.0060625840272606375,0.006149378769235874,34.10543611559642,0.16567136326072923,0.013672068613253076,0.1651237243603391
1992,0.0006836944452036738,0.05438160977592295,0.005379753053799338,0.005271788892950594,36.089134968886185,0.16236454533506858,0.01083103730526246,0.1434043706183138
1993,0.001582471752903453,0.044603227063177237,0.005654501933113309,0.009048858640786759,36.56759583046085,0.1394872139824504,0.013125087746826051,0.15453276903583263
1994,0.0019227392531435846,0.04361052945634731,0.004393855691148413,0.012927453119310373,39.02534772316342,0.11299261710183241,0.010935581403874906,0.20148172782321916
1995,0.0014556091155018614,0.045271160569272134,0.005690745396533698,0.009640891237552294,37.65014020508937,0.11957344129245667,0.01316461241508627,0.10889806043338897
1996,0.0004046490592547035,0.06237392991730399,0.005606009337449715,0.006274178289803135,41.34917532608775,0.1466719066468483,0.011408472955969659,0.06996587004802196
1997,0.0006614512336904295,0.05215786482040125,0.00502438286663974,0.003916692613673631,34.16204296009499,0.19566070950744627,0.010500893379563087,0.1184579882870727
1998,0.0006097571171428636,0.05183425113234309,0.0050464937611543826,0.0030781371952134508,33.59493506055506,0.22599533312435666,0.010556283860627425,0.10599036771541125
1999,0.0007048123026970307,0.049777232621129444,0.005788648258157088,0.0031493031130378907,34.146281756575306,0.23068116624090232,0.011732584420392843,0.1394173462925323
2000,0.000584673374298555,0.05144403775289122,0.004321653457348257,0.0027393907554623797,33.68088360417873,0.23880768988371515,0.008918556466816328,0.1339375047750463
2001,0.001217013219638654,0.042343264268535574,0.005045798275993371,0.005574828188876321,35.12123932388814,0.12786645161380084,0.011958203547724852,0.07927929926614315
2002,0.0006353420584930507,0.04857667539147628,0.004080376882085698,0.0019973347516911042,32.00711470626128,0.3403856828657514,0.008466364195848584,0.15760046854851947
2003,0.000542837736820913,0.050128389207235204,0.004830955898533825,0.002212211950669025,33.15025541140144,0.21859792820227403,0.010045955853904415,0.09987149637443128
2004,0.00055583252414836,0.05079844901689586,0.005076596166668533,0.002150412136146442,33.39571015381192,0.24909246184370445,0.010147648936222123,0.14366149424133343
2005,-0.006294351951624985,0.021555017386288657,0.02171045102578517,-0.0019473580780268456,36.37879302055678,0.13320770641051313,0.04283424313169745,0.0897367333351796
2006,-0.003026582852656557,0.03297825410654044,0.019267270106695874,0.00291001795171711,36.37665326535634,0.1461666471838906,0.021373315452526475,0.09939559776381501
2007,-0.007771899288335753,0.02690932689968804,0.019125215465502513,0.010426024766135758,36.38614552314484,0.1303379204914589,0.04229978771381059,0.10396053098469328
2008,0.00045111797062471115,0.05018601308677355,0.004482458576923447,0.0011714671111907793,30.246294364807746,0.39523986821367596,0.00929087911906043,0.07705366612521498
2009,0.0006258738179083781,0.045293962959343834,0.0045357637538188155,0.0012303051529512958,29.85768069170477,0.5165630798439874,0.009529332700710987,0.11674969479373071
2010,0.002459806152796774,0.028045897110715562,0.009193011615111357,-0.005019501181523078,36.37332049458215,0.13450070877265036,0.043305817681117346,0.10158640596998762
2011,0.0007681903578080353,0.030827335022971105,0.0214859228175373,-0.004453344501756299,36.37929277323662,0.1300228208194482,0.04071897343072281,0.09574005880114862
2012,0.0002714545677758392,0.05672128021354867,0.003306117904446484,0.0010332762968765482,31.93461031712452,0.41778762791070506,0.006899816328573582,0.0513040930497467
2013,-0.0020659278769590648,0.02277640199834648,0.02331303264917567,-0.004992455793171,36.3892958754394,0.13782555628423857,0.041036218449050914,0.09964116338621254
2014,0.000360363643494245,0.05451948757015736,0.004527386269910844,0.00199019710393572,36.74024837588331,0.23251812027184535,0.009199167079660139,0.08625907226479593
2015,-0.010005425453170567,0.023066068186499606,0.023761342700125313,0.006035085905331492,36.36400159441959,0.14885447784229305,0.052467970296102576,0.09778165399153389
2016,0.007466916270838028,0.044930762489100204,0.008572251648890201,-0.006255768375537814,36.38679075005562,0.1309717704951498,0.04030681982549315,0.09594917337307542
2017,0.00026862812952489496,0.0578315870506335,0.003439682044317006,0.001322811686421754,36.79962705666454,0.32684442029914146,0.00685244766417354,0.10352058929927986
2018,-0.007366824603638812,0.02072949416113503,0.01812124320234013,-0.00021980662411426755,36.377884861973186,0.14463019228641513,0.03951531847823789,0.09912573116688031
2019,-0.00578880265942775,0.023052378276352124,0.013889030740763744,0.001212267020784254,36.384006598352315,0.1409577371493099,0.04181259554440699,0.09433175722309738
2020,0.001601422702385068,0.02085405495369454,0.023804724984805608,-0.001000812798074254,36.384727357797516,0.14071754163051559,0.03490375612878806,0.09782587567878855
