year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1958,0.008967064487672852,0.03148303299267625,0.06650919165633508,0.03483525577465925,41.745500652510465,0.09728404319460585,0.14301831803860104,0.06410497644967948
1959,0.010360468603291614,0.03211136936528208,0.06531955065524461,0.05116548845278703,44.461014501758406,0.08447256991305725,0.14222137003228982,0.06517916755134595
1960,0.006278735316141599,0.035114189400132306,0.05198729701357454,0.03208359221841109,42.945761879086426,0.09449162814082505,0.11032592848553402,0.06215580552445175
1961,0.005198125352020864,0.03626299718276628,0.05022961793181128,0.024704672691385432,41.40218145212472,0.1078013911996694,0.10516231585228737,0.06400699285608345
1962,0.004911334785261073,0.03728764249518676,0.05110286404521886,0.025652658665482227,42.04904433097182,0.10492461340561195,0.10652307875994103,0.060191699217349175
1963,0.006455079543011365,0.03558300541915556,0.04435164151874448,0.0377957265195354,44.58134976834788,0.08818910516175828,0.09532432883017926,0.06909485331961134
1964,0.004726118519909395,0.039719691730112805,0.04407482533698898,0.0373855528305973,46.01118875054439,0.08836257398517033,0.0921235315631625,0.06005772426080913
1965,0.0035306290185099414,0.0405415084333531,0.039014626084474445,0.02291168299258874,43.140813711255774,0.10280310151230224,0.08044215971330987,0.06504241391145318
1966,0.003825248246580225,0.039791928747280735,0.03580035291595187,0.02530805025536568,43.629855298301194,0.09665951479205678,0.07463535330041998,0.06690300047717232
1967,0.003783838571612178,0.04025639706608873,0.03513154171850065,0.025947406582253595,43.77388236291749,0.09541315469781544,0.07316286824901447,0.0677788133119562
1968,0.002812622350568374,0.04173266176786746,0.031470638628382556,0.016693794148389438,41.3604706691927,0.1111485477275848,0.06463149527275412,0.06900310283504989
1969,0.002740051926245873,0.04291755079216786,0.03274448666537723,0.018041278866925668,41.916907935977704,0.10802566250012757,0.06708279578340907,0.06500069939604898
1970,0.002785560096814089,0.04212351650742265,0.036888153262926576,0.017434851545623516,41.59833541136271,0.1064276567553824,0.07560867018088431,0.05472662524088753
1971,0.002833557829750935,0.04306747959382956,0.033069906435995305,0.02044755872018117,43.07574976875147,0.10199546535606518,0.0679004526356263,0.06212834011027682
1972,0.00187019022539335,0.043911767072385824,0.031399514826780134,0.008762672790972183,38.293647672307394,0.13847038306478446,0.06334317493879299,0.05761619553135631
1973,0.0016506836118509003,0.04491721883090438,0.02914494281310277,0.007025458994014558,37.02833283254024,0.15173857184687384,0.05860679073884616,0.05821143017800508
1974,0.0012925357431699874,0.04727216340769337,0.027364318055628757,0.005313281631400823,36.29809554373958,0.17110754779869855,0.054624239446582463,0.0562005025287191
1975,0.0013734818426589222,0.04589398063611671,0.02851254942201507,0.00432280450927233,34.458764007565435,0.20148614337137094,0.05691462855599144,0.05650328160903827
1976,0.0011695097131607026,0.04822379571197125,0.027724098486127384,0.0039032490679066435,34.67543662837502,0.19965612881521935,0.055301498099829,0.05065500432167286
1977,0.0010356487558401191,0.04915123941626385,0.028041974813838647,0.0026654225543317487,33.05427100942097,0.27546326793010756,0.055641657090142405,0.049234234689244975
1978,0.0009839736117956258,0.049800818983848194,0.026817690048975943,0.0024167090786594843,32.805051564307135,0.285287130092888,0.053133660800303434,0.049900165575974806
1979,0.0010571957978429485,0.0491696021871323,0.025297380346516594,0.003004376301182772,33.30850994195657,0.2330769021698629,0.050420621690451646,0.050563319804998216
1980,0.0009393593469849649,0.05101027097837395,0.025113825588118383,0.0020631782149785763,31.738096461046005,0.327313595854857,0.049598078055766145,0.054492466754185634
1981,0.0009019677099565703,0.05142319997002372,0.02422045207902237,0.0026696413366548884,32.19408291613934,0.26363925297962043,0.04806846791929339,0.04876036867398817
1982,0.0007715322664332874,0.05402011921050019,0.024514461606128732,0.0027152164138279852,32.913284062165886,0.26519001771903233,0.048534663542516426,0.043949883418968716
1983,0.0009358733812180888,0.05171065064308374,0.022871045452967358,0.003151482764050779,32.84644598256369,0.23962620823682212,0.04560831742230136,0.04980827632152705
1984,0.0007880750777256842,0.05448854820266106,0.02224129430982881,0.0026578318569781493,32.9218545813488,0.23743479082045402,0.044077999143211276,0.04977857021439114
1985,0.0007314847959564748,0.05601905898746837,0.02103761389174205,0.0024161060887072476,32.06114021655688,0.2566459547522045,0.04161033302131986,0.051574842037107486
1986,0.0008016324089969381,0.05480868840498046,0.020186453852178054,0.002782347049315001,32.0244934126053,0.2323047403321104,0.04008413927993647,0.05420852358089628
1987,0.0007312573959053012,0.05611455369541074,0.020476005048714038,0.0025346403567321828,32.10070845089318,0.24162493052607822,0.040583864174540046,0.05210406682505696
1988,0.0006984143304303759,0.056759238001070966,0.01993320264578878,0.0026643112319445546,32.68822101712401,0.22221243800459617,0.03949052890780738,0.05127060698963839
1989,0.0008409342780263945,0.05383399477686497,0.019193885192098498,0.002558530401051515,31.60452760304479,0.25966910496873985,0.038146638381551815,0.05821396895203285
1990,0.000995879965475402,0.05165546083238996,0.018397374940555294,0.002900176983110223,31.823973284742173,0.2347281825072458,0.036835103912058964,0.06484540183858313
1991,0.0007916221619393969,0.054681057526897815,0.017539926470816296,0.001799360526024365,29.42911969173603,0.34575066887599315,0.034989157733766416,0.05691250253786911
1992,0.000795921470241075,0.05404996018115908,0.016491322367141046,0.0017456760499946749,29.18598239358378,0.352261773254791,0.032898312570338574,0.061692269749510274
1993,0.000596106098553174,0.05776196590258165,0.015454040909703584,0.001510929636272318,29.295798349902217,0.35313916858487643,0.030628974116139695,0.05531633704464735
1994,0.0007548589283481831,0.053858356339970034,0.014263577065575255,0.0017334155218841562,29.34910088542554,0.3248014683722939,0.028456615701976808,0.06764567208038617
1995,0.0006143668064392865,0.05679368442642564,0.012511481415902016,0.0013771213795141395,28.587581468888434,0.37831161617424003,0.02492673572354786,0.06370306665095488
1996,0.0005318448327501621,0.05879751375048525,0.01172910411415063,0.0014003126796208847,28.9647398260425,0.36931248670084477,0.023182112263913184,0.06580310795857466
1997,0.0005323974176209544,0.0585633514384431,0.009497327220223,0.0013539275586499679,29.1219251757075,0.40454446458926757,0.018819280436085394,0.07697797640194377
1998,0.0005004331035502752,0.05914413835296064,0.00895150079210755,0.0012865273196313862,28.581080068984846,0.4114982385326346,0.01780824888060478,0.07292513213481663
1999,0.0005595309609639528,0.05769189424624039,0.008210978123669416,0.0014712507355252532,29.327896007672283,0.3918229677548452,0.01627875137848496,0.09388378721881183
2000,0.00044483583694791183,0.06034887504426488,0.007627290315875465,0.001306116765832015,29.20927901248897,0.38884814205374896,0.015169504684611278,0.07812834092439927
2001,0.0003970674838388966,0.06177492198000852,0.007114687989373645,0.0013567073494285603,29.670121917260808,0.34376786811238824,0.014078581541928,0.0779180977831119
2002,0.0004256854371117341,0.060366664752362034,0.006916713937172585,0.0015223279223464466,29.907749151407028,0.3198640825009462,0.013784253878599804,0.07734126134863353
2003,0.0003241946663679587,0.06404617572978949,0.006636977329102441,0.0010864483540630248,29.077741259681734,0.406609812477175,0.013128009915923838,0.06848089947201626
2004,0.0003432096384980149,0.06346987504070792,0.006428031336339344,0.001224889781364988,29.698382312872575,0.35844930106162876,0.012750013409883635,0.07366644891318501
2005,0.00035078877829962835,0.06282893910361403,0.0060338285965826025,0.0011029249200000188,28.9473933230627,0.4178076137576431,0.011923831286626694,0.08321630398684528
2006,0.00035878588855422285,0.06259926712751641,0.005601663457877992,0.0011737304937783498,28.42993221887086,0.38706512333907644,0.01111042188857433,0.08613408164168337
2007,0.0004487571687397013,0.059520221933324846,0.0054396646141322575,0.0015576418999497161,29.358733782511212,0.32166846677221317,0.010956213786559855,0.09839509595925634
2008,0.00044078572618597573,0.059434167798604505,0.005177960181611376,0.0014762690808095911,29.679913657699586,0.3474624369846963,0.01035574100514359,0.1110189114606386
2009,0.0003378367949587629,0.06318135386838933,0.005022058525255017,0.0013194251069255623,29.640396635715533,0.3522224234253996,0.01006491658118316,0.08067468202582682
2010,0.0003379306176263114,0.06252943993851626,0.004535458180631147,0.0013002637596316634,29.697736959828667,0.3583208797718536,0.009112039217088742,0.09180903066004119
2011,0.00032814246950563285,0.06261352624289855,0.004282203519496744,0.0012582427846447356,30.059861124904824,0.36255768863046134,0.008571702077616962,0.0970282144663034
2012,0.00031048021853757147,0.06371366485169659,0.004353679963521744,0.0013459270767094223,30.382952208528337,0.3524980726011586,0.008696409708864122,0.09377100443793662
