year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1950,0.03660859796934533,0.015886140967919654,0.08488895137681458,0.0333613951952383,36.514804280568946,0.11638297810917322,0.22992928116070485,0.07960672285444864
1951,0.061901501659375954,0.014955923907213852,0.05740176984968421,0.07660609313532463,39.676978816568074,0.07910407991083634,0.21935361420973196,0.09659282926262246
1952,0.02981818464836254,0.019166989926405413,0.05075089276846626,0.045687020787633356,38.35335057164511,0.09267441712633272,0.1493671110098748,0.09897020723304031
1953,0.022480202700940317,0.022923715553919925,0.04383295337309402,0.05145385787437697,40.6810746510235,0.0870804552074686,0.12008606450232202,0.11950796169339417
1954,0.014323872698511157,0.026937292176822846,0.03899198593911289,0.042434968804141354,40.92294470878243,0.09097429054631685,0.09662917146857972,0.1177405482973938
1955,0.009633510670124025,0.02890946564756275,0.03677779695898651,0.026928433577133676,39.06766585218578,0.10647203850584952,0.08494559020280987,0.11327749377862549
1956,0.007604587499348853,0.03247734771801562,0.03495538160768416,0.0304503690001434,40.83060658357464,0.09816621758136819,0.07824819448864981,0.09880435989139949
1957,0.008655717215944925,0.03245911056739012,0.03938004327344007,0.03666597633481675,41.570571517154804,0.09602223812357885,0.08811902588864493,0.10094374536133968
1958,0.010624860411032144,0.03049898702230001,0.02779547126115746,0.046525736939335344,43.13850248847972,0.08305453364829485,0.0685966424341967,0.11916826291798488
1959,0.011511677468592385,0.03238421285378035,0.02307470713776505,0.06841547545302884,46.51479772642883,0.07524564221317798,0.05914683219933181,0.1432569501173362
1960,0.011658005938453453,0.03100771637654276,0.019738556511998295,0.06378463865777029,46.483523547838935,0.0740799223353088,0.05361900235604122,0.1454349413085918
1961,0.010520905398519353,0.03214473222302505,0.019666960086923035,0.06386378564877848,46.965615758831056,0.0729739907239555,0.051879104955691924,0.12881498405852687
1962,0.00497406436296072,0.03956535674436818,0.021252856638265344,0.04020370385594522,45.83977241238465,0.08811864448675225,0.04671920487787933,0.12265636141879323
1963,0.006110190522346955,0.034645120455999684,0.022048392115637087,0.03204612727956141,42.886847138215735,0.089700899101404,0.050754671977491596,0.11350586437265417
1964,0.0037373096374555253,0.03667189998567021,0.022478236414127068,0.014748560873713205,38.81748579266027,0.12219976381138668,0.04772215450061995,0.11743453047622499
1965,0.010178184087282993,0.03197502957488574,0.020349349234778824,0.057866691893401434,46.439075658595115,0.07528111025964357,0.05227067575442998,0.14608986594848883
1966,0.007384120404517858,0.03354941819116175,0.02087753269984302,0.03868150710351914,43.967802080414934,0.0862800005040727,0.04984683983644067,0.13869684621726242
1967,0.005581583445199202,0.03526050849148074,0.020270305122399405,0.029228268452644906,42.782963808856074,0.09162395612178706,0.046311407876304146,0.12459124583993245
1968,0.004674027370439825,0.036652119426027696,0.019243545296389632,0.022698958964066162,41.261020360680234,0.10381895295439389,0.042769858495206,0.13875478024676
1969,0.003843952211358694,0.040306411194979644,0.023126817436683548,0.026017371626923257,43.39161240021939,0.09474834894552786,0.04898553991500812,0.10300196933924621
1970,0.007265391076683558,0.0344955380920875,0.019578648351488037,0.04173497265398174,44.59813076727037,0.0799610072524124,0.04721510573759252,0.125502687157228
1971,0.0021856935750591386,0.04154820667809769,0.022353659859456757,0.006569526070634655,35.144113847988436,0.17846179819908853,0.04508051312497533,0.10536137304469533
1972,0.0014559010619380262,0.04484304201384341,0.02539897536168189,0.0038423460752941806,33.235458796903224,0.22525775483327282,0.050588939733329626,0.06868735073696407
1973,0.002543312661919992,0.039601589466027196,0.023443095392208506,0.007650825297144436,34.059324832882176,0.1462960557162209,0.04856539631687658,0.08275333160106307
1974,0.0031014943669101015,0.039686434707734884,0.02094577629790257,0.014223577302996069,38.244180795613474,0.10419538775543544,0.04439705562252594,0.08886369017266735
1975,0.0010915093499954903,0.04956425936570419,0.02305057373258141,0.0037324970635376035,33.378395223040805,0.200123192586618,0.04528711067025007,0.0678028028711676
1976,0.0011592380132704075,0.0501351716877366,0.02404673162304272,0.005831790824996209,35.93462846217771,0.14246083689234676,0.04780747794679391,0.055822905960512426
1977,0.0006795332952533862,0.05640310018042264,0.021207479391650706,0.0025922729826827547,32.72687895086724,0.21018556084456433,0.04140270472651407,0.05483865543514969
1978,0.0008007100306737902,0.05362564569617707,0.02143998296874755,0.002200950091752765,31.349593069112878,0.2967301242152084,0.04176295699993645,0.06705844500443102
1979,0.0008336999127705014,0.053115395393058075,0.02051004014355737,0.002754654838828271,31.08245263933105,0.22072097242127767,0.04061598602033658,0.05454773931593774
1980,0.0033594881307811852,0.039187693661057454,0.017842422054681756,0.015824785744524283,37.04759587293249,0.09159397393630253,0.03910798420360648,0.07601295441199352
1981,0.0005666479134561871,0.059027167968241076,0.018890924034673896,0.001901788643447326,30.404578510271843,0.3058419826588802,0.03703431134160636,0.049489222775982174
1982,0.00066081434119977,0.05791016405748363,0.017534987878099335,0.0029366641160352234,32.167733422371406,0.21560147355043732,0.034446752679035575,0.05891198041147176
1983,0.00042053897617679817,0.06432731680865772,0.01727684937113083,0.0015410609092667965,29.55473383019851,0.33393203970883534,0.0336827308234101,0.04760712273038633
1984,0.0006025204457515132,0.05926982328660291,0.01662992245514346,0.0022455161973388557,30.290846467184487,0.2462884024697358,0.03264050090137757,0.059823512410388406
1985,0.0004050618105523025,0.06522887416793036,0.016092389233683387,0.0016257627701292436,30.708470367983708,0.3371410004442768,0.031245234871305913,0.053517932920388124
1986,0.0007134204322332572,0.05650803399381573,0.014296835753001136,0.002363258397470421,29.79254760237994,0.31272887291823526,0.028208882971479648,0.07538732154979103
1987,0.0006473475043237022,0.058580888411510254,0.013364708606070223,0.002391575534116536,30.607706033838543,0.25792041593483594,0.025937156751500788,0.08981631707145765
1988,0.0007050274911367663,0.05778134509448636,0.012810861764370102,0.003225960171080382,32.36401552765219,0.21070878252597028,0.025295362488033258,0.0812621690063885
1989,0.0005150255094827554,0.06237762882705406,0.012857354534364603,0.0022340106005427785,31.235872400898163,0.23161854270002732,0.025021091320123506,0.07333379862415458
