year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1983,0.0011721311428693844,0.049063854442444516,0.012406097544670596,0.0029764328158106853,31.661622482972472,0.29585110456419883,0.024638306518882463,0.1286119838294327
1984,0.0006254108196018853,0.05698046178313107,0.013126335416400008,0.0019310323524397773,31.20822236298781,0.33069707779361646,0.026016932886784104,0.06352971184878926
1985,0.0006719437999734169,0.056395044106790075,0.012293106326525577,0.0027134723314689614,32.539672463856704,0.2778167491163759,0.02452046899430647,0.06721699577497797
1986,0.000669120663506015,0.05569374765574796,0.011591067612608554,0.002621791727826975,32.43554214427477,0.28006891056035577,0.023005786027368795,0.07649495125139799
1987,0.0008726147884546424,0.053018900373515275,0.01037801125111226,0.0031402107030424706,32.762765996123754,0.2654533348872757,0.020650777298785047,0.1134143481530268
1988,0.0005923738666796202,0.05736718079358034,0.009233098898544954,0.0024942941567618216,32.19828780031973,0.24674647087124965,0.018373826774705938,0.07950208028309906
1989,0.0008028977414553315,0.05220805231748488,0.007149093241599269,0.0026010389024630934,31.6782053861865,0.29344333601271194,0.014397311747991307,0.12908101194659
1990,0.00046512260084715794,0.0589905204130122,0.007791205571169938,0.0016319220776776853,29.91219270817033,0.3956370311753409,0.015270501362142419,0.08765411552392018
1991,0.000918079715478565,0.04856617176238511,0.007186604728960047,0.0017809747974449268,28.982362111850627,0.48225463909520433,0.01475944942575723,0.13547964510637087
1992,0.0007886966815100936,0.05295721393405575,0.008029855840354922,0.003098446593138897,33.72305922874686,0.24463366618946095,0.016176838144691418,0.12014035893894197
1993,0.0008463319922962541,0.05102164435992886,0.0059741837184768415,0.0023174331997275607,31.56805840278513,0.3313884295891166,0.012292134311659708,0.15373032958315228
1994,0.0006840954944570396,0.05322905119928141,0.005880074301545424,0.0019257585417050771,31.192453494279224,0.4090108978797608,0.011709127593432619,0.14589021257728016
1995,0.0004371170760359691,0.05888218088873269,0.00507382237604328,0.001446632520278908,29.194753050065756,0.3807508925967486,0.010183078970033054,0.09334166092355803
1996,0.0010953644631549108,0.045869125221436775,0.0036344595704854736,0.0027970155834086538,30.41660210643993,0.30220820497111983,0.008373799193160837,0.2208519950401159
1997,0.0004748192279326197,0.058180391320536054,0.00456429064381044,0.002214781453412634,31.867183129160885,0.22704898170919913,0.009409571511767661,0.08647755969569182
1998,0.0008702105127774033,0.04817419546768071,0.004388062803594714,0.0020856675509684803,29.72755900030919,0.33850161152568714,0.009161628241752729,0.2049793690692868
1999,-0.008061961592651897,0.018181437402135504,0.027707134957082685,0.003507273877651235,36.383233599916,0.13547543559652567,0.042439548402131946,0.09231573537338769
2000,0.00030451241057570814,0.06279667771319815,0.00468529873145745,0.0011459196071706371,29.612838595960653,0.44361779047353533,0.009477803956590283,0.06876303416714233
2001,0.00020705284226975527,0.06858194678782072,0.003925788239607179,0.0009433982006135913,30.161564011393363,0.48549107948129583,0.008049758314268202,0.029298335569372946
2002,0.0004621840715936963,0.05627779044839896,0.0034148983886908898,0.0016117134441745442,30.821867246143157,0.36431022793628276,0.006838044419829575,0.17365204864871145
2003,0.0006777474541680435,0.03176572079694618,0.024573572076038018,-0.007859822095309478,36.37125898267943,0.14005036230865642,0.02612759372331468,0.10998153455716303
2004,-0.007321997573760328,0.019902833325694248,0.02913385807365426,0.01294492981181128,36.38049707489736,0.13446417324644908,0.043386520970145934,0.09495234307883636
2005,-0.004472265571174084,0.030710836284090604,0.02485644050462926,0.005759238184022271,36.38400338477497,0.13428037011284044,0.0474445280112519,0.09837464854523016
2006,-0.010625372765398346,0.016446889844778087,0.02152511116667661,-0.008378737355685211,36.383683551707485,0.1402355649020351,0.03601985105693434,0.09623882869196575
2007,0.0005198001797380701,0.05306367736004046,0.002402942622925739,0.0020686603078984996,32.31169322485671,0.3167147236028881,0.004994329386556376,0.2401742099220115
2008,0.0002714453436110534,0.06138892480681171,0.002254387368746495,0.0013174417684309356,30.196665371406706,0.3508322202955662,0.004642937845325462,0.11382641993536129
2009,-0.007769020145823296,0.027766327941185037,0.020536382167919278,0.0031810166410131554,36.375624880642306,0.14700153901651455,0.044469832756199985,0.09001490299230994
2010,-0.0011369164997001094,0.017402692763272096,0.023280698882720375,-0.004873349903874568,36.39374249567316,0.14779609912079283,0.06276512716413164,0.06956334942557053
2011,0.0014434517084724776,0.03004097395220766,0.007893973413298734,-0.0003825830008320763,36.380453329080474,0.1474198505464383,0.04229059863632907,0.10529934510549874
2012,-0.0005898926681829619,0.024335236371748406,0.000885087630485077,-0.0023513991864026443,36.372445122849165,0.1455614103818104,0.04940395632382065,0.08480068839784764
2013,-0.018056492934527074,0.028425306518654343,0.020336221159425513,0.0029847375680134205,36.39465138025651,0.14187424602567433,0.04233019245733107,0.08846752907267705
2014,-0.003630296020610666,0.021937217035997696,0.02350829528166322,0.012863023590722503,36.38496198810445,0.1454632393980208,0.055180880466036766,0.09195248128417079
2015,0.004270565760162176,0.022973997851934925,0.011193033942933486,-0.014235602944707652,36.37695973207793,0.14256993334135556,0.039275620352942464,0.09428085654508098
2016,0.003186774188568857,0.02016266144545017,0.021580035558078886,-0.006749969985395425,36.390877178504084,0.14227098137618135,0.043614244397963804,0.10981776603038379
2017,-0.006140783816376867,0.019289894872473817,0.024394015122290436,0.009100303869506542,36.37910600224739,0.1364310908822216,0.03497011833568815,0.09672124492056033
2018,-0.004120587518374695,0.027587728038410003,0.014358507720363308,0.004321152032428603,36.39276736337529,0.13962682334066087,0.04806262934137804,0.09768814837250207
2019,-0.012306786408337484,0.023675045710821758,0.019160195820609686,0.00822423990602257,36.38449163518521,0.1254755501160361,0.05231829854681222,0.08880982726409441
