year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1970,0.024041685077739548,0.02821963188033632,1.577218770427703e-12,0.1382928630683286,49.91701078161231,0.06001741325321222,0.024807849391554143,0.6082823650804275
1971,0.015394836970136438,0.030779077249587727,0.003497844382003956,0.09187724804030584,47.94844614959139,0.06641797090117052,0.021830357382364052,0.568103950062923
1972,0.010437438663971621,0.03185035592571017,0.006097507025889848,0.05267271930974182,44.49735686951302,0.07782291104016403,0.023227613001426506,0.4032565027345347
1973,0.020856687283237682,0.027428006658461353,5.631457426159369e-13,0.1119118021695832,49.796597762642506,0.058438457721362885,0.023477623234919316,0.42165921041053256
1974,0.012686477638704253,0.028450225838334915,0.0027843708001744506,0.05156192630469754,43.19824188148152,0.07269125678337293,0.02046867563483513,0.4311577284355559
1975,0.01899329685901517,0.027086485264534808,7.28166418560985e-14,0.09065296753376777,47.245349506353186,0.06128240611497477,0.02322308098164394,0.3506887510883069
1976,0.010921160400869632,0.02880862224575676,0.0034539081659999368,0.040201665195525545,41.24916706038081,0.07963768288185132,0.020527593807196758,0.3859461305838903
1977,0.005970819535473129,0.0323394729937365,0.006824446231775929,0.019083911546535517,37.41065962764277,0.10486610112305901,0.02040090653286186,0.30319935546247995
1978,0.006295840388129164,0.03220215434203797,0.005537877545065844,0.021349549851750287,38.09673253244614,0.10111446700341752,0.018047697522968174,0.3673863206174115
1979,0.004687562279372527,0.032297235710681965,0.0066187635594709155,0.01075368833365833,34.43718245522152,0.14094803581502194,0.017991823710571068,0.34024045678954606
1980,0.005720730638758548,0.031563965530249274,0.005827364350025355,0.01577265381618894,36.30713963707228,0.1143057936869603,0.01820532029688381,0.34423070676791356
1981,0.005942277869668687,0.03283109990792409,0.00476084345371678,0.022202266973457452,38.884908496712036,0.09702244597721917,0.01637106945005114,0.3501311992600635
1982,0.004158929646623716,0.03459979609655375,0.005205772773338484,0.013535578548455936,36.71338532092318,0.11557920325625033,0.014517455746157478,0.3594997712361412
