year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.0040793557966916924,0.03663912736840283,0.031335671251105535,0.00999492044295561,33.673315446652175,0.1531563851492538,0.06591295284691653,0.08937536814776897
1949,0.0038993709947141015,0.03735849909317742,0.03137062134270458,0.010824496742369197,34.055391538977936,0.14054421895570735,0.06592145094900047,0.0821463887001628
1950,0.0036022797750538877,0.03804421930628928,0.02905531117258431,0.010002767449151835,33.888419661550245,0.1488407079511043,0.060989257806322014,0.08572424335632829
1951,0.003936543239729926,0.036696699847682736,0.028452705583888627,0.009745210393145371,33.55893977400691,0.1570533493824137,0.06012142871573435,0.09634854752469175
1952,0.0042065195539851856,0.03576936504551693,0.027964676832486813,0.010091429264063062,33.34903395489222,0.15521913577460772,0.059688660865780244,0.0975314351302246
1953,0.0038591463154735582,0.03659726941369976,0.02689005022439206,0.009585071589310181,33.0232425093415,0.15731117272047995,0.05727642804157298,0.09322752208278272
1954,0.0028346636516987087,0.039612280026653145,0.026426033593209133,0.007794201644172425,33.041489497781605,0.16891737689438288,0.05478823033868687,0.08347405868747236
1955,0.002684975330741691,0.039953371814132804,0.025792606232277075,0.007175877380957533,32.72498163870024,0.17991216345757938,0.0533452039520587,0.08344823064877961
1956,0.0026403628169523173,0.04031518480392116,0.025402341902760438,0.007302145933085793,32.9092886234716,0.18028376340121718,0.052512251617845535,0.0845352761130989
1957,0.003190918717882343,0.03887290359300147,0.024933732771473895,0.009449431413796784,33.67379751254612,0.1536809601809387,0.05259279718732857,0.0877019961792661
1958,0.0029126238401102613,0.039553426717015866,0.025183277523660775,0.008521503299890308,33.524911951186304,0.16085724601684978,0.05251888889567658,0.08754188994204622
1959,0.002629662267710985,0.040868620185614137,0.024786536547410646,0.008451113988006773,33.778740536570204,0.1581186450240942,0.05137223798771823,0.08215121463006116
1960,0.0023814718646442143,0.04196895625196571,0.024642162871491534,0.007474500623798378,33.449881566250134,0.1705591441667293,0.0505280806062972,0.08432810673096669
1961,0.002242986918503327,0.042434404201384945,0.023718626693126355,0.007290611801255411,33.6636168696191,0.16809630325893626,0.04861417310487243,0.08262371529396646
1962,0.0022292667595808927,0.042566455923360655,0.02356520520274403,0.00719928330931531,33.59208554451085,0.16992466696887187,0.04833822959860909,0.08222475059198667
1963,0.0023767666015064625,0.041980884007597016,0.023336977361389614,0.007523897710326676,33.662487678048876,0.1691368252701536,0.048066872962325646,0.086618388811379
1964,0.0024095625976446626,0.04153998525201911,0.02301208478881964,0.007470337036480839,33.774327258369865,0.16842345669588327,0.04757465153293109,0.08577944038672718
1965,0.0022708594729966215,0.042269106249719426,0.022367259548671015,0.00712829031295107,33.70465046054729,0.17384664654773152,0.046071467310091735,0.08661724901125727
1966,0.002462308811541475,0.040885419282977564,0.021449290154731522,0.00681888688818522,33.06879076303239,0.18472973843669888,0.044555483479407305,0.09329177690620015
1967,0.0022471552073902554,0.04137642931892292,0.02055519955786191,0.005959225300010291,32.72387162905819,0.19676959062237084,0.04257276830055126,0.09040371482498526
1968,0.002286268854419352,0.04144908535769985,0.02028447890867914,0.00602631948107111,32.655672581254166,0.20200157651874068,0.04209357990537122,0.09225527929462746
1969,0.002340880047042136,0.040401589909995504,0.019506296383574845,0.005520436769359683,32.24672826649275,0.21550315238456683,0.04072680861728098,0.09379351362114127
1970,0.002189475162999823,0.04113733247825068,0.019116472398426728,0.005268826507327563,32.20352326435595,0.2214144419046325,0.03975254857595397,0.09244237826847507
1971,0.0021160359354725623,0.04123819688165937,0.017030804531725313,0.0051056762606779766,32.23123518432802,0.22535772782874955,0.0355174851295938,0.10001668271537838
1972,0.0021381629810074644,0.04119393215543549,0.01600416697396455,0.0053035029330500355,32.27742212366855,0.21919086867986573,0.033601043043217885,0.10353797396423237
1973,0.002175044543626276,0.040725797848668005,0.015412505292441328,0.005286368672927567,32.2976132468985,0.22037692282792368,0.0324899383807117,0.10747136270230676
1974,0.002073083307609081,0.040800096395485735,0.015052277972203744,0.0050108930053285525,32.14919729555496,0.22596217983557948,0.03173078781925404,0.10481914406238835
1975,0.0019449600063406128,0.04109082853982824,0.014175052504506703,0.004664937003524402,32.14677231039693,0.23919356748415488,0.02980507481563528,0.10792945445213974
1976,0.0018251562217984703,0.041805830207106834,0.013526302544447453,0.004580470453158713,32.09295891963793,0.23904022890156157,0.02832264502977634,0.11028744575240577
1977,0.0019869776532431362,0.04051305441131969,0.012390031283459975,0.004915735779021689,32.285392439747454,0.2276942773286434,0.02643642381087213,0.1183730639536305
1978,0.0019894463638084675,0.04026927249540367,0.01185399029663122,0.004838734432390534,32.29883228540035,0.23265764251915733,0.02534233670418588,0.1249199706273521
1979,0.0019195189962422084,0.04046431915119087,0.011397056081216094,0.004820650128178653,32.707570551486015,0.23570911069180392,0.024368608797750352,0.1263392026623821
1980,0.0018600456863976033,0.04102721347413251,0.011024886063333744,0.0049180701864283615,32.93302441965417,0.23348162617319948,0.023575675659382105,0.1271955676016663
1981,0.0016049100422939088,0.042814064496584925,0.010426846848373835,0.00464980519159329,33.268512730411814,0.23408188901860014,0.021977762352001027,0.12705225332867331
1982,0.001494640410001558,0.04395526489937803,0.01018197447270161,0.00498985261862215,33.902227485598566,0.21384736118428957,0.021359694119623095,0.1243869094621262
1983,0.001415462388951845,0.04492960315796797,0.009784494477690227,0.005175311525916673,34.26981039979298,0.20448280509096117,0.020450867967902842,0.12699728842503266
1984,0.0014230393392555467,0.04496386729699929,0.00960668029746471,0.005536897798787635,34.74124496883844,0.19008660009333042,0.020281375081835654,0.1192944658638301
1985,0.001450456908547012,0.04514041366903691,0.009502585449185913,0.006072497751380543,35.4958577658205,0.17986657135664794,0.020101114281468088,0.12284749121971597
1986,0.0016857872750643947,0.043306834539107324,0.008877883867687801,0.006904760532597412,36.282768087981054,0.17085100262716962,0.019264489334137984,0.1372538200936668
