year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1956,0.004114736776081163,0.0365320682404245,0.03697174141728717,0.014300160345003907,37.371615324764875,0.137138473853833,0.07688282894082843,0.08426225456737647
1957,0.004160219660604538,0.03735697940517479,0.034409441109035634,0.01642803944977868,37.907613310052625,0.12990680980902075,0.0720331589779245,0.08594738948814758
1958,0.003704581044684811,0.03810626990483369,0.0336878193990861,0.015365304642585686,38.19802300092018,0.1292029973802833,0.07006897516170608,0.08161416659348456
1959,0.004334840079222573,0.036499703866974424,0.031744683817109924,0.017297351946001415,38.411862996174804,0.12279543127648047,0.06728835849340589,0.08861129479445336
1960,0.003495885855618728,0.03995237579392672,0.03164340963410775,0.017670758763882032,39.498377041474754,0.12189210211423684,0.06557743936206177,0.08525000164491185
1961,0.004223944950441223,0.0375329507903995,0.029295688222955068,0.01946841898470403,39.35907696217444,0.11377388181343132,0.062183488133209425,0.09168169692014247
1962,0.0031113542565715637,0.041151533324330525,0.02714249311145607,0.017005418483757986,39.51319407188659,0.12064174428264754,0.05625278557133831,0.0880561109821475
1963,0.003717599776075464,0.040051097906543716,0.02452528528912366,0.02153389280698871,40.56688741266161,0.10798441897715132,0.05195908004634323,0.09841174389966745
1964,0.0032228305838390924,0.041411137440578207,0.023012798755554568,0.020580768524903894,40.92007660953196,0.10640569162339582,0.048550743522954944,0.0876883462006516
1965,0.0034950331036618367,0.04125128749327317,0.021047076181963782,0.023868474961132258,41.896423373386156,0.10016775455171137,0.04485886035667016,0.09943882495243948
1966,0.004220170484888211,0.03927137056604523,0.020538689193182143,0.02775414442438505,42.37096246958777,0.09300000790515565,0.04509210368712538,0.09672626869973779
1967,0.002870237463203594,0.04161689604208817,0.020319158821550522,0.016760482727841856,39.82844417053096,0.11235133838960211,0.042673663498534166,0.09591324633556195
1968,0.0036126071330357832,0.039875387816294156,0.019359389621592494,0.021621201543249452,40.61287301953667,0.09960458424596394,0.041917827835705475,0.09852650036455303
1969,0.004834585938010921,0.03711048129648577,0.018771298595768125,0.026578219805534136,41.09715831886793,0.09267854087989467,0.042603371741851574,0.10749934018221581
1970,0.0034739008568844655,0.03826899797355146,0.019879960883142294,0.015408009978935452,38.01365707762019,0.11441170862680439,0.04307879738283041,0.09668042833982225
1971,0.002862553374138129,0.037961072362167246,0.020576283270519566,0.009204637410756666,35.11967596188345,0.1468000734072036,0.043539073418513756,0.09316131768814141
1972,0.0024175892807000864,0.03938263843746186,0.019522850335695275,0.007737827182879807,34.44811210442837,0.15672849954516294,0.04088843464250464,0.087952985805533
1973,0.0019920658434210013,0.040781002386659077,0.020377938268976006,0.005989157512466949,33.43502108558979,0.1731678435455298,0.041972180598953135,0.07809736961490144
1974,0.0019943784284449464,0.040389933675731335,0.019419880870913345,0.0057274531143068725,33.31879282705426,0.1750888648283695,0.040116130427947636,0.08272018235189738
1975,0.00235350658253823,0.0377917371806824,0.017380456837085983,0.005419170396660626,32.21835210985563,0.18840991723363293,0.03667084421955024,0.09710610867788684
1976,0.0019818381553278665,0.03935548484730048,0.01584686372894616,0.004674508489730507,31.945450864410276,0.20103459283555536,0.03315599453989834,0.09482450661785052
