year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.01161016438315674,0.022658904062862587,0.038691553059389934,0.016808734758943827,38.13248585169854,0.12760969080662804,0.0929711327963165,0.1087888458267818
1949,0.02692710081575278,0.022773298139934894,0.03161251684275168,0.09127206830678425,47.425985101455744,0.06347738660703683,0.100710932877627,0.11717692770591004
1950,0.013496804905502289,0.025687637129830625,0.03399365230918554,0.04285434499250917,43.93276554869711,0.07758280176773683,0.08608047268167075,0.10293912605351628
1951,0.016038071707564105,0.026323941135800277,0.03115515523728618,0.06433849963185967,46.83607082568692,0.06868667770754744,0.08317919718181399,0.11069955752227334
1952,0.07835002749990307,0.020458687756622233,0.00038322674587363734,0.5083328274349348,70.02073516121177,0.035917633467849173,0.07514766262323928,0.13634393634676356
1953,0.018957749929389367,0.025995451667355618,0.022665468364048147,0.09652342378730072,51.692054134850586,0.05576813434765593,0.06772557111622468,0.11533251047860116
1954,0.0784636512416291,0.02192436488639938,0.004395956633542403,0.7251561262578895,80.40386299069313,0.033305483218705155,0.06735956089950447,0.12171868422657227
1955,0.07882931949694698,0.02209474754758855,0.0039495909102224514,0.7845817470320198,83.19164358640796,0.032630258031600946,0.06312336154350809,0.12426488864738515
1956,0.025927352425681782,0.02556314938576898,0.017988719109261253,0.19853684087278545,63.626510661097555,0.04290673765149222,0.05944270983221034,0.09938555558329654
1957,0.08875676093257748,0.021530279881493225,2.5439405079052004e-06,0.9332935275427026,87.92284007676552,0.030725679022614083,0.05589296297261024,0.11872251596746951
1958,0.013543987054548734,0.027252788382091553,0.018309549792127344,0.07641840042411863,51.8924277407727,0.055293985708714966,0.051703927660405796,0.10562358117459558
1959,0.01143210116657345,0.027654184139431326,0.017695671744294095,0.0590045868914415,49.40815472769957,0.058911113052193764,0.0483139942054442,0.11032552072779978
1960,0.00650443186675731,0.030067667704789747,0.018549131010427822,0.027796099923671713,43.751693110033195,0.07339867003531797,0.044672406952165455,0.10153859954581557
1961,0.011319731446809866,0.02764668360419409,0.014902996550185732,0.06272052621233204,50.8290957568622,0.056215491597898515,0.042453168206872255,0.10736260789244945
1962,0.0177932425435946,0.0250031887424072,0.010515970172969347,0.09429437646267358,53.05345360876945,0.050014408080457595,0.04091343163016814,0.12138561912028445
1963,0.0029520733243166026,0.034518754221296376,0.019836295254892028,0.00904316890646053,37.146758498065154,0.11481934343377154,0.04231085806780526,0.0913795980232142
1964,0.007211304476334446,0.02654189218535452,0.014234313950405086,0.020859858803738307,39.566804826671564,0.07724037787371518,0.038011527161314285,0.11284041975133308
