year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.017852620139644174,0.02885422795304247,0.01322918652431804,0.13475412827674466,56.645982368497975,0.05453537000147982,0.044667939089758094,0.17933003580790322
1949,0.0071717966171654934,0.036877442674164373,0.01825550805391865,0.07413842145469918,53.45672637638758,0.06641701267333189,0.04167056996886753,0.14827241620240544
1950,0.0312643850412071,0.026685159501482092,0.00501334805116882,0.2706229905062081,64.19256158355125,0.045095379900191856,0.03842359147031604,0.2166083469223281
1951,0.017197909015320922,0.03208772077187838,0.013500020936850987,0.22680925986231415,66.63143797925079,0.04874571996275889,0.03923458558375682,0.16706371888950944
1952,0.026718260634057245,0.029503270280833105,0.010550319866372226,0.3903604636876814,75.97774664452952,0.041271475820627956,0.037392938743730675,0.1570062831662664
1953,0.044714931491267595,0.02374352961481363,4.821775086805147e-05,0.3965795319561032,72.68874519590207,0.03677364453515619,0.03304482065805456,0.2039350418031347
1954,0.017920118386807404,0.02844915011381821,0.009482631160265043,0.15496459836883503,60.80612352969318,0.04753215019639123,0.03435007223191511,0.15948564805288434
1955,0.016227602892145976,0.02854557278305969,0.009952193032049306,0.14668422957218752,62.18288677844053,0.0462122593890813,0.03293031376012509,0.14338705950850983
1956,0.019106164846086626,0.029586436166044006,0.009059329867328159,0.24134138706721586,70.91854130300679,0.04261604743426972,0.030164645939930568,0.15143583877649913
1957,0.020553785779528377,0.02919869437829098,0.006739514304422378,0.24782635460525348,69.93041538301487,0.043126037385650184,0.027623784640391058,0.17502013286605944
1958,0.025878952551907294,0.022065135152704043,1.8875163942835222e-13,0.11852810666136587,53.01936588996676,0.046287513797656145,0.029326768379356362,0.18594861508078517
1959,0.023989835476998955,0.033614770354706724,0.0096143443830361,0.7916370307024181,93.6109360706505,0.03995330664315988,0.026679498658131573,0.16267926840256663
1960,0.002354771825337068,0.03817432637216417,0.01302513334908632,0.012167983719325981,40.94063927390835,0.0977563678613802,0.026857975493625397,0.14580800486788084
1961,0.009801023315374968,0.03223406337040918,0.010006793676359822,0.11477306682219757,63.13980902445386,0.048122356123330656,0.026463135028333057,0.11761710049742191
1962,0.01004000007480299,0.0325602244021857,0.009536471857938877,0.12386789121114106,64.11324523674307,0.04905085558798988,0.025859363753889086,0.14241231288890432
1963,0.018347080443106123,0.03353030597881901,0.009620278918335279,0.5628061859254405,92.17659586890295,0.03931203482023893,0.02420636526938358,0.10615215058089333
1964,0.01874165971107411,0.030713528732657425,0.0070779102349204925,0.3421242808863205,81.3266057407418,0.039532144062629726,0.02239670737632693,0.14249987757499838
1965,0.006146796809221089,0.030901299386088876,0.008177733596359177,0.03672949328453534,47.059250208442116,0.060837457855928534,0.022210087186700755,0.13107119462709066
1966,0.02186556486923008,0.0229702698718508,4.2505913530499484e-05,0.11937103151895911,56.31586673921126,0.042877468033620136,0.021577229423446642,0.17020230545282233
1967,0.023606610736528033,0.023354801590089902,5.3405746940793364e-05,0.15160176405808556,60.95799102965417,0.04016065546412051,0.02075274913732028,0.15843892893338563
1968,0.016534119908974545,0.02139047951458663,6.654077342458301e-13,0.05606133826656317,44.89319309001932,0.050897049687906495,0.02011776205812197,0.17561379925919893
1969,0.018071574869842538,0.022621269438818883,2.712866791463302e-13,0.07719585394623088,49.40409466036571,0.04806907277944241,0.02030986481692008,0.18443797615163618
1970,0.013732159765310954,0.021998730841217787,3.6679589369161295e-13,0.040055167541335555,41.346320893458525,0.06021689865378845,0.018816063696730383,0.20409252977843878
