year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.07230220191877723,0.012350353851565585,8.41342106501008e-13,0.06238468554296108,40.662222530506234,0.09136681544282288,0.11894615983562261,0.2610352903799074
1949,0.07194961889769134,0.011744414563212395,4.67332533238509e-13,0.053347960484788876,39.67989319009971,0.09696026558735447,0.11971641332242854,0.25229951356595853
1950,0.07696106034865478,0.012020513530730333,8.673083666390485e-13,0.06624965106102805,40.78618595913968,0.08646181584869382,0.12817925350878953,0.23982438422283509
1951,0.06495161060613808,0.017627509175525392,0.009138074600689265,0.13904775398955602,45.83653619260603,0.06645027374734858,0.11514967801535751,0.25120269087465585
1952,0.08671281678853364,0.0207466496697749,1.3462371095846115e-12,0.4514185108446012,61.334722554277924,0.043973373998151544,0.09996952411389456,0.23251838460551852
1953,0.1006638675672215,0.026827544197618507,0.018984438326561593,1.7641734833043548,89.64626180257021,0.03647716763539678,0.0978724781007384,0.16871439008435762
1954,0.12032364403774089,0.02583040333904611,0.013971658270758342,2.3427898681944397,97.89543904501292,0.033677147744655814,0.09074052889493336,0.1611737258799361
1955,0.07238759015372627,0.028721901240082337,0.02673501493498377,1.3974924255953471,87.20832779481826,0.03890694729877024,0.09648624927606927,0.15135353469493243
1956,0.05447863935751775,0.03001356234214161,0.02844340840648353,1.08820895068191,84.86075676695692,0.040471444881699736,0.08887898475658414,0.13513930574452476
1957,0.058407445623198745,0.03118513222022973,0.03153590248036174,1.5043181363007554,90.61311654363273,0.039870591437000856,0.09217065135329522,0.12390149226901724
1958,0.02738580530746558,0.03549295141812782,0.034909567988494025,0.849374791414532,85.12723729032214,0.04525483393522496,0.08246099056707594,0.1021956923379543
1959,0.02977388035257646,0.03393560256515163,0.03363201448535441,0.8017991040313165,84.66531821785513,0.04387138949318023,0.08201583087515649,0.10165969552307252
1960,0.017493132493345165,0.03154562361769975,0.031936895169571766,0.22859691644494973,67.65227541964737,0.04841870393514369,0.07686003735767599,0.08770275651823489
1961,0.00679175038038124,0.03640727963751067,0.03902419483275936,0.0758021654524954,56.052065037780366,0.06456812054554484,0.08264787653768685,0.07125535201871569
1962,0.016200601141371007,0.03725716998693668,0.03233141691276764,0.4985589867485807,81.44431945783344,0.04711130609088765,0.07153498424002924,0.07343593578029761
1963,0.012265489650996941,0.03965221218129644,0.03145553539436735,0.43438208915483756,80.5191764116305,0.04938284220599298,0.06717825949589962,0.07113164949707854
1964,0.01818047080889132,0.036411857256050555,0.030561328484117738,0.6072456732427547,86.15318481597595,0.04455512771355301,0.06829835587056622,0.06352314394348357
1965,0.015549668160297125,0.035069722499527334,0.028250970820078325,0.40964935102901023,82.33561833780823,0.04409876063871332,0.06333414928070519,0.05880540836299719
1966,0.022100221180117792,0.03338572996702201,0.02688866977651196,0.6064194516245706,87.8058980402259,0.041159778241198625,0.06311033839642548,0.06040285237402231
1967,0.005134576380767197,0.03849046180541865,0.027720310631952527,0.07431558686749318,59.3807804146956,0.05931434568335939,0.0587432922090872,0.05424925965133365
1968,0.0029338114410351517,0.0422315541570582,0.026499728219854128,0.04537115189921476,56.801493239619305,0.06473037905984969,0.05422657933186019,0.0471996981876579
1969,0.015156536413204025,0.03313605072778347,0.02211613796442813,0.2856486073424733,76.20974975868057,0.043864067464500334,0.05245603085558237,0.061695150654252406
1970,0.0026168914129317995,0.042049296602165456,0.023350955001855946,0.03367009572127507,53.02223066995026,0.07029793716243209,0.04788167895626146,0.05598679747370967
1971,0.012000045173489182,0.02948903837167216,0.01674036574483495,0.10279253894939422,58.757943776915575,0.048854711286744124,0.04374523361219951,0.07966413612459067
1972,0.0015720460686173283,0.042445496575179875,0.01924497672933382,0.010752497626928335,42.578406666323794,0.09813917799946506,0.0388069313676508,0.06908941213757026
1973,0.00444331672362995,0.03567542409968669,0.015574752144812631,0.03747792183314802,50.2920462446137,0.06658170613679221,0.034969413229953616,0.08809772705591923
1974,0.006179469171005661,0.03570304764055395,0.014866265788571085,0.08345654805429205,61.443005521069786,0.05285367378527459,0.03378551763942657,0.07050504074450671
1975,0.025660826699628547,0.027879179355942085,0.009970821689244125,0.4324259675592437,86.61176376371259,0.03554379584418754,0.031264879919667754,0.07404254480833572
1976,0.02056320171074839,0.028247085940154223,0.008652279907835602,0.2928934391742842,78.77258522836003,0.037849259293012055,0.028298809880578483,0.08265678858521043
1977,0.01390147207990347,0.028838442945281997,0.007701235431154528,0.14651842159117257,66.19191399325652,0.04362524948640546,0.02572975940052477,0.10355698603095581
1978,0.013255362303457474,0.0264265293241438,0.00634935160903749,0.09391419175494509,57.968214844818334,0.04569167953219255,0.024849870305125366,0.10482916871381365
1979,0.007690950365997151,0.0295103770682561,0.007781762544409598,0.05551418196046587,53.52279481192184,0.05268608333269803,0.022908258815241056,0.10102329771372398
1980,0.016976482256614744,0.02886250061412987,0.0050721955285069065,0.25948513081339186,79.6526707460398,0.03829322004425184,0.018954021738181392,0.10690783842885665
1981,0.03203919159258694,0.025049471208858236,0.0004979345724492736,0.4164068042770196,84.3756869932429,0.034034341097677286,0.01882502592860734,0.12495876578855562
1982,0.031257373056038054,0.02378604160632995,1.5364122544269074e-06,0.34799246819128243,81.95246780722866,0.03332640154346096,0.018635590132943157,0.10641562938805449
1983,0.008838319550788232,0.02683747172083506,0.003979515826595698,0.05157191111769199,51.84383579473291,0.052195566320484055,0.017570683744009566,0.13440035377041104
1984,0.01245749514357486,0.02480212648760749,0.0014496135483704764,0.07202128489938797,54.51164559920684,0.046906306756498206,0.016009719052589744,0.14023708885544717
1985,0.006349888922164315,0.028574015576234457,0.003708547808369378,0.03881397597402203,50.35543066990347,0.05475736510340212,0.014167917887254078,0.12920015988514
1986,0.002913535818753178,0.032580494865563525,0.00578389249554152,0.01564811463092175,43.57049550170183,0.07080843716647678,0.014872544523152866,0.10036170414981291
1987,0.0013661863616336468,0.03570782252801379,0.006143050025495802,0.004076531302196058,35.180567092469275,0.13202023608594865,0.013710823165825307,0.1196458442832814
1988,0.001256429707048049,0.03689414334326906,0.006133120718844183,0.004133758358924734,36.035634710038615,0.13089487058466243,0.013456025903924433,0.12086278210712718
1989,0.0009512952019130945,0.039285169534136834,0.006026942151045913,0.00324132861357931,35.679446648116105,0.14508300002285296,0.012746710923751363,0.11126465727356098
1990,0.001149561518581616,0.039261192938244295,0.005823819250652913,0.005405184825232622,39.20296092843391,0.11740351396623813,0.012601635604003753,0.12188224100390302
1991,0.0008950919973705097,0.03984163948422216,0.0055596055196134595,0.0032239583967853883,36.809256687115635,0.14429853589220742,0.011772176884865104,0.11608339110589139
1992,0.0005393823520585642,0.04537152083124483,0.0057830131672126075,0.0023026567423422243,37.02905164148377,0.17322282299324576,0.011617548268502868,0.09695928158138904
1993,0.0005763537820809187,0.045406646030424026,0.005257801193116034,0.0028327873802525133,39.20352652096402,0.15829351436552022,0.010495319392298677,0.12680971554510861
1994,0.00021478106530885293,0.05557427991246517,0.005003228943184259,0.0008814913643857718,37.63238140535176,0.32987066339804905,0.00955537788058205,0.08379480319425966
1995,0.0005154965373423822,0.053528100603685416,0.004640393557313643,0.012053020851444395,54.71384489750436,0.08952999721005188,0.009253097531629062,0.10286622440008762
1996,0.0002943043098766327,0.05369610330374257,0.004418349005873287,0.0023790843593190915,43.07930720718701,0.16524624885553968,0.00850692450991099,0.10901225625046643
1997,0.009000732550745794,0.02565068572927233,0.0005977166260053082,0.07618933567842523,66.58282861292389,0.039595061572659435,0.00814418508372071,0.14897884920592683
1998,0.007486737567709165,0.023705361112783332,8.97996954574154e-14,0.036623365145218384,51.855943615571505,0.04636480926544906,0.008153018992280249,0.14687428552169166
1999,0.007145450480616877,0.02352345792502722,3.69489161489156e-13,0.03364022979915271,51.02213722456185,0.04608763080975989,0.007673589748763155,0.15363985815969416
2000,0.0015464787175193465,0.032199871475317415,0.0028636056139863717,0.005853616905048611,38.25655584968733,0.07796178524520819,0.0076461651735978825,0.10704661196812258
2001,0.005149168654422623,0.02207227013066032,6.430602308506866e-05,0.01507955068510139,40.297869165040815,0.054675520623336166,0.006874776011393098,0.13065880423257895
2002,0.000294725567116811,0.047518859490096904,0.0033495674304203447,0.0007238052911130721,30.088033934851588,0.19525687326921315,0.0067060153228653795,0.08928632108040446
2003,0.001063539178351747,0.030559892902996558,0.002545512646221156,0.0012715542272036017,28.075904656307873,0.19010980718072798,0.006440633727485612,0.17040555042382205
2004,0.001707217622727185,0.026891431660657796,0.0019251771551765673,0.0027427716542038137,30.35632748724947,0.11565605281306694,0.006508542095906404,0.15311882234918078
2005,0.0002232299808426906,0.04957380128349404,0.0030454436353199426,0.00035635264344785396,25.879438035057454,0.4308508132957889,0.006036144030804846,0.08637374075666539
2006,0.00026980481938767556,0.04690913417410901,0.002805550203143999,0.00045970429801496374,26.585584733955898,0.3248676087940119,0.005655279473260842,0.10050925641542136
2007,0.00044804198583553223,0.040947293671848996,0.00277190320583715,0.0008598635783021452,27.67447493691496,0.201267810517084,0.005871354131125819,0.11955174237630425
2008,0.0006870372224816977,0.035630491061763386,0.002444713315050265,0.0011912140447239428,27.57510604554849,0.17663507996706532,0.005728069870779385,0.1298439676193153
2009,0.0006746423538520775,0.03657645136160861,0.0023221852142109763,0.001494879049231429,29.710202672793788,0.147596575069269,0.0054373827771172605,0.13502655426478935
2010,0.00046345881468508706,0.04079748534935185,0.002581116833282362,0.0010710732805127756,29.29100140173843,0.1724199038241172,0.005529339056360343,0.13117526236203614
2011,0.0007314158449345243,0.03598031992638293,0.002174850931064301,0.0017656521808261938,29.65184946470228,0.13491128174224953,0.0053092868782944926,0.12324948681526654
2012,0.00031666147657585976,0.04684483572435577,0.002465705233876354,0.0011988527525761048,31.427067693877177,0.1497585192472406,0.005119112974821512,0.10075177616802976
2013,0.0003002137616212996,0.04774763624532558,0.0021719553746934305,0.0012279368752157321,30.701652033312776,0.140530693344803,0.004503444765253967,0.10383710647043153
2014,0.00024204977352874595,0.05019673259157657,0.0023839592570551707,0.0009760408169826945,30.275841187022397,0.16897702038147722,0.004879670180412607,0.08784870277971149
