year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.0700635825730158,0.01286135182135502,0.00410509092506704,0.035623926140396056,37.057044341465115,0.17936002338258622,0.11077212903575283,0.4557367134929561
1949,0.06518652608531769,0.013429633331372792,0.009402016225760463,0.036280308026223465,37.29710226015703,0.16923530715144278,0.11130029148061461,0.45472029040799256
1950,0.04094103386601055,0.01721901077654073,0.025365595836382294,0.03278689959754278,37.396389721277586,0.16649356623185183,0.09982009524515861,0.42429729219645584
1951,0.03484484112412855,0.01863883177176227,0.02701447507512177,0.03364889303634356,37.399546126028795,0.14787964980650012,0.09355581552227742,0.4115664753942791
1952,0.022498323700196977,0.022257022198719053,0.031895895056258304,0.02861466990108557,37.356898263716396,0.1492285497388282,0.08562781078515935,0.3359578637333242
1953,0.02009728981868688,0.02348348806623788,0.03336774252465516,0.02798173344083205,37.11226431772257,0.1508477670503823,0.08565677883429755,0.3095558161363954
1954,0.017978761940936814,0.023315742831058132,0.03170469513277218,0.022149918357613707,36.49580795361959,0.17088655721909346,0.08000243326358396,0.3021374617005909
1955,0.012030543298746666,0.02701284429023838,0.03212319643392587,0.018896336915644997,36.44613015904884,0.17516340469502972,0.07269641867227043,0.260009654686967
1956,0.01094349573883643,0.02890433235295607,0.034270233306158526,0.020714614342298175,36.89993352086264,0.16358250789206,0.0756360482972634,0.23723224923886663
1957,0.00996490509325039,0.030758819199090185,0.03393590278446676,0.02231376108925688,37.0840509687113,0.1571552988181877,0.0740024429713545,0.22682192225001882
1958,0.007437545955214138,0.0324594465693943,0.032677527816130064,0.017209899801518058,36.77074296491926,0.16993483853875566,0.06889071148843323,0.1960771441259466
1959,0.006473555011972181,0.034156604094759936,0.03094619226598173,0.017155756474225476,37.13209364669204,0.1664129404296557,0.06402409688648683,0.19728690036962285
1960,0.006247277587847501,0.03514421695436968,0.028757665153657724,0.01864136145225275,37.38684741387681,0.15646954521959938,0.060247504775536885,0.19400926213910774
1961,0.005018635216622957,0.0373406672584075,0.02777550361696174,0.01709498863033628,37.513982197955094,0.1555889939416755,0.05725260750579551,0.1709999138848886
1962,0.004244555182713219,0.04004510991049387,0.025827706823038407,0.018358616667579822,38.54498014277309,0.14347044467690853,0.05284879361156599,0.16211075248146353
1963,0.0032040385136878472,0.043106611520129096,0.02329265451829096,0.016613870840256152,39.25661458666728,0.14325247115960107,0.04656638798342252,0.15660282064095044
1964,0.002802000918963083,0.044696535769726244,0.021061624985726203,0.016455768809733137,39.61421399751013,0.13816571289081422,0.04207744138052553,0.1494823040241957
