year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.008758667551572005,0.025248615650207366,0.02405052857499168,0.012892241052111396,34.449883142457296,0.15426157369257212,0.05832044135976576,0.1579394993466588
1949,0.007610157103807755,0.02555754346482061,0.022666612195440482,0.009126094519090671,33.375597794939935,0.21310453477842,0.05316650175136615,0.17591101629515962
1950,0.007768153776629534,0.028909211289965396,0.021274255328501832,0.019682799428278712,37.15327871617165,0.11377619575750934,0.050713242070682035,0.1692673459998941
1951,0.0047821541041718554,0.03233688204833985,0.024329604267630475,0.011487129890953874,35.697176876861924,0.1471378890014804,0.05146086037112769,0.15006324788771117
1952,0.004101153673309719,0.03590949913610751,0.022255217064312077,0.01500018621523123,37.901525671968884,0.1248499574945035,0.04629977162969364,0.1530268680655058
1953,0.009665424181956019,0.028976913480403377,0.01747148253429755,0.03334542330514159,39.917679030638574,0.08642622685696622,0.04587929508054564,0.17012192351249522
1954,0.002790097656743227,0.041694840879943004,0.021918446442111595,0.014991999313257677,39.05159789847099,0.12042663367871348,0.043907430299024094,0.13085904302700946
1955,0.00353666115026326,0.037712681889733465,0.020617540403166906,0.014046509747177579,36.55952258300193,0.12240291152975356,0.04325320450954202,0.1260196988736318
1956,0.00316777685698866,0.040624800013565734,0.019448030110676584,0.016226435617082938,38.340126539323336,0.12162373116399773,0.04001929677774387,0.14202952214219658
1957,0.003848474164574602,0.03677856549671331,0.01672716814653426,0.014952841458963981,36.54654183882339,0.1205643368145697,0.03613765307385472,0.15111582794874492
1958,0.004068751420321153,0.03704158697194363,0.01628267957480941,0.016863262626216746,37.544703844193464,0.1197987275263788,0.035194471652533525,0.1771296766048149
1959,0.006179167466288072,0.03490496255336298,0.014480998223674539,0.030625010930676162,40.785911368626444,0.09260606246769965,0.0343884192768067,0.19744559761342234
1960,0.002484614328215287,0.04201072794047952,0.016753735187822173,0.010964960379486438,36.188857714204865,0.14898730743588479,0.03353623717847342,0.16364725383889614
1961,0.002832677730091038,0.04053491826528893,0.016778414338707904,0.012030081878253067,35.90646311690519,0.13849227460298502,0.03471162509446871,0.1463237965658446
1962,0.0023376409280713617,0.04527162624515405,0.016597915398972218,0.01471589031879101,38.14801413917035,0.1321592040205079,0.03328337608477274,0.14931221570115813
1963,0.0021651575025610974,0.04539535994233022,0.01572629235509443,0.012797820421101365,37.31106723942495,0.13374858194197933,0.0314005733474346,0.14888369876383772
1964,0.002984146733119232,0.042368755799377975,0.013750084887370681,0.0174819113748299,37.98733883031302,0.11600138271615902,0.029155678745922016,0.1547877644530826
1965,0.002723665769293339,0.04264253581284973,0.013287774503634291,0.014209735973256981,36.737007958436145,0.1263831001057956,0.027870014205021356,0.1651931024521708
1966,0.004720245571869848,0.03817412994392407,0.012295190262297773,0.025870519091105288,38.91549888037093,0.09778236661925946,0.02916536013106629,0.1606179860922949
1967,0.003495999457426881,0.040645433626695586,0.011536762932458467,0.019089440065478153,37.614209393154404,0.11185438983371043,0.025945694448613672,0.16644001670571673
1968,0.003305567343389327,0.04180789658382178,0.012363408261477062,0.020074880154680248,38.71494082525135,0.10861722772534461,0.02714489130019256,0.1611349811015783
1969,0.002871744558524729,0.04224689713621808,0.012517054020483892,0.014773406026832971,36.20665496101761,0.12496708959332471,0.02693001657141986,0.15889018657801046
1970,0.003436597771758584,0.04164949927694063,0.010594079439338738,0.020202038963234626,37.588643869391,0.11048803109928013,0.02413138076598992,0.16802515152218478
1971,0.003095664065450604,0.04106177871436033,0.010442928148337291,0.014579271583995457,35.680138670030864,0.12822940230805333,0.023233325607718812,0.1910842246134193
1972,0.004389465759044043,0.038322513569176556,0.008793614929446978,0.021734594928292408,37.14397352188893,0.1056913472582003,0.02243840452971904,0.18489757393259723
1973,0.002911547404712651,0.04190482359208103,0.009344724880769416,0.015152754402519283,36.371683339864404,0.12423001572512794,0.02118253548301827,0.18309924857780124
1974,0.005857205683081116,0.03307776853111386,0.007022970075306743,0.019041219946385246,34.839827254786236,0.11374895911734915,0.021607482231165934,0.23963512426104727
1975,0.00370875902798232,0.03965187392793619,0.008059537955823804,0.0184852994258303,36.54188044395667,0.11394110403734252,0.020071856922153398,0.2041173169576988
1976,0.002393186053226061,0.044310725654339814,0.009294741931881465,0.014006615667578205,36.37671615177083,0.12537323521924962,0.020601943672385492,0.1595353743764453
1977,0.0018459959110677243,0.044936072468662325,0.008790804575274109,0.008545586780574321,33.70273069060497,0.15943112537935722,0.01884689947448559,0.1590629488539211
1978,0.0035073180691709152,0.038886445937161465,0.007530949111491686,0.015814740357266842,35.759920444805886,0.11747063976631845,0.01889623989620273,0.20224095263548525
1979,0.0027590218271805497,0.041902053462919385,0.00716335550314483,0.014936954504260611,36.55968861460544,0.12014338251754544,0.01712661297405561,0.19491169931464092
1980,0.0007472981317937237,0.0566227896432147,0.009235036186041188,0.005410020657871369,34.204407601786784,0.20013137621910904,0.018242730880358406,0.10408809397327244
1981,0.0014312147603352497,0.049327706269047276,0.007946254694807484,0.010065714663998433,36.69477832465248,0.14310450933645535,0.016551046900249087,0.16268931240745513
1982,0.002156393170785495,0.04581176230147195,0.007325046314410567,0.01633014316379793,38.68700756286209,0.10989037505564282,0.016673161960418143,0.1516128107360414
1983,0.0014622674315821562,0.0490616402040404,0.007954872585397295,0.010852271669263926,37.35572578532572,0.13209603130346886,0.016808562824246913,0.14719111491074355
1984,0.0012876091002910607,0.05175877946677196,0.008544799454251354,0.012525699249749764,39.245989430903826,0.12191615022467596,0.01783893909244111,0.11560678400811619
1985,0.0012985910659373892,0.05177242670471227,0.007840179703768657,0.012653088122175304,39.227264668315684,0.12356100875994347,0.016578596932165665,0.1245378748278144
1986,0.0008836278862457724,0.05424125833605909,0.007856353140949244,0.0067078725959092925,35.708544853400134,0.16410540992242176,0.015861082102649318,0.12532039965575517
1987,0.0018779837204379061,0.04628843404531207,0.007099874720329167,0.014056279963906428,38.794522389982994,0.11535866788282563,0.015926454071667016,0.15897480723110938
1988,0.0008693360111791868,0.0553093542104418,0.007198405413526869,0.00887505485144263,38.6471916510842,0.14208985415226116,0.01451339073214052,0.13217549349654234
1989,0.0009884451644794705,0.0547255825111019,0.006884781100971233,0.011480051292404054,40.07689742050589,0.12292236270351968,0.014281684235559446,0.11766477443644657
1990,0.0013175101148132145,0.05123598648657527,0.007086910777886308,0.014908072271288169,41.85513190101106,0.10829857805681953,0.015093472007512336,0.12302779487360566
1991,0.0015366331849499405,0.049558390798042654,0.006383892257050814,0.016352875110944038,42.26083698022035,0.1093559180550362,0.013892414082717285,0.16864921976362418
1992,0.0007779000016084097,0.055885574998695224,0.00609569531582312,0.00862822700297718,39.885075783015154,0.13550542560976764,0.012385871354140973,0.1299157827223705
1993,0.001413753805864177,0.050073244404334694,0.005978632207588555,0.015233758547517625,41.85618622400707,0.10735843719298406,0.013256067712818474,0.13261113220035525
1994,0.001097563550158197,0.05221051005140406,0.005376804337435441,0.01228051006884963,41.613658481675294,0.11490074904596366,0.011528604286203914,0.14888315604799016
1995,0.0015949404886891573,0.04922310390558275,0.004909154542563088,0.02033108571175828,45.101618724109464,0.09317115110395291,0.011121286873453562,0.16106696598455086
1996,0.0009879152613183435,0.05048774021974556,0.00540619975884083,0.0070518721097879095,37.118438621921975,0.14685438899957332,0.011539029894344919,0.14972259524322593
1997,0.0007366406375739108,0.05458486164416451,0.004805300803891643,0.007076488847927565,38.87411177090416,0.1402847346557443,0.009930592527343862,0.1472149491812639
1998,0.0006992650222322876,0.052416607984944213,0.005480284045917679,0.003956772132291202,34.21476180434778,0.20300797138476523,0.01122465411150822,0.13630852928226614
1999,0.000665917636405133,0.05294307530266942,0.004836925226099508,0.003931599805471841,34.78208545311892,0.19188808689005887,0.009839779841747892,0.15375695420470498
2000,0.0006844505009323054,0.051643848276339076,0.004882187678929754,0.003477974343963205,33.40123100907998,0.20588227571888953,0.010114495324382614,0.13712529556372116
2001,0.0006604479417212768,0.052219180777039964,0.005203921214089217,0.003765269614495174,34.5434491297875,0.19011558471579262,0.010665321385434785,0.13056078422380865
2002,0.0012039805914721262,0.04612529038989029,0.004354118924021953,0.0074826881699774465,37.15964880686459,0.1289838882303429,0.009983041454594641,0.1585477587603656
2003,0.00033171444090899875,0.06081867663752162,0.005073308121006896,0.0023627202222565947,34.06713283999888,0.21781314322113066,0.009973365375414153,0.0899628339235022
2004,0.00078390236579726,0.05013774049896162,0.004120252589910703,0.005122974298635168,36.23374219873398,0.14702807192164624,0.008881315285808399,0.1472270061975956
2005,0.0005349594984307687,0.05436529641269409,0.0046661671657019085,0.003992745732717092,36.38167850370358,0.16068674358382706,0.009515982881849124,0.12119743325807956
2006,0.00043693401074426636,0.05651502710078653,0.004512055490114084,0.003413517835127885,36.31028929658569,0.1762977169573436,0.009062779596641129,0.11817613047513048
2007,0.0005923219516856875,0.05326085107519756,0.004119470160172279,0.004958481719365192,38.09166187268511,0.1502849698842736,0.008574107869365466,0.14069373958613687
2008,0.00032957644828123016,0.05922196597758369,0.003737750829563586,0.002557961122602085,35.8828105104965,0.19645940295019432,0.007456413457347314,0.11785834721293012
2009,0.00036386309521854276,0.0578312949696723,0.0038057097570834606,0.002874262449455229,35.55843391182074,0.18154293347111744,0.007704814382672926,0.10775439971384869
2010,0.0007258594101116397,0.050391999537093446,0.0033727761872999243,0.006099118790995951,38.47106766875905,0.12154255044046075,0.0074707657657073915,0.1294262453949318
2011,0.0006220662802373208,0.05149772083934397,0.0034295432392300847,0.005410371661321124,38.53443629371867,0.12379314542358906,0.0074788780395282466,0.10931746519112234
