year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.004431491453612947,0.03938611241676263,0.03569896595106772,0.017921563000170476,36.73728325523868,0.1361177721837193,0.0739711179172252,0.09688107284412359
1949,0.003935173395181604,0.04190206345261738,0.034148510923986686,0.01927879104023149,37.19022159302112,0.1315796319730693,0.07037209435211798,0.09297997298447176
1950,0.0023765229709104465,0.047788794362781425,0.032516471806355564,0.013909121870422118,36.67705816592225,0.15356271875326483,0.0648544993246146,0.08366633593663604
1951,0.002555940073312879,0.04902353323636503,0.03290842613960309,0.019220146009123664,38.47110125801239,0.1315261227189307,0.06586500537310291,0.08365017971183838
1952,0.003174390522778102,0.045807119911340996,0.030382849492459996,0.022417036426424793,39.03901841776181,0.11839434641547912,0.06229350621807956,0.08598060098764954
1953,0.002456004646880158,0.04868950258920342,0.029582668826311935,0.018957402865764406,38.669006303006505,0.12705097609572857,0.059604356889374724,0.08290383124556687
1954,0.002370440712521657,0.049338614569346226,0.028058142248042397,0.019808789533641583,39.02463208557327,0.12110454571886888,0.05696990728788837,0.07544000288335512
1955,0.0026228629808808116,0.04797001109198318,0.0272696138553833,0.0205344411302462,38.564663269595215,0.11918454735263248,0.055953854671515056,0.07559502073703159
1956,0.0020246286854451413,0.05138777623320444,0.026854975040900144,0.018808037608516046,39.14180103638814,0.12178935541085915,0.054205074415854336,0.07120142236960271
1957,0.003301177738879555,0.04621063421193262,0.024927702112009908,0.02717435801875768,39.85312845705831,0.10613469627874922,0.05229389379562244,0.08245705913372135
1958,0.0026351985015958678,0.04867531522263343,0.0246792477818472,0.024028464715764804,39.952292523978976,0.1093718947541352,0.05085305715890287,0.07710964387709532
1959,0.0038387758905573804,0.04448037371266269,0.022741177793369097,0.030414716363842693,40.27897909372407,0.10143274770856539,0.04879638480518456,0.09178821539950234
1960,0.002268946341490582,0.04936484817393763,0.024473172331351902,0.018932496844904625,38.44248192696531,0.11989259227412592,0.04997635180365176,0.07531851807969742
1961,0.003937576802744941,0.04436465833203651,0.022280713794192598,0.031389470867884885,40.490001618699054,0.10071801209132271,0.04796202906664493,0.09560301470640979
1962,0.005681997600221759,0.04097947812586413,0.021735233478852537,0.043854301738680934,41.85874951520283,0.08736233329114139,0.04954750961820656,0.08932538403326493
1963,0.003177829298617767,0.04655982186498712,0.022404520142662865,0.026564708051051225,39.70149677170793,0.10547983624383732,0.04719005070420183,0.08601093609883105
1964,0.003589410964541075,0.044031869802682075,0.021005986471202134,0.025690681337457992,38.92701562946143,0.10433809724570646,0.045513245517197126,0.08430879171746651
1965,0.003422421868657348,0.04488722660003504,0.019765344434408683,0.026246009386517298,39.28591987443072,0.10241965001058428,0.042637581247026504,0.08631838649153384
1966,0.005584624039795487,0.039367985475996535,0.01778854489247331,0.03405653096660634,39.34133529356613,0.09455822388928357,0.04200170018650898,0.10946893763795189
1967,0.0038523324565810494,0.042067309787054946,0.017633796060950366,0.023756748747066576,37.71809221646838,0.10486491478608168,0.03933647357827296,0.09603869060569065
1968,0.0035396465811590844,0.042982620480420744,0.018571927606596303,0.02165802939360178,37.13775314293371,0.10929075909627944,0.040573236875378275,0.09680742038493423
1969,0.002824082236077672,0.045437389161700086,0.018443623204191895,0.017536659299128756,36.32233236875323,0.1217737681424488,0.03919351333665077,0.0990245269778298
1970,0.0022755167500614405,0.04767131162610799,0.01921503818094963,0.015109187838841721,36.09253970681184,0.12853490343625854,0.0400365179292291,0.08577525738764277
1971,0.0019768367513673312,0.04829261918552182,0.018596301505185178,0.012372175781838213,34.99396087116537,0.1357609178223011,0.038498798397030125,0.07875065703264833
1972,0.0016993407984348054,0.05012236819507597,0.017752102404441132,0.010549846399177226,34.420930679181176,0.15189462010656032,0.03621694662549552,0.08746796644152462
1973,0.0017442962566780764,0.049348253983417134,0.017391848632884486,0.010009111025785448,34.350799989736416,0.16146059932049206,0.03546431764623699,0.09679668901273043
1974,0.0019340970261534929,0.04776299594378116,0.016977151067674303,0.01044727843398087,34.15058692285403,0.1544330578893164,0.035119818624094565,0.09732221300528378
1975,0.0017935527998547032,0.049027003173621124,0.01586620085868558,0.011098268409296978,34.814657599713186,0.1478240430110769,0.03289374859571822,0.09133712686909908
1976,0.001648678785454242,0.05015393052062042,0.014833199630570714,0.010521649717991938,34.79310474788384,0.15360629224282446,0.03058519131487283,0.09752682000955643
1977,0.0012318047873794479,0.05298655081093816,0.014816177808774979,0.0079888543820807,34.06773063830988,0.17393410299201384,0.029942313825887606,0.08811390056197613
1978,0.0014428227028689742,0.05143232526268872,0.013986520949332856,0.00961780555144565,34.77912828299427,0.15662450631732755,0.028738004131614148,0.09182164107578376
1979,0.0009703830126348132,0.05663407801440254,0.014026146937296013,0.007786030060540356,34.6845164357484,0.17085013227383128,0.028217902062771714,0.07351858609861858
1980,0.0012635523528622735,0.05310717776672289,0.012638942897581166,0.009456755980565577,35.301229209548936,0.1553594521042675,0.02584084540232846,0.09398954944018244
1981,0.0013263573927408915,0.05203915405511977,0.011501909131436127,0.009505974759063686,35.23517365339058,0.15398826972611487,0.023781181355080845,0.10046967967810981
1982,0.0016807203151707267,0.049669269935628736,0.010835441135524858,0.012545895291664074,36.54934549895712,0.13506125032527005,0.023144151012268462,0.10666701954991108
1983,0.0012207423750303355,0.0536203745956866,0.01040301208405244,0.010839137398549279,36.778638255376315,0.13920945777529314,0.021601266233785103,0.09304430081689004
1984,0.0015955516338552575,0.050300387140865946,0.009408957997429331,0.013296641380787379,37.60619048385974,0.12809609147599701,0.020207224723312406,0.11269226593894763
1985,0.0024135055680530454,0.04668051702287513,0.008476340182356412,0.020877366378677084,39.876708048046574,0.10578159972307964,0.01951292473865775,0.13102520400714165
1986,0.0012104688475365302,0.05307759351064607,0.009872211732485842,0.010495599549645889,37.19763720117879,0.1431066685885077,0.020545264623976357,0.10373690029451753
1987,0.0015231029933889864,0.05019169797171017,0.009157591828759524,0.012661067236484377,38.04200843917516,0.1314893433713194,0.01964993097394958,0.1167343801696627
1988,0.0013989965187038756,0.05146061662161018,0.009072833977814153,0.013164313415163175,38.97183034967938,0.12632664394799037,0.019304085695952385,0.10661153991510709
1989,0.0013595384225639675,0.051128174818113575,0.008397937099321106,0.012185970271132858,38.84308630153512,0.13142789693326062,0.017808666916959117,0.1237915701648682
1990,0.001362947638127067,0.04995996356677239,0.007863165967936611,0.01044459753800495,37.880012168319446,0.14341588348111925,0.01682632449997044,0.13416562388865266
1991,0.0013537366493149496,0.05007690462647794,0.007137618830536782,0.0112141745229189,38.671413109684835,0.1324177156555609,0.015468109521478018,0.1317399504053672
1992,0.0008358269597892384,0.05591846729823747,0.006594047921630228,0.008750267240301254,39.24307708970224,0.14751109257859274,0.013600649064008102,0.12126016533327984
1993,0.001127114867150988,0.05264793800253727,0.006019917029637782,0.011328737587879261,39.99652613938977,0.13119736320505376,0.012942815741162938,0.14123104864007383
1994,0.0008907816909578669,0.05479955546203835,0.006042030502272994,0.009638534691195168,40.22548633374998,0.14003394087848742,0.012759046651914414,0.1194391834574341
1995,0.0008044298767758465,0.054730264885383365,0.006126126509416339,0.007263505844863275,38.509323115755606,0.15856715196528287,0.012856347163467062,0.1112491783473619
1996,0.0009801485240643496,0.05166969568632778,0.006002209066223446,0.007571669455311057,38.36135604816417,0.15765794562181537,0.012772543561996422,0.1387287822205727
