year,a,b,c
1948,2.1071759431074347e-05,0.11157746101498861,0.001337291702304829
1949,1.7957048585497656e-05,0.1140977084384903,0.0012985845230073579
1950,1.496408228243104e-05,0.11733716242190013,0.0011573071367724772
1951,1.7016699417568466e-05,0.11488897932857972,0.0011317721951206027
1952,1.6089493583160947e-05,0.11576413980127022,0.0011203365588168433
1953,1.5473908131826332e-05,0.11621762429194413,0.001039544134761708
1954,1.48150617515622e-05,0.11639307403160756,0.0009074219094643348
1955,1.274280060321937e-05,0.11870502061432849,0.0009113964104041866
1956,1.309741591336446e-05,0.11842369594343936,0.0008834046562637476
1957,1.4160996998740203e-05,0.1174796237170103,0.0008931811213317571
1958,1.4385372977628695e-05,0.116739347907626,0.0008015256367784871
1959,1.3340728246298991e-05,0.11778339585876782,0.0008321702768034014
1960,1.3307546944818998e-05,0.11773989395969588,0.0007961071378053154
1961,0.0001771800205514543,0.06798626950160086,0.0007370790493637363
1962,1.5528143156318974e-05,0.11475841786532996,0.0007490191034408428
1963,1.4243429127401124e-05,0.11623995373523513,0.0007637158161377897
1964,0.00022717608754513547,0.054748229414972004,0.0009376853158774305
1965,1.5685329581935914e-05,0.11455962870350102,0.0007290227564980312
1966,1.6462253107993656e-05,0.11350788410875559,0.0007427661460228395
1967,1.5965667537407794e-05,0.11387952191243586,0.0007416768834860279
1968,1.8362561054813287e-05,0.11117924438439596,0.0006942909640478467
1969,1.9206753314565175e-05,0.11023042131926335,0.0007046991874190636
1970,1.858263817187254e-05,0.11068177649617922,0.0006948795563652598
1971,2.020246420968917e-05,0.10872412934362918,0.0006822479504876031
1972,2.059078926506802e-05,0.10841429040623159,0.0007033465479359334
1973,2.2411980017212872e-05,0.10703337315132315,0.0006680784455205863
1974,2.292612610487534e-05,0.10633946111144466,0.0006592804320917588
1975,2.2783261630336453e-05,0.10611824290378725,0.0006487856814138414
1976,2.0928278895930134e-05,0.1073745771628406,0.0005829850350275401
1977,2.5671534518344888e-05,0.10362125140471445,0.0005481963087229576
1978,2.192827217903463e-05,0.10584601975669099,0.0005596832003543665
1979,2.5401783732953823e-05,0.10272882100344334,0.00052877798346965
1980,2.2219265057430498e-05,0.1045401393250823,0.0005084017399906511
1981,2.3399655827550254e-05,0.10330819333153787,0.0004669259775116282
1982,0.0002066950012778388,0.06491891537884745,0.00015073470019232353
1983,8.916938792751591e-06,0.12072408651828805,0.0006149367159587798
1984,1.82024076292016e-05,0.10630752787523329,0.00039767392109847063
1985,2.29364720679858e-05,0.10210235808103314,0.00036850850924805283
1986,2.2303140507270223e-05,0.10228801623838854,0.00036022653023680857
1987,2.2357649002044526e-05,0.10172146406444611,0.00035906413970478564
1988,2.2758813772167376e-05,0.10096301549277142,0.00035234083493894283
1989,1.0505384762909383e-05,0.11305065196372724,0.0006819050127101651
1990,2.83730620220749e-05,0.09632569054049052,0.0003087059212647471
1991,3.294413831132816e-05,0.09331172450172007,0.00027280741448825786
1992,3.365682182725242e-05,0.09276178724152521,0.00026480332047361686
1993,3.918862503297215e-05,0.09013548621941479,0.00023224936921264645
1994,3.337223625451755e-05,0.09260386351206906,0.00025064962579108055
1995,4.005382525429835e-05,0.08904006400343094,0.000224833452857601
1996,3.5124101426867364e-05,0.09100690297469481,0.00021232869743108694
1997,2.6863927569003902e-05,0.09495438869982226,0.00024389423578479588
1998,3.056974697018945e-05,0.09230022985776883,0.00020489311979404764
1999,2.9532013840994812e-05,0.09257050213706589,0.00020574281291672848
2000,0.0,0.4139658764561865,0.0007846881102544989
2001,2.9294557093953072e-05,0.09195596851972626,0.00018174436095973092
2002,2.630481369624324e-05,0.0937301045500084,0.00018312521877017623
2003,2.9261685518350466e-05,0.09171302432737231,0.00016437490329962554
2004,0.0002713816154296395,0.04543587874485517,0.00016996047206910408
2005,8.769131970537849e-05,0.09940497686636385,2.842674614597228e-05
2006,3.08459404730187e-05,0.08941315020374245,0.00015404037727872037
2007,2.887149799006593e-05,0.09059027795582969,0.00015572612161783702
2008,2.856913392659232e-05,0.09065276528388477,0.00014722478036806452
2009,3.055498959810318e-05,0.08910982115586537,0.00012840752127296707
2010,0.00018980673229245778,0.0516389756645511,3.5399149655500837e-06
2011,2.9074720177908462e-05,0.08888595974049321,0.00013030296941957977
2012,1.0351446463313239e-05,0.11488866864875259,8.72130896168866e-06
2013,2.5602125053556072e-05,0.09084774738009119,0.00013690585597665554
2014,3.322507933926817e-05,0.08637207414796984,0.00010639295193705744
2015,3.322866877513737e-05,0.08606588390214533,0.00011683768718605541
