year,normal_minus_low_lmax,high_minus_normal_lmax
1948,1.4414775807020108e-08,1.4421897887723079e-08
1949,1.4716845013473812e-08,1.4724234800173042e-08
1950,1.462220736506148e-08,1.4629397599580374e-08
1951,6.260009625252971e-09,6.2621002515361734e-09
1952,4.6206701694029295e-09,4.622008477339623e-09
1953,4.6275286345875966e-09,4.628860524047429e-09
1954,3.287469615975702e-09,3.288285116420653e-09
1955,5.71150520628505e-09,5.713352815156503e-09
1956,4.853348906791455e-09,4.854808034748803e-09
1957,3.867884467573246e-09,3.868937514112103e-09
1958,4.104011623595749e-09,4.105139565085958e-09
1959,2.347277715947227e-09,2.3477829472207112e-09
1960,3.756188960563067e-09,3.757171334467513e-09
1961,2.3946427722687513e-09,2.3951609376404726e-09
1962,2.2194052498591965e-09,2.219867952651944e-09
1963,2.2119171112777725e-09,2.2123810561325286e-09
1964,1.9837764937691293e-09,1.984170126811957e-09
1965,1.7291635866223398e-09,1.7294847533266822e-09
1966,2.1967381455545443e-09,2.197191931868625e-09
1967,1.6679829392685086e-09,1.6682828972436337e-09
1968,1.6378189637844542e-09,1.6381109489704837e-09
1969,1.4131312231491222e-09,1.4133665383886385e-09
1970,1.712224678013241e-09,1.7125323138744708e-09
1971,1.2708638412461948e-09,1.2710595666265423e-09
1972,1.7232897123187207e-09,1.7236028611311571e-09
1973,1.3579975997879412e-09,1.3582173372106432e-09
1974,1.5333299040187764e-09,1.5335924023751613e-09
1975,1.4049079122280261e-09,1.405139071070094e-09
1976,1.1693782435429068e-09,1.1695558202462486e-09
1977,9.536892803252428e-10,9.538194227498575e-10
1978,1.1226998740399008e-09,1.122869842246077e-09
1979,9.605145429025796e-10,9.606494280611777e-10
1980,1.0779678677463878e-09,1.0781289333516852e-09
1981,1.0151297094584955e-09,1.015277341365195e-09
1982,8.794054026650677e-10,8.795265904470995e-10
1983,7.187880221581899e-10,7.188780890010626e-10
1984,7.824751298290966e-10,7.825770968750145e-10
1985,9.201934735025841e-10,9.20323459802086e-10
1986,8.604777099185945e-10,8.605951090645547e-10
1987,1.0663396277088566e-09,1.0665001833054522e-09
1988,8.865143064085146e-10,8.866384987316067e-10
1989,8.907007180425364e-10,8.908258228301769e-10
1990,9.5704336122715e-10,9.571796619201045e-10
1991,6.958313508720337e-10,6.959183368460131e-10
1992,5.018522264421676e-10,5.019055865362887e-10
1993,6.80762397842205e-10,6.808447416961627e-10
1994,9.74528881203529e-10,9.746662713028265e-10
1995,5.720621407134807e-10,5.721246740253427e-10
1996,5.426431179400559e-10,5.427007038205645e-10
1997,1.1006707559269024e-09,1.1008325501160598e-09
1998,4.3148812300941586e-10,4.3152930534473555e-10
1999,5.076166431638995e-10,5.076679285287433e-10
2000,3.8414815078935405e-10,3.841827342365711e-10
2001,3.259720063319982e-10,3.259990541404356e-10
2002,3.816569490999733e-10,3.816904084463779e-10
2003,3.06365099955741e-10,3.063894207788742e-10
2004,2.453451122819139e-10,2.453630493226555e-10
2005,2.4570071671670135e-10,2.4571847334620145e-10
2006,2.0893040769687232e-10,2.0894424385131671e-10
2007,1.9037277310118839e-10,1.9038484677658118e-10
2008,1.6908623806655143e-10,1.6909636885165114e-10
2009,1.3882047594782065e-10,1.3882816424226618e-10
2010,1.9186859046005367e-10,1.9188100414124776e-10
2011,1.6162170213274152e-10,1.616314582175704e-10
2012,1.7184572514983287e-10,1.7185652900764126e-10
2013,1.7646308719809767e-10,1.7647425881728296e-10
2014,1.5175904977127175e-10,1.517682160501188e-10
2015,1.5646765133547902e-10,1.564773866036262e-10
