year,a,b,c
1948,7.114129274141066e-05,0.09079556553607936,0.0012477483267494642
1949,4.9502821162777216e-05,0.09799676674790955,0.0012598422235315693
1950,5.444790902343349e-05,0.09608506706199273,0.0010510448599696655
1951,5.4127946460736246e-05,0.09717000477361186,0.000979586582479226
1952,4.320368395468865e-05,0.10011067488588779,0.0008798459006477968
1953,4.319099147840212e-05,0.10101538387081291,0.0008145043095487945
1954,4.304807721740454e-05,0.10026917537988375,0.0007465211735726067
1955,4.207363625112518e-05,0.10047242600737066,0.0007203936790408928
1956,4.141066234261124e-05,0.10131225384497183,0.0006805440552781431
1957,3.9239309239647366e-05,0.10152799403772504,0.0007340182992668748
1958,3.6119270458365e-05,0.10130462748279805,0.0006398639289110578
1959,3.3513912160315335e-05,0.102794736113195,0.0006857117852444008
1960,3.412989699994927e-05,0.10285893189560315,0.0005971450836097486
1961,3.711516462581167e-05,0.10062346197798393,0.0006048435239017769
1962,3.4963258014938595e-05,0.10241096073330282,0.0006119613653493037
1963,3.4934883202103806e-05,0.10277335405136967,0.0006000737364259487
1964,3.634794521994556e-05,0.10090895401483625,0.0005856600407212793
1965,3.887174400846723e-05,0.1002642920316804,0.0005678915077443973
1966,4.0926882841374185e-05,0.0987832467306009,0.0005504613718481057
1967,3.99817781159414e-05,0.09915231644852374,0.0005654485578009057
1968,3.7617183393234974e-05,0.10010878484780558,0.0005817716625735763
1969,3.839752148414236e-05,0.10021093513525542,0.0006027569469215316
1970,4.031147308408247e-05,0.09792954765723777,0.0005708255795522504
1971,4.1238858451327595e-05,0.09759221400925668,0.0005850553798780671
1972,4.855120312609226e-05,0.09453044566690202,0.0005571376103378642
1973,4.290316328804389e-05,0.09630728970981621,0.0005642875562137062
1974,4.046345257858676e-05,0.09721853867224087,0.0005412887665276976
1975,4.2083101316514515e-05,0.09666481793514706,0.0005016355416367145
1976,4.766699280483441e-05,0.09421053493282665,0.0004735678785946472
1977,4.626490472622713e-05,0.09388022749774248,0.00047564453779580014
1978,4.222209026207045e-05,0.09556445921217208,0.0004650327934473649
1979,4.931863841699457e-05,0.09243174481405583,0.00043567272112315225
1980,4.86837602241112e-05,0.0922903401559574,0.0004465172892166147
1981,4.68661115051152e-05,0.0927481015238632,0.00042977875806686245
1982,5.429880190020151e-05,0.08985407325585752,0.0003826849262754412
1983,5.321758511948918e-05,0.09014350840399382,0.00038866086189193953
1984,5.757157175584111e-05,0.08840371665789827,0.0003433946494992951
1985,5.5332069561921014e-05,0.08900435017622896,0.00032301784483669316
1986,5.553338506679988e-05,0.0886199001677277,0.0003148726398642667
1987,5.534778007208649e-05,0.08812191366163938,0.00028711318911060643
1988,6.016769203869383e-05,0.08627506034442131,0.00026744534482010286
1989,6.515083768778749e-05,0.08465230915010645,0.0002593996737884135
1990,7.120975829517748e-05,0.0826532930123455,0.0002244504229462021
1991,0.0003009284656234412,0.050636237779335395,0.00041970283648504604
1992,0.00033407778266493477,0.05418656307916519,1.4670886852033369e-06
1993,8.115390413997352e-05,0.07992811216951153,0.00018383984779370767
1994,8.366174484187409e-05,0.07904485839255444,0.00016148236655021066
1995,8.080192308298569e-05,0.07950968620646003,0.00015443259026913893
1996,7.147036948562796e-05,0.08143421786248888,0.00015155838064110838
1997,6.0746880491527166e-05,0.08360219010398695,0.00015961617578039386
1998,5.8588791997348525e-05,0.08404142356234581,0.00014387793442056202
1999,0.00025559962708191067,0.05284342198187737,3.997700740410169e-06
2000,9.532410517995342e-05,0.07476689377645586,0.00010999433751863028
2001,0.0001893931607287839,0.05351415777146714,0.00023523795273587198
2002,4.99121126741097e-05,0.08583433758688933,0.00013621788837596093
2003,4.298048103296053e-05,0.08856579287036409,0.00013463653007817815
2004,4.0471160747732595e-05,0.08874591409011183,0.00011527699536006255
2005,3.886023661423076e-05,0.08931636131461511,0.00011358504270690226
2006,6.112449037212162e-05,0.08132730606915306,0.00025243661295901474
2007,3.372953026711592e-05,0.09118340231151888,0.0001092478698096601
2008,0.00020641644754957648,0.04697216535007001,9.424954011801623e-05
2009,3.304402823110715e-05,0.09127501694698809,0.00010993983460028372
2010,3.110903827354995e-05,0.09208434972304427,0.00010172240549648643
2011,0.00016663046467220116,0.056086109211957225,6.318528942552099e-06
2012,0.00014783124870349686,0.05684939925322166,0.0001331950889272761
2013,0.00025696478210317724,0.03988272162486601,1.6676197031626346e-07
2014,5.701743081324368e-05,0.09417513236336958,3.149197056815246e-05
2015,0.00033262934251349844,0.03544554801766808,5.35222704995014e-05
