year,a,b,c
1948,1.8763902197554433e-05,0.11040957615066467,0.002105639542423451
1949,1.388241282359674e-05,0.11551716226087623,0.0018376220820421514
1950,1.0157729980707701e-05,0.1314989023426772,0.0010910335594922155
1951,1.7629710966741677e-05,0.11251958688837384,0.00142639742267853
1952,1.27051496430438e-05,0.11813251609700307,0.0013005801292706556
1953,1.1890881945523089e-05,0.11925181269623064,0.0012117873884689371
1954,1.2959794637898582e-05,0.11659807766589161,0.001124870941863278
1955,1.3210472611324695e-05,0.1161681927320949,0.0011029130106422571
1956,1.1830463135134208e-05,0.11983468871754789,0.0010461724187509828
1957,1.1432345207069886e-05,0.12005575195366545,0.0011033671702160581
1958,1.0738183124472947e-05,0.11985412040429554,0.0010000294445652726
1959,1.1385452024021517e-05,0.11857556610058102,0.0009740615671876819
1960,1.2760304076881813e-05,0.11721714608895789,0.0009158677686980223
1961,0.0002674706480979833,0.059914887110871395,0.00042054972818569386
1962,1.3305312290911777e-05,0.11701875239372196,0.0008868493875401434
1963,1.4793085834693046e-05,0.11514609427048869,0.0009024037253802093
1964,1.4799995425597846e-05,0.11438907109406551,0.0007923436619215677
1965,0.00019059888137025818,0.06731981766472395,0.0003502681371738844
1966,1.3638487877017376e-05,0.11543389398499737,0.0006998759681173002
1967,1.4378120473217541e-05,0.11463565354539003,0.0006880321678141234
1968,1.331456458216214e-05,0.1162947491591388,0.0006870055215871543
1969,4.029542373929766e-05,0.09827978703451068,0.0007768696321603965
1970,1.332861231604605e-05,0.11551705815624741,0.0006605717874387239
1971,9.786300820767703e-05,0.07846853699041763,0.0004529132523757884
1972,1.4790031562854898e-05,0.11344380466327687,0.0006164548876848214
1973,1.3745149626747817e-05,0.11461353333261967,0.0006005493202531391
1974,1.3754754033983778e-05,0.11451732105209408,0.0005156027989042031
1975,1.3436586845401316e-05,0.11518721067568977,0.0005174963541936511
1976,3.4803813449842525e-05,0.11058211226168917,0.0009999491263919828
1977,3.4911462070645945e-05,0.11043332367605613,0.0007009719553230286
1978,1.576506994100329e-05,0.12203862891695098,0.0006169650858606779
1979,1.4329062434767491e-05,0.11270587139492759,0.0004387774597566935
1980,0.00018123401991944064,0.06324139899097204,0.0001944389721497735
1981,1.3663040716493358e-05,0.11305288018841218,0.0004032460394825326
1982,1.3869335999880666e-05,0.11220708326402716,0.00038637247024544
1983,1.3347029496527e-05,0.1131509181611071,0.00038565369863710917
1984,1.4299918741766521e-05,0.1110805856639678,0.00034761987376141155
1985,1.4096308983664635e-05,0.11092766469067222,0.0003434548105537248
1986,1.6554640320768848e-05,0.10779891727475481,0.00030558041740192814
1987,1.676268404624097e-05,0.10694278854427257,0.00030757974872271137
1988,2.054042919753594e-05,0.10272338654140979,0.00028856497374789465
1989,1.3752911701330924e-05,0.10859875067453931,0.0006031359637383874
1990,3.504812604127037e-05,0.0921041600570653,0.0002521076349123031
1991,3.8921880641317047e-05,0.09008272388135895,0.00026035256881716155
1992,3.981685052847633e-05,0.08897971183058083,0.00025723446819473896
1993,3.0198167238461555e-05,0.09337488331065172,0.0002917130046212385
1994,3.660514109189346e-05,0.08991632217359048,0.0002444480300014433
1995,4.2427440063190476e-05,0.0868235578295884,0.00022912832804897171
1996,4.1539503336434276e-05,0.08662272691470692,0.00021808372996715852
1997,2.9865817714156657e-05,0.09201583129458658,0.00022429437862286095
1998,0.00022643341048957333,0.05099298066773125,1.0473366715402317e-05
1999,0.00021508925135415473,0.05119740939395864,3.7930655294922235e-06
2000,3.389324947195247e-05,0.08822084809366675,0.0001624730533073879
2001,3.239501998461356e-05,0.08867747222530732,0.00015826143043206413
2002,0.00021242286689441566,0.046913556299466454,0.00028209337492504665
2003,8.715865748113051e-05,0.068361136490147,3.467241686127813e-05
2004,1.0356935497043307e-05,0.11446800595482046,8.725933586781462e-06
2005,2.304101841375037e-05,0.09258301461217242,0.0001277840649037626
2006,0.0001491321152712523,0.0641224019021271,0.0
2007,0.00012124896534614341,0.056204648632638105,0.00011957979167264201
2008,7.270416656664417e-05,0.06891680102398631,5.257177707601997e-05
2009,0.0001466845961988806,0.052421689236474625,1.735619295676293e-05
2010,0.00046753610479609016,0.02736704844389367,3.6772222795495556e-08
2011,2.41836764654754e-05,0.08905035180751919,0.0004473165042172358
2012,0.00034654568261963364,0.03368988724004236,3.682087469768475e-07
2013,1.1502429790519015e-05,0.09736285882163094,0.0004874372395281737
2014,1.1301527228890472e-05,0.10216590405857788,9.851333314559218e-05
2015,1.239185092219737e-05,0.10091731224687932,9.50425097412909e-05
