year,normal_minus_low_lmax,high_minus_normal_lmax
1948,5.0980900861974376e-08,5.102619538358e-08
1949,5.6105436494618965e-08,5.615741885053871e-08
1950,6.22299211848476e-08,6.229049178199664e-08
1951,7.29567986822166e-08,7.303410604064808e-08
1952,8.844623456544243e-08,8.855006257413311e-08
1953,4.441188640458282e-08,4.4449435014637384e-08
1954,3.3276679651389474e-08,3.3301101189098237e-08
1955,1.895803796239659e-08,1.8968719310563653e-08
1956,2.63418931840953e-08,2.6359474457338106e-08
1957,8.904682044161283e-08,8.915498813516498e-08
1958,2.2653288533208693e-08,2.2667284167721125e-08
1959,3.190507062711401e-08,3.1928459535979226e-08
1960,1.8975190540365672e-08,1.8986002148918546e-08
1961,2.088729065055639e-08,2.089974907720782e-08
1962,2.7081888079316663e-08,2.710045600082256e-08
1963,1.8748297393733626e-08,1.8759004630913845e-08
1964,1.820787623799114e-08,1.8218092392302543e-08
1965,7.878043092532372e-08,7.887178999840816e-08
1966,2.4347269846070052e-08,2.4362919549825168e-08
1967,1.4603031690124668e-08,1.46103223339078e-08
1968,2.9019459057977315e-08,2.903965922243512e-08
1969,1.9103087771366045e-08,1.9113929460023993e-08
1970,6.587964278270686e-09,6.590163584979658e-09
1971,3.580877150355377e-09,3.581769669053214e-09
1972,2.7157647831954623e-09,2.7163573924904316e-09
1973,2.1323545082441164e-09,2.1327700092110824e-09
1974,1.7544316867346144e-09,1.7547380909421761e-09
1975,1.3913726039371799e-09,1.3915924176877148e-09
1976,1.3010843062655209e-09,1.301282446380947e-09
1977,1.2455126548183149e-09,1.2456984957442963e-09
1978,1.2840953092507768e-09,1.2842915758648488e-09
1979,1.4123061921333946e-09,1.4125350299154515e-09
1980,1.616902889356453e-09,1.6171837376177667e-09
1981,1.098452127867855e-09,1.0986137589930056e-09
1982,9.658356545094726e-10,9.659689159668972e-10
1983,1.2962570045127464e-09,1.296464713362866e-09
1984,7.554194977887896e-10,7.555134434733546e-10
1985,9.630625810719273e-10,9.63197570313934e-10
1986,6.906015551089162e-10,6.906838226350409e-10
1987,6.035075980626026e-10,6.035766678125221e-10
1988,5.799033406250764e-10,5.799701760511589e-10
1989,4.4832407924966233e-10,4.4837134699493575e-10
1990,4.944529646833118e-10,4.945074350004575e-10
1991,4.1245017817770346e-10,4.12493969537131e-10
1992,4.905867032056754e-10,4.906412637284419e-10
1993,4.153984309307468e-10,4.154402030720483e-10
1994,2.886816202751774e-10,2.8870605212061307e-10
1995,3.308879489849481e-10,3.3091734907841897e-10
1996,3.147081623078307e-10,3.1473517542179863e-10
1997,3.8093555393414746e-10,3.809705884094683e-10
1998,3.8115522543735736e-10,3.8118982276236224e-10
1999,2.669055601534076e-10,2.66926113157151e-10
2000,2.3674374960425126e-10,2.3676090948887563e-10
2001,2.4803444020893295e-10,2.480526686832185e-10
2002,1.772937213706527e-10,1.7730479584532333e-10
2003,1.6535398050798733e-10,1.6536375740949794e-10
2004,1.4777639528729125e-10,1.4778470808218813e-10
2005,1.184900996764604e-10,1.1849617120862632e-10
2006,1.1366701330173257e-10,1.1367267543915816e-10
2007,1.2852137409868902e-10,1.2852804237573068e-10
2008,1.5296643812723332e-10,1.5297507705014368e-10
2009,1.191498635866317e-10,1.1915581021870736e-10
2010,1.158757673147548e-10,1.1588138781881696e-10
2011,9.05040278831315e-11,9.050794835818721e-11
2012,9.251777122187832e-11,9.252174026919135e-11
2013,9.410707629831094e-11,9.411114942903254e-11
2014,8.522539618471825e-11,8.522890726503363e-11
2015,1.0771655789554302e-10,1.0772154002136602e-10
