year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.06351051948177716,0.013287126705123511,3.588410048639094e-13,0.03859066131326891,37.73383394040612,0.1557792952073361,0.08993591984715639,0.561298526336756
1949,0.06629311258218566,0.012805803751658603,3.98566416627388e-13,0.0383850039704904,37.7959189452021,0.15146905412272832,0.09521790370095001,0.5309581686392894
1950,0.054675640692317964,0.013578207740599433,0.007888145817354033,0.03224384620643614,37.365666611523885,0.1551973018019801,0.09254203321769516,0.46541185388364603
1951,0.0427700544315729,0.015673254416332244,0.015379136161033724,0.033393806747932964,37.67938064895631,0.138418825522267,0.08628426464908939,0.45097883065934097
1952,0.026682948153707756,0.019423144347532815,0.024351032133550696,0.028776382972208144,37.89687794208495,0.139369037640987,0.07902875928740603,0.3676445006017495
1953,0.023704010762083054,0.02032599189650177,0.026367473093805854,0.026740737339709716,37.47489739427126,0.14313691093214242,0.07905762763228945,0.336607010172137
1954,0.020452636483849714,0.02027440230271014,0.026022233673666,0.02037976139941502,36.828323249149804,0.16344944561677677,0.07405545938879764,0.32055373461996944
1955,0.013312579847390002,0.02426197823542079,0.027943563868584667,0.018171207914685274,37.0654183856661,0.161800508474412,0.06760918259603771,0.2700627404428875
1956,0.011809642781104236,0.026102619124590283,0.030122256368964904,0.018964411401720505,37.288470090331565,0.15704350665623584,0.06974769665212446,0.24749169712484564
1957,0.010635042579254036,0.02799888992842948,0.029767044528804562,0.020734448505251427,37.70495650737566,0.14828250597588008,0.06766525646309714,0.23716118285518006
1958,0.008390293324067917,0.028633405625170808,0.02864399537095354,0.015242833444994412,36.86794856850931,0.16530727985332566,0.06316611719804001,0.20934970036070283
1959,0.006442771847860068,0.03173600370952651,0.027783202175816365,0.014805429298622531,37.493777150415966,0.16186098252680903,0.058459199462421854,0.20023809602016654
1960,0.005880519283461394,0.033078775088342796,0.025943439823538306,0.015232361573976417,37.54232449356952,0.15556520300782975,0.054752487987894005,0.19362328649501503
1961,0.004733189972620973,0.035461406300781644,0.02475036657767966,0.014641012992523144,37.940965494202466,0.15104074530107497,0.051358701642443126,0.17421020087253486
1962,0.003578400116018582,0.03908533678828579,0.023678312131106882,0.014159234112541271,38.65829485601845,0.14688172739693886,0.04800216735222524,0.15697864596931846
1963,0.002885230513821004,0.041238902768607213,0.021080125180122127,0.013180457716876925,39.24701749219239,0.1437092965873088,0.04225095723899746,0.1533695625193349
1964,0.0023998108971759456,0.04322245224445863,0.01901225830145864,0.012427844003044693,39.516612417433265,0.14046157572700765,0.03781220313804437,0.14736271680489166
1965,0.002268780127629208,0.04471722051049562,0.017584074352624022,0.013997331259186547,40.4859690481943,0.1312195639842325,0.034927134970179165,0.15156941048235978
1966,0.002099810729238673,0.04582782719278611,0.015168779122437973,0.01534130069253663,41.81982830175078,0.12201314721297693,0.030139332620156594,0.15728273132318987
1967,0.0023021720876292384,0.045351519359639214,0.015055221643076832,0.019143738780465876,43.36581858211111,0.10860387124814716,0.030626782876446136,0.14206253347781783
1968,0.002190327278175909,0.045046695054933854,0.01360420631633067,0.01629141233501159,42.195938627563066,0.114808459466005,0.027539738111182866,0.16078063139949275
1969,0.0024254881831549204,0.043912984982206846,0.012219896388637722,0.018340769909339288,42.97966216469037,0.10728471426138778,0.02528492336254758,0.17126904671848941
1970,0.003192724668793001,0.04129418959000858,0.010928781057167013,0.023580347631561915,43.87814377575346,0.09583970277032305,0.023937684930228492,0.18771199041966752
1971,0.003270193238680219,0.03953189966548898,0.010120700536241353,0.020906235753817226,43.04914599460575,0.09626768561461263,0.022706753417918446,0.19106652869546586
1972,0.002797196754008675,0.038674103320482614,0.009413186992579254,0.01300735433952804,39.748234271937015,0.11354662886025818,0.02065871435359436,0.21011255464583903
1973,0.0030666349281488784,0.036712383211696224,0.008752489117476179,0.012263956754019499,38.77718858922071,0.11265711387264413,0.019900089974394502,0.21908937386171617
1974,0.002925794099923953,0.03642814008788045,0.008131709933803664,0.011032546262469765,38.193975281514376,0.11415277129781044,0.01866817903323698,0.21982594080396836
1975,0.0019146348986191228,0.03811289817994334,0.00797166615642619,0.0049980559766372185,34.24571143505904,0.16495241455370716,0.016831345762148245,0.21136220849027387
1976,0.0014476150307454864,0.040369019209267186,0.007826941082473055,0.0035729828424970952,33.02704057583816,0.19406477321282972,0.015951371140979494,0.1913163907754346
1977,0.0013532780357984886,0.04043080745026963,0.007553670215966108,0.0031277869982188327,32.65051410556756,0.20779760645772788,0.015283135470518969,0.19485018144187563
1978,0.001415397561282438,0.039588201183742504,0.006980709855151065,0.0032831711720926245,32.65345740401641,0.19894096191268937,0.014375446536783744,0.20132664517363572
1979,0.0013916565538764987,0.039159853692014586,0.006480914843102915,0.0030112708908315916,32.14041905718584,0.2087950009914025,0.013454260809760225,0.20802148421763444
1980,0.0012058153229485176,0.04129705403705404,0.006244944476502753,0.003001729799158552,32.611372409012155,0.20588155872073374,0.012650957794403702,0.2121245537697994
1981,0.0012377318233883067,0.04066428188288447,0.005880006624998344,0.0031080965581592344,32.49550572508849,0.19634499442942877,0.012154822526890563,0.20802454912592191
1982,0.0011507926584471652,0.04111932020794623,0.005513970518501062,0.0028830744427893345,32.35294315109393,0.20436266112413715,0.011387906363945011,0.20818320913612695
