year,a,b,c
1948,0.00011679756882643025,0.08532545358807499,0.004006399434542634
1949,8.888698790041276e-05,0.08953495902260149,0.0036424546359046053
1950,6.807404522256445e-05,0.09438454207540803,0.003166331625424796
1951,4.3029953674225125e-05,0.10167116193846007,0.002685200618544812
1952,3.516757029894361e-05,0.10467437029973159,0.0022194774225200607
1953,2.1210387403008343e-05,0.11586449662860268,0.0022798646943139886
1954,3.321716942477406e-05,0.10488309215894855,0.0018756176634276288
1955,2.984496550833643e-05,0.10619904936240983,0.0016677776850128148
1956,2.7777616890040124e-05,0.10799452062679457,0.0015627888828009188
1957,2.6969139793414436e-05,0.10893463958280859,0.0015415256641560413
1958,2.666305756001552e-05,0.10757449459225715,0.0013567747808976777
1959,2.4136624618436638e-05,0.10889928432767625,0.0013181579682113554
1960,2.4042528654075907e-05,0.10917143672813007,0.0011937007759526012
1961,2.378253567090143e-05,0.10879467414450264,0.0011016291429602008
1962,2.5138681053459033e-05,0.10792623544748652,0.0009642530716057516
1963,2.589679618965408e-05,0.1066341402555282,0.0008556003867195042
1964,2.5086607479059464e-05,0.10671025022182445,0.0008148418198660139
1965,2.3612805040561076e-05,0.10790374847376528,0.0007571957748718668
1966,2.4218835504419235e-05,0.10654275299923735,0.0007370420520694282
1967,2.433372829445384e-05,0.10591132542029115,0.0006833926647232663
1968,2.3176985117156553e-05,0.10656047229734743,0.0006502331213557329
1969,2.5388112996857722e-05,0.10450868531065753,0.0006414836264432169
1970,2.4668464841035738e-05,0.10487825467103377,0.0006296007919386125
1971,2.4650197227627662e-05,0.10356291908369852,0.0005894289053593269
1972,2.4015326124317435e-05,0.10339377354921805,0.0005796440596344719
1973,2.261516942961305e-05,0.10397560508698832,0.0005589089859719706
1974,2.2488002877275138e-05,0.10359378997120845,0.000497823781286894
1975,2.176329759916349e-05,0.10346289683519408,0.0004726018247918724
1976,2.0445632583869762e-05,0.10403102893358458,0.0004419789482652695
1977,1.9916978592621535e-05,0.10380963474663107,0.00041025877706033403
1978,1.9465865159076095e-05,0.10361520330667233,0.00040078199546996645
1979,1.944640298685126e-05,0.10317628421528555,0.0003699392814193094
1980,1.78701435877052e-05,0.10462850222105163,0.0003627487717986825
1981,0.00011614678517494083,0.06943243658398604,0.00018681363894918775
1982,1.814619011542777e-05,0.10326880429775297,0.00033039120674059196
1983,2.0350147772592316e-05,0.10128825895137683,0.00031972009118756705
1984,1.9903493321648687e-05,0.10135723386186266,0.00029901634716498387
1985,1.8614199005593578e-05,0.10204078853476992,0.0002918969659419478
1986,0.0004691648981149985,0.056290817619940856,8.673483047223795e-05
1987,1.698517137084589e-05,0.1027097463075774,0.00027019708634665554
1988,1.633781021474401e-05,0.10326573043972988,0.0002718648932966076
1989,1.5148458608002676e-05,0.10411901041555395,0.0002709339128240301
1990,8.180335224011906e-05,0.0717951415636737,0.00013484091460409166
1991,1.4428898568079246e-05,0.10479436078712176,0.00025091301474576257
1992,1.0267638558318473e-05,0.10813736415243633,0.0005837551806681647
1993,1.2642041364599482e-05,0.10701754599434271,0.0002550589400069283
1994,0.00017914188542311082,0.05380535918408938,1.938532203351224e-05
1995,1.341787655054532e-05,0.10545497297732165,0.0002676091136109546
1996,1.550656638437074e-05,0.10241533018006825,0.0002136577845959131
1997,1.5888508577055013e-05,0.10167285232944036,0.00020441541629620917
1998,0.00026131103545868993,0.047839186408216924,1.1127837198616592e-05
1999,2.1166016054629357e-05,0.09668157943556913,0.0001899105192610344
2000,2.1176371505253567e-05,0.09618321983104913,0.0001712994688711277
2001,2.17509177985399e-05,0.09525940281236377,0.00015861921887625594
2002,2.11438511753178e-05,0.0953805482208573,0.00015639087348060272
2003,2.395600751146911e-05,0.09315849451908421,0.0001457050800251876
2004,2.3396046390177833e-05,0.09334029786418119,0.00013563507586320737
2005,0.00018819874713109846,0.04934978449852881,9.517645059437136e-05
2006,2.2930704681687774e-05,0.09301994891535706,0.00013556249690224812
2007,4.939879535450852e-05,0.08015094069725778,0.0004639281819983734
2008,2.344008844919183e-05,0.09205095409030947,0.00012198854021330234
2009,8.596211783562525e-05,0.10174014118142141,4.512504982794911e-05
2010,2.3114939367755896e-05,0.091860670443709,0.00011625380597092619
2011,0.00021361328212548395,0.04684840537297012,7.80631226185012e-05
2012,0.00034972911602730757,0.027651338222769724,2.605239669256253e-07
2013,2.0411827104547526e-05,0.0927523976432468,0.00010424143779702963
2014,1.976858601659511e-05,0.09272365773927628,0.00010975688343656572
2015,0.0002929886683309449,0.0351383938207297,1.5955129761400839e-06
