year,normal_minus_low_lmax,high_minus_normal_lmax
1948,2.0817495963165733e-08,2.083196902133433e-08
1949,2.054632930459377e-08,2.0560238365996408e-08
1950,1.609383753695126e-08,1.6103337937417583e-08
1951,1.639160383468119e-08,1.6400942784433603e-08
1952,1.2364699208955443e-08,1.237082686983415e-08
1953,1.1395848108913809e-08,1.1401302880964526e-08
1954,7.655159197511585e-09,7.658257833442761e-09
1955,6.065518982911744e-09,6.0677033050793305e-09
1956,6.3939594764639285e-09,6.3963146168521945e-09
1957,7.0885822281430144e-09,7.091315593760195e-09
1958,4.52499580860799e-09,4.526415874062106e-09
1959,3.97740597402052e-09,3.978578338309502e-09
1960,4.122560012115306e-09,4.123789545951162e-09
1961,3.6308253070771457e-09,3.6318382953814954e-09
1962,3.1586270231309665e-09,3.1594457362837947e-09
1963,2.585186585635224e-09,2.585788239778397e-09
1964,2.250364110334413e-09,2.2508492639183864e-09
1965,2.4702287333699946e-09,2.4707842508076006e-09
1966,2.4668812999284473e-09,2.4674326956630743e-09
1967,3.071644199409418e-09,3.072404285847652e-09
1968,2.6057561663961337e-09,2.606350007344771e-09
1969,2.9493515026068895e-09,2.950060140616273e-09
1970,4.194609007357464e-09,4.195797567024817e-09
1971,3.603398995855045e-09,3.604335566120831e-09
1972,2.178204006053619e-09,2.1786416490310323e-09
1973,2.1296256563774207e-09,2.1300419587866326e-09
1974,1.8640872213870896e-09,1.8644250310284605e-09
1975,8.125807110515026e-10,8.12677883321733e-10
1976,5.617112608380381e-10,5.617667130086712e-10
1977,4.780899842682373e-10,4.781334356218636e-10
1978,4.973381255435338e-10,4.973842414324192e-10
1979,4.5777635501731417e-10,4.5781682958545566e-10
1980,4.3263803650717136e-10,4.326757147010696e-10
1981,4.457758051579219e-10,4.458149821529034e-10
1982,4.0117680705220593e-10,4.0121043987095817e-10
1983,3.427336539574277e-10,3.4276035482116995e-10
1984,3.55556965814241e-10,3.555847977176896e-10
1985,3.65999883178425e-10,3.660293318441532e-10
1986,3.6121829832813646e-10,3.612471363712011e-10
1987,3.364646825043671e-10,3.364915082681996e-10
1988,3.53368702354917e-10,3.533976306036024e-10
1989,3.282635135937184e-10,3.2828966628484224e-10
1990,3.7731395091666897e-10,3.7734640412345755e-10
1991,2.9688943664618606e-10,2.969122100959787e-10
1992,3.483386079583539e-10,3.483674945736759e-10
1993,3.303263565457293e-10,3.30352661892519e-10
1994,3.070138240857112e-10,3.0703786735308825e-10
1995,3.2218590989563367e-10,3.222115629863964e-10
1996,2.946702951089897e-10,2.946924995694822e-10
1997,2.549352326464138e-10,2.549532668316701e-10
1998,2.3163530121772524e-10,2.3165083046228219e-10
1999,2.13172139662543e-10,2.1318585091689712e-10
2000,1.777448327411335e-10,1.7775522720420156e-10
2001,1.4770216300030725e-10,1.4770996231705524e-10
2002,1.3578478619269418e-10,1.357915724309322e-10
2003,1.213116621046062e-10,1.2131743526433425e-10
2004,1.1977271952012813e-10,1.1977837471865982e-10
2005,1.0724558741070922e-10,1.0725050708648709e-10
2006,1.0526347848927031e-10,1.0526823857048839e-10
2007,9.189276423127168e-11,9.189658756181274e-11
2008,9.615202384294363e-11,9.615625656822502e-11
2009,7.644367083781134e-11,7.64466268066144e-11
2010,9.721741467405565e-11,9.722175148274559e-11
2011,1.0067924272050277e-10,1.0068380851269154e-10
2012,8.012265156898124e-11,8.01259614213734e-11
2013,7.1661780676191e-11,7.166459786711599e-11
2014,7.024843901026756e-11,7.025120069004132e-11
2015,6.899184695763338e-11,6.899446985952906e-11
