year,a,b,c
1948,1.2872200933096575e-05,0.11448623853692581,0.0009902767402066488
1949,1.2976619385296295e-05,0.11540892484422005,0.0009454279360736073
1950,8.289673863741029e-06,0.12214265600415872,0.0008433065016587512
1951,0.0001234810377726864,0.11083116251030922,0.0008339210731328449
1952,8.038164562945642e-06,0.12243404850755064,0.000747795502120069
1953,7.164519211612814e-06,0.12453520810192222,0.0008935465209037086
1954,7.3515711652831415e-06,0.12446973818957838,0.0006753866186124868
1955,6.999658897555022e-06,0.12482957483448602,0.000681740957941417
1956,6.33286095466292e-06,0.12674296036638888,0.0006585885082043693
1957,6.366720876095373e-06,0.1258424259114387,0.000697137746920519
1958,6.130130179101824e-06,0.1265077009563793,0.0006460658767939235
1959,5.769399222492302e-06,0.12747423628426569,0.0006921664990892393
1960,6.2482733145588515e-06,0.12637750565928213,0.0006147535166213866
1961,6.376325714082339e-06,0.1260833423012686,0.0006079978243052112
1962,0.0001407800905344944,0.06667258528224207,0.0003405695781223879
1963,6.560336059673729e-06,0.12611481508937591,0.00059858623538758
1964,6.134223565279448e-06,0.12717021441650342,0.0006269754966819068
1965,0.00010674945888132701,0.07380380152961039,0.00037047804157962005
1966,6.425215429054207e-06,0.12675973823859857,0.0006200361289751389
1967,2.419203250422273e-05,0.10260507842528738,0.0007057805792749635
1968,0.00037897420969837365,0.049042608447283406,4.087461782522772e-05
1969,7.211132357763641e-06,0.12515388733590987,0.0005989180651292869
1970,6.5609961019841435e-06,0.12689733437828846,0.0006150479619241613
1971,7.492844448102725e-05,0.080436881733177,0.00039467859176919607
1972,7.8075197739256e-06,0.12357338714630763,0.0005844239651453738
1973,9.185409931180404e-06,0.12003321159782615,0.0005558414490182643
1974,6.894017928300205e-06,0.12475335620867996,0.0005227273166722125
1975,0.0002178641341664454,0.058009088189535866,0.0002772684413951836
1976,8.106641481060186e-06,0.12191850930138995,0.000477214273450462
1977,1.3694211722765774e-05,0.11051372175208743,0.0006478352701894632
1978,8.1116668890084e-06,0.12122166880238736,0.0004742688404150579
1979,8.174202721876468e-06,0.12087135693300138,0.0004226578197524006
1980,9.48121558213205e-06,0.1179132918773628,0.00039588373842804726
1981,8.842408111692406e-06,0.11884224726039266,0.00037966554317086945
1982,8.955909068069826e-06,0.11878265868073258,0.000372243851580276
1983,9.603947692402444e-06,0.11707174158506949,0.0003507641698225562
1984,1.0282244331486744e-05,0.11577490602871746,0.0003309157820220349
1985,1.1205530516466744e-05,0.1143377763092742,0.0002920777562860462
1986,1.13780733988206e-05,0.11416306593912862,0.0003016802412193944
1987,1.093564102522185e-05,0.11418433808004472,0.000291059708417363
1988,1.1283025925961112e-05,0.11310642445707199,0.0002830561346568421
1989,0.00018699228013048318,0.05937170673992841,2.2282122823440818e-05
1990,1.131763395293137e-05,0.11262253392731442,0.00029642347078506396
1991,1.3389099443136766e-05,0.1096544346403163,0.0002675482502153962
1992,0.0001523226796962892,0.06136971322213835,3.214808480108338e-05
1993,1.5215298771638397e-05,0.10740014793750233,0.00025402673300934004
1994,6.683159823368537e-05,0.07816085667988323,0.00010914132282585154
1995,0.00025088512479383326,0.05056712689687716,1.1026438057001755e-05
1996,1.6756409008882288e-05,0.10481045030881034,0.00021776732811697294
1997,9.826818563260315e-05,0.06946483602864449,5.6132647074394335e-05
1998,0.00011573799112969137,0.06518297415035254,4.0675300960956324e-05
1999,1.6291796192814543e-05,0.10469040143287914,0.00020351158829278593
2000,1.5418425562787114e-05,0.1053636909250497,0.0002012215361936862
2001,1.0000934081779494e-05,0.12107309463862492,0.00043940322719740867
2002,1.565965075112205e-05,0.1044918252313719,0.00018678579499609252
2003,0.00011238473487605721,0.0649501815160724,3.484229738064578e-05
2004,0.0003004535033494667,0.045525075544277246,3.4009818936581094e-06
2005,0.00016395960884888746,0.056320550725136274,1.1918619181893088e-05
2006,1.0944208902256329e-05,0.1085980544391504,0.00015220871943377688
2007,4.31412105044231e-05,0.08092706820198317,7.120613129555061e-05
2008,0.00010253655562648462,0.06839479042018132,0.0
2009,1.0102180186521817e-05,0.10897207005274788,0.00013543507257882147
2010,0.00010724261677746148,0.059100755505504365,4.967748673016654e-05
2011,1.1905444337670889e-05,0.10518149116364167,0.00011452534056155388
2012,0.00011462778608489879,0.057727106190865206,1.3271779622410948e-05
2013,1.0370310994749688e-05,0.10709769995239549,0.00010738531697508145
2014,7.914590506467246e-05,0.06761159076001952,1.2124708277500563e-05
2015,1.0390844744866717e-05,0.10652271329410844,0.0001001252709449603
