year,normal_minus_low_lmax,high_minus_normal_lmax
1948,4.655155285554491e-09,4.656518816370525e-09
1949,2.4522723920950007e-09,2.4528326314499083e-09
1950,1.205609191298751e-08,1.2061638524768492e-08
1951,5.108670021736206e-09,5.110226641152904e-09
1952,7.546773993921674e-09,7.549549929652954e-09
1953,5.037635106286409e-08,5.042303425489836e-08
1954,5.367591544847006e-09,5.369278514855136e-09
1955,9.494946700411289e-09,9.498824032894149e-09
1956,7.542327293968976e-09,7.545146077370113e-09
1957,7.71340881791649e-09,7.716255738532407e-09
1958,7.458672783566822e-09,7.461383962070745e-09
1959,9.564368283476732e-09,9.568345712973603e-09
1960,1.6790844999114984e-09,1.679389696751521e-09
1961,3.050959099942796e-09,3.051682781474163e-09
1962,3.3401489456241773e-09,3.3410007052592228e-09
1963,2.5663294753175414e-09,2.566894974354028e-09
1964,3.1168146848170597e-09,3.1175686303341887e-09
1965,2.6928592168629084e-09,2.6934592160798854e-09
1966,6.766498888977068e-09,6.7688490333617235e-09
1967,5.193415100746002e-09,5.195009495501113e-09
1968,4.641361572854663e-09,4.6426991001657925e-09
1969,4.73682510923612e-09,4.738202118853563e-09
1970,4.563640985943973e-09,4.5649594382357606e-09
1971,3.2421095877421813e-09,3.242894036636912e-09
1972,5.676258248155097e-09,5.6780344488693846e-09
1973,2.6145432450996875e-09,2.6151144097430468e-09
1974,3.021696858007683e-09,3.0223891583913698e-09
1975,3.2808644932769138e-09,3.281662122600615e-09
1976,2.0396889108265093e-09,2.0400881539650584e-09
1977,1.4836061580647542e-09,1.483852690026266e-09
1978,2.3744065082154098e-09,2.3748952596158723e-09
1979,2.249759066541568e-09,2.250218320704045e-09
1980,6.056972909340708e-10,6.057648757606948e-10
1981,1.2497112650278197e-09,1.2499076218475125e-09
1982,1.9138957779718524e-09,1.9142581200726205e-09
1983,1.2413501684904737e-09,1.2415430628021085e-09
1984,1.2781524103000486e-09,1.2783551231465573e-09
1985,1.3948519700379691e-09,1.3950845548227342e-09
1986,9.069985387744062e-10,9.07120149828966e-10
1987,1.9554188754322688e-09,1.9557940961201226e-09
1988,6.506001015704754e-10,6.50675159585834e-10
1989,1.6335397687305964e-09,1.6338311190078336e-09
1990,3.8583132314085056e-09,3.859349589907524e-09
1991,2.791850417516173e-09,2.7924961579217644e-09
1992,1.0440134035061277e-09,1.0441624509471836e-09
1993,1.1345708608723193e-09,1.134740364172604e-09
1994,2.908675668378269e-09,2.9093559991699713e-09
1995,2.74062819660692e-09,2.7412478953436903e-09
1996,6.193471499549297e-10,6.194142490589805e-10
1997,4.075494663968726e-10,4.0758577762867176e-10
1998,3.396041017844631e-10,3.39631621437686e-10
1999,3.030281650606703e-10,3.030506540158129e-10
2000,2.894049722090841e-10,2.8942581664637146e-10
2001,4.1135474193598753e-10,4.113902066227304e-10
2002,4.319003765740348e-10,4.3193897764082223e-10
2003,1.5689795990203592e-10,1.5690605759122178e-10
2004,3.2458461612927536e-10,3.2460931859157327e-10
2005,3.529695771775643e-10,3.5299773520902633e-10
2006,2.2925482345836912e-10,2.2926981840809546e-10
2007,2.8139549718142476e-10,2.814163624353938e-10
2008,1.582866893112822e-10,1.582953906842377e-10
2009,1.347553180153227e-10,1.3476211119245463e-10
2010,1.8509573040947913e-10,1.851066730451656e-10
2011,2.2438278318714922e-10,2.2439723690315105e-10
2012,1.1738543470585228e-10,1.1739111072106567e-10
2013,1.0852168469410728e-10,1.0852683335338398e-10
2014,1.374731578573929e-10,1.3748024246806878e-10
2015,1.401226704111913e-10,1.401301227832441e-10
