year,a,b,c
1948,2.401714569045953e-05,0.10681378818886303,0.003173561772813285
1949,2.697651343022892e-05,0.10625740256457346,0.002958721937037049
1950,1.9938433690448464e-05,0.1103237618908022,0.0027027239660959296
1951,1.5990732558586868e-05,0.11631928728061716,0.0024765338574330603
1952,1.3239138263161973e-05,0.11724085336076712,0.0019452692832515103
1953,1.2983927846717319e-05,0.11787723982272605,0.0016133290786437254
1954,1.4430005481467857e-05,0.11529801658230043,0.0013934456434968857
1955,1.2999101385086928e-05,0.11689147220816976,0.0013995154557176076
1956,1.5602877752703502e-05,0.1151575779141689,0.0012345805709666198
1957,1.728651899808689e-05,0.11354080205397345,0.001262828738250518
1958,1.6106557132945506e-05,0.11676413768399571,0.001036221690242043
1959,1.4532466174074326e-05,0.11428834794363431,0.001032776544876311
1960,1.5131626839435221e-05,0.1135699906402758,0.000911235712131391
1961,1.4127895301507177e-05,0.11420999301973814,0.0008831958125022694
1962,1.4413997381288186e-05,0.11453142049975906,0.0008716967107468629
1963,1.3530399607165611e-05,0.11574748166067496,0.0008447928244858804
1964,1.527991375722629e-05,0.1128551320743125,0.0007658726576321559
1965,1.6478427461361816e-05,0.11108862205937793,0.0007258934887009457
1966,1.7349349198574627e-05,0.1101773989381719,0.0006861273359108716
1967,1.839586582210693e-05,0.10922757914459555,0.0006476636382238582
1968,1.7789857779300598e-05,0.1093152288981158,0.0006306808194371902
1969,1.925761309161817e-05,0.10914090451048507,0.0006423876212540961
1970,1.9088929242585952e-05,0.10764693404165027,0.0006355760904739645
1971,1.6708913615116933e-05,0.11113011816784332,0.0006288354075220361
1972,1.734153332400935e-05,0.1087647236645222,0.0005974104517676914
1973,1.6637484358983633e-05,0.10991947231563698,0.0006013925752042519
1974,1.7296320236327146e-05,0.1089395501447944,0.0005679344443474968
1975,1.570511139098815e-05,0.11055115822774378,0.0005326946188025092
1976,1.571276470319345e-05,0.11031070085156106,0.0004983467163716514
1977,1.3998375037444628e-05,0.11149380580062115,0.0005139380961450526
1978,1.5434606636668228e-05,0.10936326893117893,0.0005245122710336291
1979,1.5641848488655057e-05,0.108677350880651,0.0005082518785046325
1980,1.5765896218583005e-05,0.10784430714904282,0.0004728084662830197
1981,1.576785998804724e-05,0.10773360889106422,0.0004430829625441951
1982,1.6678140042741115e-05,0.10612977112438729,0.0003938814196557835
1983,1.8010789608223284e-05,0.10472058159099727,0.0004113067513462005
1984,1.9927410263872358e-05,0.10289829050018011,0.0003817805221422209
1985,2.163945834344795e-05,0.10136296522623735,0.00038069188009635685
1986,2.55925527362649e-05,0.0978793062473438,0.0003637246945503393
1987,3.716453565453541e-05,0.09100230103765349,0.0003248145350715405
1988,4.396436560405378e-05,0.08811065130018471,0.00031420659275420773
1989,5.585269860993549e-05,0.08355260816513908,0.0003084929225607552
1990,6.119616352962363e-05,0.08170150059822089,0.00031044582967248936
1991,7.694225591898363e-05,0.07782178601334368,0.0002512630882804152
1992,7.307053243689704e-05,0.07847144230009508,0.00023166034020521143
1993,6.732039681782168e-05,0.07983323356535439,0.00021857519714829437
1994,6.644134221559199e-05,0.07988742355868664,0.0001996557538242698
1995,7.211936735579606e-05,0.07847502757345576,0.0001748512152535443
1996,6.545232343298044e-05,0.07984196731633442,0.0001883479632464055
1997,4.8145709173299885e-05,0.08444798291077969,0.0001877844379851648
1998,4.28403097822921e-05,0.08597166999500302,0.00018911687713711305
1999,1.0287324473989974e-05,0.12042231405437395,0.0002424390598603602
2000,0.0002445561031915593,0.05081120588187201,3.317966582131372e-06
2001,3.8311229387473554e-05,0.0874692420388058,0.00015767311928019035
2002,0.00013950509018574472,0.06039284950008768,0.00010693789711731957
2003,0.00022854749645048067,0.05039517712303496,7.945262895061657e-07
2004,3.238580807459099e-05,0.0894583455708409,0.00014369901330005115
2005,2.819016385305632e-05,0.09175409059136606,0.00014523058443767677
2006,2.3309879959119622e-05,0.09465922264869057,0.0001423339819554889
2007,0.0003355468219812401,0.03230469275245803,1.2688235033973411e-05
2008,1.9074267155921765e-05,0.09760774840427874,0.00013241426529223848
2009,1.5066048795817011e-05,0.10129200018752064,0.00012989158622338947
2010,0.00013444406788589908,0.05715951717237209,3.884165470764673e-06
2011,6.120229083026336e-05,0.07470309348859108,0.00022665545298171605
2012,0.00027601845658136955,0.0411226513697351,1.71347848045937e-05
2013,7.862500369345276e-06,0.11148890837215569,0.00011155654275228718
2014,0.00022859130139950902,0.025693123547700876,4.8858186266202446e-05
2015,0.00042771357698334866,0.020776328661307863,1.8702196590028098e-07
