year,normal_minus_low_lmax,high_minus_normal_lmax
1948,1.5373110954369773e-08,1.5381387767632315e-08
1949,1.6586686541614215e-08,1.6595846117489765e-08
1950,2.249264693596209e-08,2.2506694303398023e-08
1951,3.392005409191823e-08,3.39461435558408e-08
1952,3.4412984465520546e-08,3.443921384183035e-08
1953,2.0119906635196472e-07,2.015745134871516e-07
1954,1.0358808710808631e-07,1.0372655090060134e-07
1955,9.570577634565591e-08,9.582887341985646e-08
1956,1.4146083801569453e-07,1.4168546309464847e-07
1957,1.3662215331278205e-07,1.3683758637653143e-07
1958,1.8825179377152113e-08,1.8836154424412e-08
1959,3.3016924153028704e-08,3.304236718612574e-08
1960,3.226461337685338e-08,3.228916828357242e-08
1961,2.7936735393779832e-08,2.7956631693665246e-08
1962,4.585990526911887e-08,4.5902207413545115e-08
1963,1.6363824646009606e-08,1.6372903692551954e-08
1964,1.2884727531442541e-08,1.2890994910419451e-08
1965,1.5085342221915488e-08,1.509332886104331e-08
1966,4.501835796505427e-09,4.503125688309906e-09
1967,5.187668506573262e-09,5.189265416677413e-09
1968,3.321460058380854e-09,3.3222830875256903e-09
1969,3.044558303383349e-09,3.045279896307651e-09
1970,1.6302437420845362e-09,1.6305267899752174e-09
1971,2.6968676111738255e-09,2.697462218870239e-09
1972,1.3797326892106554e-09,1.3799539080872059e-09
1973,1.996014239308286e-09,1.996399743436905e-09
1974,1.840690672799683e-09,1.8410286767300832e-09
1975,2.2189682209738937e-09,2.2194054719038014e-09
1976,1.3071328984481934e-09,1.3073335400348718e-09
1977,1.2904323824780572e-09,1.2906313205662823e-09
1978,1.550647204390243e-09,1.550907957614811e-09
1979,1.051651432604217e-09,1.05179780857112e-09
1980,6.889590113690058e-10,6.890379621038445e-10
1981,1.0696793555087236e-09,1.0698291141864047e-09
1982,6.18922458422988e-10,6.189888115959441e-10
1983,7.339184884824768e-10,7.340061614069526e-10
1984,8.720550254137649e-10,8.721665889499519e-10
1985,5.360694631251217e-10,5.361246412094456e-10
1986,5.233747220334539e-10,5.234291368394484e-10
1987,4.385074074686468e-10,4.385508137194627e-10
1988,4.1781031759335896e-10,4.1785186769005556e-10
1989,4.1838776193570126e-10,4.1843100859195737e-10
1990,4.0701028311551646e-10,4.0705254097939125e-10
1991,3.243569475508412e-10,3.243882801262643e-10
1992,2.440689525484707e-10,2.440900537248325e-10
1993,1.782088712709573e-10,1.7822188169702713e-10
1994,1.0226986618677714e-10,1.022758475133223e-10
1995,9.033582909490079e-11,9.034083897629941e-11
1996,8.943041446274336e-11,8.943502882718946e-11
1997,2.2663648041598705e-10,2.2665121168774505e-10
1998,2.1794942933750505e-10,2.1796327243084335e-10
1999,2.7522666090629144e-10,2.752454028587259e-10
2000,1.8722032257834087e-10,1.8723071010251502e-10
2001,2.213523600524958e-10,2.213654745619742e-10
2002,1.3272888343962563e-10,1.3273490639953422e-10
2003,2.0648201204398475e-10,2.0649353754675914e-10
2004,1.4780971585581781e-10,1.4781637719396556e-10
2005,1.1935882837654788e-10,1.1936340110763055e-10
2006,9.198716788283434e-11,9.19902834461972e-11
2007,1.2520787184833182e-10,1.2521307601875975e-10
2008,9.499341591112653e-11,9.499678127466993e-11
2009,1.0023216978627403e-10,1.0023609026132974e-10
2010,1.0077522150098162e-10,1.0077909340378e-10
2011,1.0935130578815233e-10,1.093558715803411e-10
2012,8.507448912009608e-11,8.507764631682235e-11
2013,6.284679721080266e-11,6.284880255114089e-11
2014,7.91831253343922e-11,7.918612293655869e-11
2015,7.593833201147149e-11,7.594115614129038e-11
