year,a,b,c
1948,4.867347865993968e-05,0.10083700090244246,0.0010149629847976758
1949,4.250898319868872e-05,0.10281518057109283,0.0009715538613204733
1950,4.2658700751294974e-05,0.10251044086229097,0.0008994026243105803
1951,3.272422538030314e-05,0.11574250638258562,0.0011644970663961497
1952,3.819461046189679e-05,0.10401030067985902,0.0009133970398660803
1953,3.5982153378322706e-05,0.10486243393138174,0.000850991965706362
1954,3.4057294878245434e-05,0.1049108949264957,0.0007790520165865179
1955,3.410294554319909e-05,0.10468410373881665,0.0007634085440850245
1956,3.3639809462100526e-05,0.10493010635682064,0.0007473799384143946
1957,3.409650859409243e-05,0.10506994337101239,0.0007629182105392374
1958,3.233073096479469e-05,0.1056561095997493,0.0007301060287038297
1959,3.127639392680322e-05,0.10599072859728718,0.0007382190758727028
1960,3.176315678075484e-05,0.1060401244432179,0.0007213080815912946
1961,3.2550470375583907e-05,0.1051439882167048,0.0006818423940134175
1962,3.465023521736064e-05,0.10424030388066015,0.0006736060516163657
1963,3.5831096249554296e-05,0.10392477298917553,0.0006788985792884576
1964,0.00018649893685501374,0.07265139436792935,0.0007524278518884037
1965,4.021096544367185e-05,0.10166173117824187,0.0006623178976681522
1966,1.0169125362722309e-05,0.13052045547196356,0.0009487553744320688
1967,4.66604758316599e-05,0.0986401986254928,0.0006437725093816839
1968,5.004368190019657e-05,0.0978479353381206,0.000661891885379388
1969,5.496566258529698e-05,0.09568897115318174,0.0006548313768709264
1970,5.5016068361425126e-05,0.09556895010311411,0.0006292988739122092
1971,5.5887869625700046e-05,0.0947998207006334,0.0006186403192338412
1972,5.59501552032171e-05,0.09472029979135788,0.0006080196524219726
1973,5.5879193400137456e-05,0.0943819275818656,0.0006073963960439064
1974,5.323987420396097e-05,0.09453133262855838,0.0005634752352141056
1975,5.2765994542556715e-05,0.09402945762585636,0.0005311508758079407
1976,4.664925577078193e-05,0.0958959176391129,0.0005185343615567929
1977,4.870342248290245e-05,0.09456903905691602,0.0005128281285822071
1978,4.790457832902849e-05,0.09453509041044687,0.0005077659649424048
1979,5.081957071277823e-05,0.0928438448853894,0.0004818835419771285
1980,5.223260346651947e-05,0.09234744707405501,0.00046915847754426434
1981,5.127143643171734e-05,0.09239463818060989,0.0004381337254632648
1982,4.5481558221011835e-05,0.09401400605922888,0.0004247943048962829
1983,4.227002252056377e-05,0.09526213690421788,0.0004062310403381878
1984,4.643876387994626e-05,0.09338310755077973,0.00038888551591629515
1985,4.8671636892240256e-05,0.09258006813053021,0.00037934860570254005
1986,6.014876624857272e-05,0.08848565680120309,0.00036661018032178335
1987,6.099089833692147e-05,0.0880971568964507,0.00035940129494296705
1988,6.568190353407587e-05,0.08670426416207538,0.0003546972293218382
1989,6.968999170568841e-05,0.0853259586195744,0.0003412130869015067
1990,7.612362937002943e-05,0.08347666164870832,0.0003049600344401395
1991,7.817383447240436e-05,0.08281713590680542,0.00029931391594846014
1992,8.105455399602759e-05,0.08200472464133508,0.00026793426834093183
1993,8.514883511601369e-05,0.08127694100212932,0.0002721543119439907
1994,9.018150468965077e-05,0.08012546626450108,0.0002502476405614112
1995,9.03682492805241e-05,0.08000187886828407,0.00023776016851343392
1996,7.426695708321917e-05,0.082869581975872,0.0002449140411592176
1997,6.34532348532875e-05,0.08496105032381146,0.0002430601515660199
1998,5.8863604062200124e-05,0.08596491408358925,0.0002353761194597331
1999,5.726653402698979e-05,0.08640862601209488,0.00023098905013930744
2000,6.0850516483130015e-05,0.08518974993265803,0.0002132905611391969
2001,6.689635378792223e-05,0.08349173603639021,0.00019816019586720477
2002,6.91896444015865e-05,0.08279650298790671,0.00019061661350390917
2003,1.6155606845410555e-05,0.10849247737255958,0.0006738697596938329
2004,6.94884326571693e-05,0.08207767354514593,0.00018026877667696848
2005,7.239829351967588e-05,0.08139926558627593,0.00017144013714401088
2006,7.614407256311888e-05,0.08025006426526578,0.00015686338720663915
2007,7.331843596674207e-05,0.08055132061330961,0.0001590729919139789
2008,0.00010544578633613368,0.11047612534698711,0.0006077102342593954
2009,6.643808359846114e-05,0.08216162578152524,0.00014469488894438203
2010,6.389521298287618e-05,0.08244525329048749,0.0001346873161726639
2011,6.489054627052904e-05,0.08218809646936312,0.00013502928117897173
2012,6.405299953272158e-05,0.08241098203709916,0.00013075946885247674
2013,6.327321356631711e-05,0.08275343517087257,0.00013008504739104332
2014,6.665488343562546e-05,0.08202049069910221,0.00012082209575132967
2015,0.00021146887180973386,0.05712814798983926,0.00016489904439126183
