year,normal_minus_low_lmax,high_minus_normal_lmax
1948,3.269421455787125e-09,3.2701775905252806e-09
1949,3.4222549273599245e-09,3.4230590029160624e-09
1950,3.1046218963715067e-09,3.1053268775838028e-09
1951,3.122784433817749e-09,3.1235024566811376e-09
1952,3.3030473703399288e-09,3.303829602258057e-09
1953,3.1130359158526577e-09,3.1137507260081687e-09
1954,2.2626859552676848e-09,2.263132979629656e-09
1955,2.076900817993277e-09,2.0772973480243095e-09
1956,2.094595313167913e-09,2.0950013286669122e-09
1957,2.7903008133212115e-09,2.7909176324170115e-09
1958,2.43207420175251e-09,2.432576699101796e-09
1959,2.3138176166725977e-09,2.314285429960705e-09
1960,2.0413383899908766e-09,2.0417262429350824e-09
1961,1.894945436675677e-09,1.8952918331982538e-09
1962,1.885889951147579e-09,1.8862335859903823e-09
1963,2.0164437411485103e-09,2.0168249847962727e-09
1964,1.9580180324330065e-09,1.958382740696596e-09
1965,1.8522871257642404e-09,1.8526243282523946e-09
1966,1.8662096243349247e-09,1.866551593843191e-09
1967,1.583631600854396e-09,1.5838978219273603e-09
1968,1.6478505643346963e-09,1.6481355481767768e-09
1969,1.5073764805806356e-09,1.5076258921831176e-09
1970,1.4150768820608839e-09,1.4153044673725912e-09
1971,1.3312712043855868e-09,1.3314806236730536e-09
1972,1.3862955020038648e-09,1.3865183723371644e-09
1973,1.3639251811303765e-09,1.3641439262912503e-09
1974,1.2565448473389473e-09,1.2567392404516653e-09
1975,1.1199161771557886e-09,1.120082523259347e-09
1976,1.0838080502506564e-09,1.0839666317319363e-09
1977,1.1474952481271838e-09,1.1476693692613615e-09
1978,1.1134274821578138e-09,1.1135954623708866e-09
1979,1.0411232501117418e-09,1.041279208691126e-09
1980,1.0418672591328004e-09,1.0420249003939563e-09
1981,9.153793001370758e-10,9.15509695831318e-10
1982,9.234678716163458e-10,9.23599856317292e-10
1983,9.296608205477952e-10,9.297938009800166e-10
1984,9.63291005989797e-10,9.634299712180106e-10
1985,1.0185003153362349e-09,1.0186515485288705e-09
1986,1.1287755764810559e-09,1.128952986650944e-09
1987,1.0001134052861627e-09,1.0002619392490697e-09
1988,1.0722501705973109e-09,1.0724136648154747e-09
1989,1.0404954640941266e-09,1.040650326328274e-09
1990,9.719617159731353e-10,9.721031792031543e-10
1991,1.0659625647446713e-09,1.06612202399603e-09
1992,9.793458752294093e-10,9.794838100318781e-10
1993,1.031157052105991e-09,1.0313054993327242e-09
1994,9.608543925787583e-10,9.60986408504727e-10
1995,9.661321014042823e-10,9.662633471130277e-10
1996,8.32219085311614e-10,8.32324223432046e-10
1997,6.469729231517451e-10,6.470460035823411e-10
1998,5.581387609032706e-10,5.58196572297831e-10
1999,4.695158012379963e-10,4.695599811754825e-10
2000,3.869817105650597e-10,3.870143060191733e-10
2001,3.5132819570238283e-10,3.5135653761453334e-10
2002,3.2580142056426453e-10,3.2582633813227346e-10
2003,3.1830325528114933e-10,3.1832759692096424e-10
2004,3.035276960328126e-10,3.0355066377163453e-10
2005,2.932360881890972e-10,2.9325837591631654e-10
2006,2.7519665712905095e-10,2.752175570774895e-10
2007,2.6628263483097214e-10,2.6630274374550567e-10
2008,2.584831376717389e-10,2.585026082080333e-10
2009,2.226562059726156e-10,2.2267161725597617e-10
2010,2.1637330122059595e-10,2.163884835204577e-10
2011,2.0428821828621935e-10,2.0430230424084428e-10
2012,2.0479420936858617e-10,2.0480857981786116e-10
2013,1.9001793888362428e-10,1.9003083134849774e-10
2014,1.8415990954423478e-10,1.8417228159206545e-10
2015,1.967204246722254e-10,1.967344898101686e-10
