year,a,b,c
1948,2.4966485596531398e-05,0.10806052248341858,0.0011693855612142567
1949,2.405142273881126e-05,0.10964015020292425,0.0010545433416806983
1950,2.2085847418522614e-05,0.11129326158014556,0.0009107128053494714
1951,1.8726188077503712e-05,0.11520463690770694,0.0008370134189997839
1952,0.00010805209196373032,0.08071059575367034,0.00046082667225170716
1953,1.4824225350976814e-05,0.11764717140361683,0.0007074299590558201
1954,1.618945754655497e-05,0.11613956662264074,0.0006164368904926753
1955,1.2982106312143305e-05,0.11987261535728308,0.000639555010533857
1956,1.335190335329928e-05,0.11936716415713985,0.0005699955974695363
1957,1.2093705506172928e-05,0.12109588091989903,0.0006249826817183253
1958,1.2068734787997e-05,0.12098140170868714,0.0005609498879241233
1959,1.085446661277946e-05,0.12259190356997599,0.0005877506830977321
1960,1.0456925102467024e-05,0.12300053979659806,0.0005853108386135092
1961,1.0882779008346105e-05,0.12267300490524936,0.0005804493167073534
1962,1.0744076648982838e-05,0.1229329069730332,0.0005691732829669258
1963,1.0695704469678821e-05,0.12326025650753206,0.0005688303152581188
1964,1.111234160294151e-05,0.12177642862862058,0.000560265847475271
1965,1.074439166844681e-05,0.12246548948738667,0.000571892422571129
1966,1.047091219365913e-05,0.12295100654659609,0.0005687502906067036
1967,9.7564745240408e-06,0.12337912449401943,0.00054631329907106
1968,8.878081401481669e-06,0.1255450831520632,0.0005381941152086313
1969,1.025579580212075e-05,0.1235720541500435,0.0005085304046354764
1970,9.931616268471326e-06,0.12366520758393382,0.0005059473799303155
1971,9.929099443363997e-06,0.12317401827492326,0.0005090831168035791
1972,9.666558739041534e-06,0.12404309348058795,0.0005045508427548798
1973,1.0913040577634072e-05,0.12157331167346756,0.0004970177616701452
1974,0.00016102706163514962,0.06907481692939846,0.0001797804360441037
1975,1.0517502082436656e-05,0.12170623200218329,0.00045853540517656004
1976,7.494862693611774e-05,0.0840506115237404,0.00025122063819670617
1977,1.0667008594118091e-05,0.12103083819079441,0.00042072372664139133
1978,1.1024865867399219e-05,0.12052469712471149,0.00043975350759989216
1979,1.033078778047508e-05,0.1167367352660108,0.001998033674541505
1980,9.819395619902042e-06,0.12192236024441744,0.0004020314998707636
1981,1.306780922545063e-05,0.1186223067601474,0.0005535198769401144
1982,1.0300562624686362e-05,0.12025465085678777,0.00036414187640209164
1983,0.0002949263125533803,0.05439535631324517,0.0003602666535407393
1984,3.17611093528849e-05,0.09563854149535823,0.0005376208432386453
1985,0.00011185496821720787,0.0729128902352747,0.0001361226584975597
1986,1.0622638734605366e-05,0.11839896017193294,0.0003224447015434309
1987,1.3185163891664205e-05,0.11242324204935038,0.0006583791152071872
1988,1.1817826093484182e-05,0.11564014925995389,0.00032223611102766487
1989,1.2047692361771503e-05,0.11471526998436675,0.00031856163900146706
1990,1.5078868745698514e-05,0.1102116197916976,0.0002971542095294309
1991,1.2246334588278771e-05,0.11247984223719336,0.0005451585786429008
1992,0.0003420053522236297,0.046733778780224756,1.4806344350652824e-05
1993,1.805797809635784e-05,0.10599766611208178,0.00025309951837822816
1994,0.0003131768261447532,0.046958095359956556,1.008697524773466e-06
1995,2.4786111499615543e-05,0.09950546671813851,0.00021473244502307075
1996,2.657369723519153e-05,0.09783967202132175,0.00019970064875746732
1997,2.5404606014376416e-05,0.09804518284287272,0.000206519197396945
1998,2.64314332455936e-05,0.09722681314226361,0.0001945376779327421
1999,0.00023516114923080044,0.051306755824465304,1.0831248056867834e-06
2000,7.614975259398361e-05,0.07924781626308193,0.0002713909756133996
2001,2.9277719227423364e-05,0.09423255096204561,0.0001648209857827136
2002,2.9692844510322905e-05,0.09380029969458308,0.00015824872061576597
2003,0.00022711599428925852,0.051123663288356415,1.710394417223931e-06
2004,2.770697179510918e-05,0.09416441901872515,0.00014120416219618747
2005,2.5924717819216744e-05,0.09506092186233145,0.00013913455212116635
2006,9.252168694243987e-05,0.0700807068717033,3.739710359568194e-05
2007,8.241285480560707e-05,0.06300621200324305,0.0002766654321079679
2008,0.0004203155781554828,0.035374027979580516,1.278779978543129e-06
2009,0.00022995959671498717,0.041116119942155374,0.00010042183385718987
2010,0.00010566951060842554,0.06799158467565283,3.270308930736043e-05
2011,2.4246213846969536e-05,0.09424967123606216,0.00010498361834660147
2012,1.0349532169403337e-05,0.11507239799323088,8.719696129251095e-06
2013,0.00013502971179046763,0.059240577292771525,0.00013016964254902822
2014,8.551287319603575e-05,0.06698903614628297,8.808994058299212e-05
2015,9.527711525715118e-05,0.066330485189043,5.050566850598915e-05
