year,normal_minus_low_lmax,high_minus_normal_lmax
1948,4.456318581508301e-09,4.457653333261868e-09
1949,4.259483935703523e-09,4.260739518147094e-09
1950,2.7203340274839505e-09,2.7209851594101053e-09
1951,4.364397423323174e-09,4.365682339940724e-09
1952,3.765183640563885e-09,3.766200490362692e-09
1953,3.355734426446766e-09,3.35659148045786e-09
1954,3.5731072267619624e-09,3.5740418957708187e-09
1955,3.422570948874437e-09,3.423450762457536e-09
1956,2.9590439334925556e-09,2.959751770059693e-09
1957,5.761213471566773e-09,5.763106363659842e-09
1958,3.343724463977793e-09,3.3445705718837537e-09
1959,5.889002528680631e-09,5.890965763810652e-09
1960,2.7802892973993742e-09,2.780928883006073e-09
1961,5.663889128537658e-09,5.6657337120513684e-09
1962,7.349531129519082e-09,7.35224501072218e-09
1963,4.7656326211675815e-09,4.767060531041256e-09
1964,4.018176336800794e-09,4.019268202981596e-09
1965,5.28463234977794e-09,5.2862687595356395e-09
1966,6.632179635340796e-09,6.634465019028646e-09
1967,5.947250344973121e-09,5.949180845871149e-09
1968,5.358919145243002e-09,5.360574352464287e-09
1969,3.1315268468612434e-09,3.1322727710170195e-09
1970,1.956189491642002e-09,1.9565611041050257e-09
1971,2.141839091501785e-09,2.1422580653851497e-09
1972,1.6580069400751185e-09,1.6582964897093877e-09
1973,1.5425391901302543e-09,1.542801483789269e-09
1974,1.9295733795499093e-09,1.929934656530463e-09
1975,1.5300104169724271e-09,1.5302711216247378e-09
1976,1.5748174327090414e-09,1.575091862493494e-09
1977,1.325988704253822e-09,1.3262006354208822e-09
1978,1.5352227614173763e-09,1.535486997966684e-09
1979,1.147206538099077e-09,1.1473797467687064e-09
1980,1.4195737328692726e-09,1.4198128506226482e-09
1981,1.5269507394610748e-09,1.527216610119897e-09
1982,2.255229988867846e-09,2.255708321519112e-09
1983,1.6786154966030864e-09,1.6789243120762798e-09
1984,2.0070425876816955e-09,2.0074468892739006e-09
1985,6.859093987232612e-09,6.861594473162036e-09
1986,1.8658785627678753e-09,1.8662432779703586e-09
1987,2.5332675263056714e-09,2.5338420250875515e-09
1988,2.396599710352554e-09,2.397128065489973e-09
1989,1.9069831547202654e-09,1.9073619489384797e-09
1990,1.8617018829325538e-09,1.8620674099856238e-09
1991,1.6717793815956838e-09,1.6720887591192835e-09
1992,1.0585897436410363e-09,1.058748193283332e-09
1993,1.5031683467392476e-09,1.5034339675978892e-09
1994,9.876557557908505e-10,9.877978504602147e-10
1995,7.205015958855476e-10,7.205903304607908e-10
1996,7.357800757556987e-10,7.358719120165169e-10
1997,5.42634812084053e-10,5.42693008587225e-10
1998,4.4245362235129093e-10,4.424969071714635e-10
1999,4.382363430477376e-10,4.382787258117027e-10
2000,2.8346779784582665e-10,2.8348996761184964e-10
2001,2.900136797379105e-10,2.900362588986738e-10
2002,2.596127757215072e-10,2.5963186461863685e-10
2003,3.0660670530258116e-10,3.066307763255338e-10
2004,2.3888442612918226e-10,2.3890076028543206e-10
2005,2.9454064187639517e-10,2.9456245081993515e-10
2006,2.910759133722962e-10,2.9109749333233736e-10
2007,3.2435475832981453e-10,3.243801061092455e-10
2008,1.430582319272844e-10,1.430656912382311e-10
2009,1.625556217410562e-10,1.6256437168626903e-10
2010,1.26466268013381e-10,1.2647218688988104e-10
2011,1.1717684461620692e-10,1.1718206960331656e-10
2012,8.248522004317138e-11,8.248823846201958e-11
2013,1.6969829708113338e-10,1.6970725519316332e-10
2014,1.2277191069332005e-10,1.2277735078614072e-10
2015,1.1126132654082355e-10,1.1126596866084526e-10
