year,France,United_Kingdom,Japan,Italy,The_United_States_of_America,Netherlands,Canada,Spain
1948,-242.2502776077755,-241.56096965518975,-196.41122634973058,-241.90205760598474,-278.2338102051043,-195.63061021233696,-240.13923392593085,-205.7857508434723
1949,-251.6917974803207,-239.92153928402539,-213.19385472363965,-236.7613245577281,-292.27804982184716,-127.51702882602044,-237.3543207908953,-201.24725801890858
1950,-261.65801688839395,-243.1473516961522,-228.6156336868133,-236.64636586043306,-277.5318840831702,-269.05437053865285,-236.1401494467444,-228.77435358064625
1951,-242.90767979411294,-299.4631154208737,-257.656780113595,-230.31208439866512,-259.0336683247906,-270.6961705960332,-237.07857820603462,-227.88508889665158
1952,-226.68478395144493,-283.8848595821378,-251.3465430476043,-239.48702336214936,-251.66916390241488,-290.80291342191833,-235.53969675080108,-216.49479215222388
1953,-268.3768524969323,-309.3936044274185,-252.64581392588445,-251.628966178189,-256.9471751063701,-290.50206982357395,-235.05078317735374,-243.0527855191757
1954,-237.93514131100804,-296.54241728189425,-231.41014069071704,-268.348418811324,-254.37184944130263,-300.7081613789703,-222.9420856199787,-228.62210529384762
1955,-250.56453991767796,-286.9653410607449,-227.60078632098507,-284.1133883944527,-239.26129095130315,-255.27706780793153,-228.3462391142883,-260.34088593771787
1956,-247.6074115452666,-291.13498462902646,-223.80745118855728,-278.2835580225733,-232.9881393235738,-252.0657558145416,-237.9748641769186,-254.49449494500982
1957,-238.65966288548915,-257.33810185588425,-236.2713533985869,-284.3623225223023,-242.34043198146844,-285.10201796310196,-230.19413638554752,-254.42417258079445
1958,-231.8796051578618,-246.55453466392544,-221.6473324138727,-266.71872176997874,-243.0564824173323,-279.35901803603565,-221.78321620055348,-244.0838132560233
1959,-245.96077993589984,-236.66371268370463,-235.48426303037704,-291.80451300167147,-240.82315783261458,-269.5281045561361,-208.05655838115072,-251.14378543870714
1960,-240.7507879780569,-206.0634457375228,-216.01734687309963,-279.3114276741928,-232.6427005102586,-245.18580870487187,-215.4130212582443,-277.6695103476899
1961,-236.0009884327262,-224.5269754081593,-222.4738014177,-293.2943985441706,-240.44349242727606,-250.9277883274865,-210.40216063153295,-257.66232982312374
1962,-234.36684577461696,-223.71284114380538,-245.30498820576042,-272.1414934551119,-228.42950616671354,-276.4021046804738,-212.4196294557428,-271.5835073429496
1963,-226.10864481990743,-211.00006870716138,-231.57716779340333,-252.48056420360706,-225.37771653904153,-253.36772007247782,-195.2753192956669,-269.7771768736893
1964,-242.87403415791255,-204.21890683778955,-234.2401893471284,-262.2353401140141,-222.53783275121575,-240.0081698678449,-183.14227732993996,-259.8077995984943
1965,-221.01540723221504,-212.40949181667966,-246.99136488942463,-259.8455539874311,-215.59928369344672,-223.83645472425266,-184.39301173775388,-261.75147153646355
