year,France,United_Kingdom,Japan,Italy,The_United_States_of_America,Netherlands,Canada,Spain
1948,11.34703668059521,-8.181690868107268,6.604723165872912,10.022104611102634,-8.09043845895593,-2.4263062892814276,-4.244339615692297,-0.893675045678151
1949,12.438869794663049,-6.447268282319698,12.700734488376014,14.814023424876439,-8.123189722241875,5.340025041649625,-5.661501249835851,2.437176689978344
1950,11.473853812705272,-4.784223924310794,10.193992089405072,34.105226844762626,-6.7657695374930995,-0.7485684204091569,-5.640839232953397,6.23582909760438
1951,16.21358059658158,-1.8753867052902535,12.868098552796624,17.380285747633394,18.033676016062685,139.32524292793912,-6.9592057852492815,7.432901226939947
1952,18.728780683615327,12.16882938935592,9.84807880183996,19.04288696424274,-5.657524824952162,-0.2529901878643557,-4.710122741782044,8.264192639633421
1953,16.155870572997856,-0.6793711503578095,13.91544114637631,16.064487536247043,-5.1629088943096235,-11.934736485989788,-4.474727931901583,8.625206936555486
1954,18.256781364001682,-0.1766691791117978,11.529456752179755,13.604248678032718,-4.23264033067835,-0.6406586035847965,-1.7637579600051367,11.633179146337767
1955,18.71149803023434,-2.0169500575102575,5.818529220082695,10.999371790723274,-3.766243500827642,-5.591456698314005,-3.5066493000109915,12.574451204634357
1956,15.881776504935743,0.33660557337512387,8.016074631679345,9.92079146360362,-2.9316369165422316,-5.108132124430284,-1.087197744992153,10.852399354104932
1957,11.840343641903303,-3.969139975221367,4.685319248938015,9.060301231393282,-4.619691537167,-12.549278013250188,-1.908766079237921,10.241295603875443
1958,14.098642351206621,-0.35208233206353157,4.261318150391361,12.59440023990004,-2.386145297480084,-6.314162109511784,-2.2904006019944063,14.106912192050174
1959,7.451849193414091,-2.5851654216193083,0.35563675260942773,10.489274635691856,-5.142242770069771,-9.767924076628617,-6.612325866144687,11.38940531447966
1960,8.882733420057065,-2.9107315811478998,0.6752846692151877,10.882626002766841,-3.578675860917656,-4.967481288431571,-6.383453016673343,10.966996315445641
1961,6.442429401946612,-2.1860872581330284,-2.358238202649261,29.565376024790055,-3.3563203086997078,-10.59827347932756,27.26146291796607,13.22682165520527
1962,5.185072453526175,-2.277683409059705,-1.7563516887300352,8.920062123096272,-2.9238740042161453,18.34008849489183,-3.1925812340424784,7.069695673317966
1963,6.233286284812664,-2.5237506511534207,-2.9203958982458857,5.3645824207990245,-2.4751711854740392,-14.393476284351465,-5.722997372203537,6.742874883089684
1964,2.0124410223917835,-4.548114441274805,-7.90467382972264,5.834412100908935,21.6519111864298,-19.192836039962884,46.311523955547784,6.779393727630918
1965,-0.7122112226664399,-8.497155574837024,-7.945474528479451,25.491629856646654,-3.046355992254149,9.19459353105779,-9.277834888879426,4.826875809173714
1966,1.326951315188154,-6.312201645722752,-13.497814455960054,5.463968125112103,7.044719340866806,-20.4509164735031,-10.812747912865262,5.025229025395561
1967,-2.614133582971391,-9.09748130250793,-12.72576478615784,3.8710010931970658,-3.776413878705654,-12.208785167985468,-10.167422740523023,5.102246744961008
1968,-4.717256974458962,-7.935759365589519,-11.659634902047031,2.5280274623305843,-4.649735649727717,31.61303199406595,-10.029854485674178,2.5464714089404765
1969,-7.408147027813243,-3.7439665260477852,-14.518627033677234,13.844569161052476,-4.8768224837940295,-19.659952556355933,-11.805715145023413,1.493122358825019
1970,-6.524596674839273,-4.394375268088083,-15.336728618381727,0.8169055667936789,-4.380970212662646,-25.109250230527294,-14.654106365577547,-0.5290374499224413
1971,-8.990163934413829,-7.116981867176463,-13.527920032432547,13.865720077689417,-7.019992971701328,-1.7632158702176923,-16.181424310684122,-1.6934210425053777
1972,-8.85376409822291,-4.870991066200759,-14.938204308354983,-1.0445185102670678,-8.128757978017433,-27.146286140227318,-12.69270124874862,-4.583574210144633
1973,-9.482654359051793,-4.313151146943397,-14.4044951677906,-2.957751795496648,-8.650846999891797,-24.23246208253167,-12.0181576364009,-5.957945115699687
1974,-10.396089522005326,26.789986818854516,-12.240482927480798,-2.321963851542961,-6.667433954717893,-17.678726073153882,-12.863978963919067,-8.037104079114073
1975,-10.45581238856468,-4.5600463354277,-14.027714775541284,-4.836380064701899,-5.2914025993388805,29.768230909885204,-14.595858650540265,-9.573787732866123
1976,-8.352436429300752,10.211611166420823,-14.860917803875594,67.10776896613622,-5.64999877614278,-20.916506058182534,-13.619137239494478,-9.002932223151475
1977,-10.478596920649437,-4.084809877398442,-12.303763239095957,52.452195112753884,-6.719077615338989,-7.5648124586547,-11.99136782156603,-11.930249637846202
1978,-12.838576028217659,-7.280976726277203,-13.35648504574462,29.172294506042505,-6.365157321792765,-21.35609665657975,-16.76783078485309,-13.531775030349195
1979,-12.17893761284887,100.82252735396754,-11.710952440311843,-8.039594019721733,-4.804163501573811,-22.54092265531412,-13.125397049075644,-15.261148648902235
1980,-10.713924922387662,-7.741186551520087,-12.940081642539752,14.176153519241382,-4.272313593009301,-16.58923971516441,-14.432308676126581,-18.9132737030923
1981,-13.553090958126461,7.716775310588304,5.939392563559295,-3.7785087130816066,-5.76316511848222,-18.860767180688498,-14.432036837515255,-15.790122282032314
1982,-10.128733294330459,-8.634886092551852,-14.47016762089305,-6.617856875718843,-6.0649070549513056,-20.8146779784706,15.30437695554474,-15.185003767485455
1983,-13.054871626072867,65.98729138469584,-14.911431956810304,-8.21774394123105,-6.0042209676614675,-17.191968120481334,-4.715708023380927,-14.969317604972701
1984,-12.754780426227,19.159692371474648,-13.527138164397712,-8.880120144383255,-6.836708052847712,-17.709538103050647,-15.921934007227463,-14.382464083234083
1985,-11.350237453478684,16.11330953011671,-15.981651793842673,-9.607952090470349,-6.1084040122200065,-9.00968790049916,-12.535975732654293,-19.88084074822308
1986,-11.748401526759523,-7.430258245234683,103.48864040658242,-8.12934346588898,-4.707980559573798,-12.30342744900247,-10.370628627662711,-13.85779753531503
1987,-11.739865367908578,30.720104720169957,-13.74237177105772,-6.189110843818298,-5.65199018149309,-9.245206262985107,-12.388989304030247,-7.259154295902221
1988,-6.554778578663388,-9.797243334831336,-14.671005384728687,-3.140613650156041,-5.760477821417595,-15.149904339162362,-13.492674270047985,-7.698666653910266
1989,-8.581328842871045,-9.723668570278932,-16.902631877525977,27.225849821723926,-6.114635775870681,23.783520453444055,18.540125334568984,-7.065612655275203
1990,-3.9829222566054625,-7.949478551508918,1.4673285862676266,-3.2327738757101656,-1.9582134498020594,-17.28876951628112,-15.046018624210944,-9.732347280657933
1991,47.70553705391171,13.331656640536409,-14.028834242802247,0.09998864121124029,-2.7214597822387248,-13.582276886342498,-8.685746847609124,-5.654260698945507
1992,23.19980893542791,49.318764447429515,26.2986106543313,-2.477302056156418,-2.8985750599397306,16.6840093261944,-14.453820440297307,-3.8961294009748713
1993,-5.798431818804687,-12.667238802099291,-18.83995763130875,-14.844323953496286,-3.8401878687301405,-16.849454250160562,-5.955865054078743,-6.334281179558985
1994,-8.33519147953237,44.05199510116955,20.07653088835835,-11.696940582464805,-3.149305634705428,-2.4651812672877327,-11.06175538178121,-8.210009655125845
1995,-10.694423120164004,-8.474944807480199,-26.30626860328428,-11.338479385890736,-5.280885484129925,33.15207608599496,-13.358604053241862,-8.995971159773717
1996,-11.817331185516252,-1.475610608742386,-15.784937448912814,-13.349249455706257,-6.204831090453666,-9.352914977194871,-9.64937687660884,-9.168610098776924
1997,-11.077250809394997,-6.6935428647037725,-14.80145704230145,-13.379249986796196,-5.10204657875903,8.79855899820555,-15.074860894140386,-14.458918761863515
1998,-8.154327254451658,-4.558732633702448,34.01981345639507,19.3543713975223,-4.298368783844552,18.397717414222427,-9.393380353463755,-20.07517859433591
1999,21.247323769027247,33.34828182545144,-18.479099725273272,24.973637459521854,-4.220699271230046,-11.211444150845693,-7.980802086885518,5.605812439958555
2000,-3.0469818033225238,32.82342793718641,-14.323573511381255,-10.719484220511276,-2.450249283372955,-8.875252684739138,125.91853022973221,16.637415796265856
2001,41.62514439805594,-3.3780759591717526,-13.458707295571969,-7.2234144091112,-0.8793467899793939,37.56295498608671,-3.242764591222823,-20.405157690387654
2002,-7.763289509201655,-3.0748333877315304,-15.652754050941923,57.67111440755798,-0.483458627609167,-8.31201368319384,-4.88049301900935,8.575571705645302
2003,-5.937003245678312,36.75021699522574,-16.81172587582543,1.3152058357723604,35.39713893068523,9.264097263067043,2.1101740931920006,17.065372142535352
2004,-1.0482272273473257,-1.134541171226914,-12.65247316210099,93.14576127079769,2.0378202625301185,68.38886526361952,67.94752445570637,-14.789348212141988
2005,-2.7974923554872078,-0.7681885213702628,41.49408006423067,-8.861336943341968,4.56266740773998,40.39033365765977,110.91339268315956,-15.241996224670174
