year,France,United_Kingdom,Japan,Italy,The_United_States_of_America,Netherlands,Canada,Spain
1948,1.0563637539438595,1.010266662744026,1.7355823617356143,0.923606490589667,0.7840066896110363,1.3384971116422764,1.179429845502681,1.627857443904222
1949,0.8750849956055575,1.1015505168365853,1.5547200687020872,0.9018355169665114,0.730393411459791,2.0889992692043418,1.1451989971508252,1.6545144233044666
1950,0.7370447619224668,1.0240154137963642,1.4247941742067716,0.8764540293878119,0.8044520148427164,0.8177882711462,1.1646898672057207,1.399626268789316
1951,0.8393661339534004,0.6906671213704686,1.1656647806435738,0.9138587344583998,0.8797095749023448,0.8117228007418694,1.0934594297694469,1.3519822993754997
1952,0.8813252001018258,0.7341555017147265,1.0712462474846907,0.8403288127500141,0.9151037422649221,0.6420666338292786,1.1225361606383863,1.4442068763166187
1953,0.6931690309443819,0.6610919406050018,1.0839729120872,0.7938906156327735,0.909878040245069,0.6155902270254311,1.1880954267114632,1.1629332741813123
1954,0.8386935614771268,0.6447934810215439,1.189565746000127,0.7216054910142972,0.8839248043861297,0.5657492191815902,1.1851995694816484,1.270379011356405
1955,0.7210508116015092,0.6869984899090574,1.2456510046855709,0.6552777050864603,1.0117163505779834,0.7846493596003368,1.0884066946735527,0.9579027305094854
1956,0.7507525522238061,0.6518877905694238,1.2570149193003541,0.6533085211983477,1.068690736887082,0.8822629020805849,0.9866538928679799,0.992334638331769
1957,0.8146623914350881,0.7928588901663718,1.1536297174397907,0.6453403419629744,0.9944197092245622,0.7035141920450909,1.1369567981469817,1.0360318553278043
1958,0.8444167770648995,0.8977109191159328,1.2420667652857507,0.6501292790636993,0.9671437164198363,0.7337713619542214,1.098075226558051,1.0755018687417486
1959,0.7382685652638471,0.9585171624935541,1.0980681635954803,0.5234959039695323,1.046295215769323,0.6821265015942768,1.255338657346618,0.9705912218024868
1960,0.7334454829679883,1.182743912683716,1.2682294186415792,0.6641710790255048,1.1551400491253323,0.9460940879649383,1.3005266554814303,0.776839418599438
