year,France,United_Kingdom,Japan,Italy,The_United_States_of_America,Netherlands,Canada,Spain
1948,5.181412392430635,3.948111302533589,6.80031699516831,5.403365541161847,4.1380567052163455,4.410705520912091,4.363244053446073,5.99951028663499
1949,5.197796151994923,3.9632778958599566,6.86023071846147,5.709813914896762,4.0408396199614405,4.91508427136532,4.209137546732941,6.034855345947704
1950,5.095993118425119,3.996426829841088,6.278041915771153,8.487732795297243,4.012296034288776,4.229549421370899,4.421115442839279,5.905198318653617
1951,5.375138076241054,4.035007845685229,6.003196064717974,5.534208650099806,8.416786212649079,25.563613897002742,4.066975660678064,5.805276684871655
1952,5.363130667156374,5.625322610664647,5.627317154331476,5.707216094974407,4.134961119476891,4.37783305527952,4.308406205079428,5.778671337060678
1953,5.215749958947,3.9780798819904413,6.265879604801418,5.480139589433756,4.184905818327098,4.130284909489024,4.303906164126265,5.535402312156333
1954,5.218530044218041,3.835958626270801,5.571410260442882,5.174804827625719,4.1525635633356,4.303473968143986,4.173167766277951,5.5400697770042875
1955,5.203867741580823,3.8876025686409177,5.093770079415765,4.9062733044312274,4.174377271276895,4.077233208074588,4.1940238668668774,5.42931560690291
1956,5.068057001769223,3.7995120299487084,5.157685326335917,4.890876882493252,4.12384567096117,3.9629037932657902,4.227332816635581,5.332500233755313
1957,4.783677606771223,3.7654625945983113,4.921680388000349,4.905187143776194,4.030195361556862,3.8656422114438618,4.245510281351602,5.228016918583426
1958,4.731994129018812,3.860141942437943,4.81530391892562,4.888664225010621,4.144620028457864,3.967534536566408,4.174986809340322,6.192926294771112
1959,4.392555142214252,3.82459269923522,4.595122559477293,4.746721374867535,4.008205162973135,3.9610606672490944,3.9876327902318676,5.128937196911617
1960,4.442358728493443,3.8361067580859514,4.467635657100212,4.64305479915696,4.090052641433075,4.058357076927548,4.012986238090469,4.873316603673687
1961,4.157402678965606,3.8461049119453747,4.231508593291925,7.912392178641603,3.9827959837104,3.76291579989017,8.127403319197262,4.933180245371343
1962,4.136145902079375,3.8320652667734243,4.165754635549123,4.39546035164563,4.015102564103235,7.284077697871743,4.033282675985749,4.627644162333387
1963,4.157537369784031,3.795167169937983,4.041468795108308,4.192207070703287,4.022470387338282,3.5316679373192024,3.9269563800668927,4.601180624965652
1964,3.98118603433824,3.827477110126367,3.7372488129467323,4.126744342828288,6.9206588215663345,3.5194644165560836,10.73971373543122,4.285813758710393
1965,3.8185627859993696,3.704045199423726,3.7178052214990456,6.953147062729172,3.933295365923013,6.377293719236996,3.87320878392604,4.155051733308547
1966,3.8845101782256797,3.8728876691556366,3.4788153801752015,4.037228034305245,5.868259082099928,3.4820754120451025,3.803247013213692,4.019674196523251
1967,3.7753299357784953,3.781965572207918,3.473601724850621,4.0577597697254335,3.9432402281656294,4.564032903010035,3.9850359909407165,4.046966559530503
1968,3.799490695939458,3.8715137374023114,3.4892618247374183,3.9998294571793083,3.9219007312020833,8.693865181988693,3.7896917834167456,3.876567150561909
1969,3.7472205931083176,4.004531331359901,3.3394122641035215,5.836409904126782,3.923374901840998,3.586870578784475,3.7683607749381323,3.864422401221475
1970,3.737433996181449,4.038800000507574,3.33137307443897,3.977642986999548,3.9375641640964845,3.500585545803937,3.64839735370183,3.780249428611389
1971,3.892891774734538,4.012944386421771,3.333211998182191,5.655458715001985,3.8432423189732074,5.60235525336176,3.697763460781929,3.818723449554016
1972,3.7983857703479997,4.182363311828871,3.355263613166915,3.9184663013229466,3.8579135093067287,3.544111583923192,3.823468829497358,3.633599485590704
1973,3.914912456992174,4.1508790308138845,3.350368784933557,3.84066717888831,3.8458315424339915,3.5643275777447814,3.931879229153488,3.5847342096772667
1974,3.961185907316061,7.4474084347479135,3.4517767953293212,3.8217566106955845,3.9175271336724258,3.8292398909244705,3.8724548634227376,3.4701653986017433
1975,4.0557027327849156,4.104126813183615,3.4187884214449342,3.8501771372443767,3.972246072880988,8.594069391249429,3.825784464214853,3.4296463486973106
1976,4.178331389926084,5.725641852650475,3.415343787738702,13.4202901273892,3.9670236359101634,3.471056594084608,3.8751152166717486,3.4402880072653197
1977,4.082789329866411,4.082777632291051,3.481601272435912,11.877155793067839,3.9854071407726903,4.43210825276467,3.882060336673936,3.4105322164426126
1978,3.9651470253716172,3.9652771092353083,3.4647693653835017,9.12374978037488,4.021133475184527,3.548380267304575,3.7204366196813297,3.452229685892695
1979,3.9647589578175344,12.471283923152006,3.5725202194483496,3.7993445323709105,4.054000739453333,3.376422674160908,3.948269009833482,3.380279654920746
1980,4.095920922002263,3.860488386176368,3.487690134812114,6.611697815703731,4.191049112809954,3.5785190855072613,3.7981621551512528,3.1693278399633016
1981,3.8734757574877374,5.521716631422575,5.125442890842351,3.891433665140969,4.069548412585972,3.288430339087758,3.7484315599752756,3.2777165218065325
1982,3.9914755897714267,3.6422834030985953,3.4533669243707994,3.691525013328951,4.0092101832319695,3.2298893147153436,6.386954926587869,3.264036338308824
1983,3.8646651169171595,11.383929204276518,3.5356110157368064,3.6704822020028685,3.9432574599947854,3.3118310239249573,4.278006382823378,3.277437723619818
1984,3.7662649494330536,6.636982478680371,3.5668319368120067,3.461685765943627,3.8900529753367463,3.0885397619370245,3.5688119443203083,3.232697516504364
1985,3.7366386148371804,6.625563050533159,3.53233844250926,3.5274855402569965,3.8906557754866604,3.4846774965963627,3.6363715482755907,3.083256933214921
1986,3.614396934511597,3.3734677411613894,15.67530245255601,3.422195435282236,4.070552147434719,3.2740028418092058,3.7398458825407475,3.289866239126338
1987,3.548005241004235,6.033656448361435,3.5074475812648114,3.6248129568579213,3.9925630708026976,3.3428619704540066,3.7103385390513863,3.7209594449239316
1988,3.6575579759145134,3.1719805925868108,3.488487011785407,3.82291433055801,4.0505870351688396,3.158219427665313,3.725361726312272,3.9094824400646524
1989,3.5964395649554852,3.229532702522112,3.422273483896977,4.880418787689213,4.019952812960273,7.260213663867182,4.4599034101057065,4.062082942713149
1990,3.7392366751698383,3.4500535197762163,4.938165284701334,4.247805078541398,4.206572898620763,2.8633919196798625,3.5671469199600083,4.154703477645234
1991,8.072953446959884,4.534976888370063,3.3350581790216562,4.559454074941314,4.15199944846597,3.047139765949918,3.9339378188285288,4.402969411287658
1992,5.977282445044378,9.695812427620773,5.491573361885172,4.381959852282853,4.0542364361084315,6.325680653303947,3.627004385265959,4.367898346006191
1993,3.684397079144487,3.332582451225795,3.122317392356246,3.7858204163401794,4.043133443499886,2.9590389644344657,3.7449070012570433,4.0968338099787545
1994,3.595732093919788,9.069799627129047,6.67031986507112,3.8003315788685597,4.019663387565011,4.434481488396817,3.5530752930608807,3.9137504230160713
1995,3.511070333428433,3.517165983727533,2.9598398687542957,3.871446556724814,3.907826670371297,8.090761755075501,3.5318399349488643,3.977952132761082
1996,3.4250850595513125,3.7315165751479156,3.1508516362902323,3.770597715244625,3.7491757801339145,3.1505735352619233,3.500182203287514,3.8077413988957076
1997,3.3749562392602184,3.6561341666087963,3.205884914130557,3.4726520455621497,3.7001019471147583,5.211542076120313,3.485983860806567,3.2405259066383394
1998,3.563018821846917,3.7046428667441114,7.745346666922593,6.518811712135255,3.6528709191696414,6.103479974330457,3.5634788504161294,3.0158973657971755
1999,6.107488865437998,7.570246882969689,3.162639738091644,6.684789888374308,3.5998938053106717,3.2449901280502185,3.5496748712429977,6.47383880669656
2000,3.730934601755225,6.514946190731276,3.2037663207969516,3.5957893628054607,3.651433826969102,3.51274807246582,18.067533255178375,6.087901042972291
2001,7.744090661355009,3.4734586994256946,3.2101568515319454,3.5690825415802894,3.713720649146685,8.49654979922666,3.6609199641982966,2.8634238635372227
2002,3.802838179956399,3.51341091588889,3.1032364213466552,9.320507198893557,3.7260061289780566,3.338841666524356,3.47191651886002,5.3150784399775794
2003,3.72401770360219,7.5883233372217935,3.0426419418670805,4.540284914931965,5.308751431045588,5.6119802423561636,3.785668413309597,6.317316813421816
2004,3.862047551536791,3.338452940307279,3.1626111022724435,10.137700460813782,3.8739057429605106,10.23207569417541,9.748951604160593,3.0910450398002713
2005,3.792926784967005,3.330231958010595,7.783960385422035,3.3157869233315256,4.00865634556801,7.8449281503926755,17.25009266170775,3.0703381061991872
2006,5.550597120436642,4.386125295275011,3.109693721761104,8.027414736570606,4.1907356488734635,3.009344719552454,3.7704348679661734,3.080220999875579
2007,3.859193114965149,7.691172118614239,8.743372800075766,7.09339305617453,4.140318784506656,4.458681850335711,3.6907814585059042,10.99277641482683
2008,9.179774072598804,10.544660445879403,3.136847805095966,4.8845277193393715,25.60819843254886,6.387535374503976,3.6761695159130894,3.2432685855836882
2009,3.6894424391524385,9.766669591860314,20.72475537172051,7.029367973147149,4.073488087398836,3.2287436605899864,3.6958398741033953,3.1518000579556325
2010,3.649306972318123,5.1289475547497,3.0906988830862763,12.700923890451074,4.191309062997055,7.836360639280005,6.9759086662480145,7.236913853071958
2011,6.80917428576214,3.503596310613949,7.266867548507916,8.432779352669126,4.180021820087109,3.1145824681065872,3.719593130881447,7.525831118141539
2012,8.24246394287863,9.289695885015494,10.835969149206763,11.69350546847852,4.203262466014839,7.276266987592773,10.655239387554065,11.022141659396471
2013,10.106507828673676,7.746203582061397,3.1378129903536465,8.732404286194969,4.154775368429462,3.2744745845122423,3.6930562908237965,3.0013710077136175
